104_img_: PSNR=25.927889565305197 SSIM=0.9310835179764279 UIQM=0.34806863736024274 UCIQE=0.5426622093509261
10_img_: PSNR=16.694960827000585 SSIM=0.24498525111618746 UIQM=0.30364469155722473 UCIQE=0.5930534919367362
111_img_: PSNR=25.22246431578003 SSIM=0.898805976990286 UIQM=0.11472580960081691 UCIQE=0.5063692450843941
112_img_: PSNR=19.1308038470753 SSIM=0.6864799862244948 UIQM=0.2892091005631817 UCIQE=0.5477594044446684
11_img_: PSNR=17.41460727098503 SSIM=0.7823036839786963 UIQM=0.8462429510098408 UCIQE=0.6165623842388229
13_img_: PSNR=18.354495756858014 SSIM=0.7772388806589483 UIQM=0.7482034273643018 UCIQE=0.5729669043710444
14_img_: PSNR=20.69700256907997 SSIM=0.778836650255178 UIQM=0.9454962722212302 UCIQE=0.6194774793998016
15003: PSNR=18.39411917739502 SSIM=-0.035364959372676336 UIQM=0.31533476607623534 UCIQE=0.48783524589685023
150_img_: PSNR=25.806459933762078 SSIM=0.8856196495836514 UIQM=0.79618282312355 UCIQE=0.5909246625509146
15544: PSNR=21.091013716523747 SSIM=0.5219192044012825 UIQM=0.37453565867159033 UCIQE=0.4713072487415577
15_img_: PSNR=20.671709410895946 SSIM=0.8176776119094838 UIQM=1.0072413884530413 UCIQE=0.6285720534464505
169_img_: PSNR=19.163038544880354 SSIM=0.7163226742674997 UIQM=1.2650133267174464 UCIQE=0.549480915091334
16_img_: PSNR=23.27491461887872 SSIM=0.7956498694179557 UIQM=0.9101121795599113 UCIQE=0.5472771406786401
17_img_: PSNR=21.994778902085514 SSIM=0.8300919147833455 UIQM=1.091487535721775 UCIQE=0.6156680728289885
18_img_: PSNR=18.379052715157968 SSIM=0.5655575229468998 UIQM=0.7128770523311732 UCIQE=0.4632306130658742
19_img_: PSNR=19.472768317595623 SSIM=0.6502174838400057 UIQM=1.041503271948536 UCIQE=0.5954829866545897
20: PSNR=19.879739994311393 SSIM=0.6383746033920938 UIQM=1.0075544154407314 UCIQE=0.5962745105011582
22_img_: PSNR=21.212839332355347 SSIM=0.8797275583473939 UIQM=0.9108051718075528 UCIQE=0.5725146043881427
23_img_: PSNR=23.156111180698954 SSIM=0.9002450150252121 UIQM=1.1884647715428323 UCIQE=0.6066742370698017
24_img_: PSNR=20.712450595031523 SSIM=0.8473704432109632 UIQM=0.9347486035281326 UCIQE=0.5665428881022717
282_img_: PSNR=19.434378629298454 SSIM=0.7396468104888153 UIQM=1.0754315740722915 UCIQE=0.620267795562481
284_img_: PSNR=27.83966218988667 SSIM=0.8482564883625563 UIQM=1.054984171138774 UCIQE=0.651973605422447
288_img_: PSNR=22.5161952458989 SSIM=0.8952462007947087 UIQM=0.9517991870492758 UCIQE=0.5518273073056433
290_img_: PSNR=23.23076089540858 SSIM=0.8855292038981708 UIQM=0.8513779215353532 UCIQE=0.5648816731461636
292_img_: PSNR=23.822270953860837 SSIM=0.844310147285584 UIQM=0.7974005807487692 UCIQE=0.6331110752032191
293_img_: PSNR=18.7781282305958 SSIM=0.3791459959332212 UIQM=0.7890973722401488 UCIQE=0.5548635765802021
294_img_: PSNR=14.955909764587256 SSIM=0.5206883549790805 UIQM=0.684021030884933 UCIQE=0.48465070993620385
295_img_: PSNR=23.31073406196807 SSIM=0.83473866546715 UIQM=0.9505198705025919 UCIQE=0.6647923980886583
299_img_: PSNR=14.239588262645826 SSIM=0.6442597746892478 UIQM=0.3377879489059501 UCIQE=0.5162519958419677
2_img_: PSNR=18.299217803886275 SSIM=0.8172082320162264 UIQM=0.7469239461945274 UCIQE=0.6469225289507916
300_img_: PSNR=22.134206818751196 SSIM=0.7945231989451542 UIQM=0.7615321102017479 UCIQE=0.5986638262447299
301_img_: PSNR=22.693413516948276 SSIM=0.8242039448708804 UIQM=0.6543647497856071 UCIQE=0.5591685033185506
302_img_: PSNR=22.570275723206223 SSIM=0.9017308465833729 UIQM=0.4707864694258562 UCIQE=0.5288070483165238
303_img_: PSNR=25.084674472380893 SSIM=0.8771806016394679 UIQM=0.6503769866756997 UCIQE=0.5868964891546806
304_img_: PSNR=22.938658433090495 SSIM=0.7834876567759507 UIQM=0.9052263314107624 UCIQE=0.5370090688329479
305_img_: PSNR=25.060595476240273 SSIM=0.8681232307725253 UIQM=0.7354480923132497 UCIQE=0.5838054052346957
306_img_: PSNR=21.162562674283194 SSIM=0.6006699280599697 UIQM=0.38386256910098016 UCIQE=0.5391300432198147
307_img_: PSNR=19.048033999551485 SSIM=0.18436530944872398 UIQM=0.7215208894733927 UCIQE=0.6142135649092888
30_img_: PSNR=22.220465610948445 SSIM=0.8098431635169915 UIQM=1.0786757532753244 UCIQE=0.6603457077098804
311_img_: PSNR=22.292330248906055 SSIM=0.6262641618243734 UIQM=0.9727791597136027 UCIQE=0.5654369485791333
312_img_: PSNR=23.123864514168517 SSIM=0.8162399797832134 UIQM=0.903877045292547 UCIQE=0.6365163940413519
313_img_: PSNR=28.35168850662506 SSIM=0.9120351473486534 UIQM=0.8984454633121428 UCIQE=0.5683439718277699
314_img_: PSNR=27.28807604052391 SSIM=0.9285025497356874 UIQM=0.7223389811526693 UCIQE=0.6249834235500173
315_img_: PSNR=26.944864279246232 SSIM=0.8857892395345828 UIQM=1.0552501159769756 UCIQE=0.5816851460119835
316_img_: PSNR=22.398123942468388 SSIM=0.8358898335620506 UIQM=0.9350220713166354 UCIQE=0.6429423612080738
317_img_: PSNR=24.198347219825123 SSIM=0.8209625339564619 UIQM=0.7989262280133783 UCIQE=0.6018624523188307
318_img_: PSNR=20.416885999269514 SSIM=0.8099565757099703 UIQM=0.8669866397968595 UCIQE=0.6588737663370943
319_img_: PSNR=21.820619583379376 SSIM=0.7644467424997882 UIQM=0.6918150918147014 UCIQE=0.5957761101933521
320_img_: PSNR=22.741085414783516 SSIM=0.8522990433761009 UIQM=1.022270103984495 UCIQE=0.6108741076258393
