104_img_.png: NIQE=47.4572940800902  with dealing time: 48.95272207260132
10_img_.png: NIQE=43.89263448521551  with dealing time: 42.615379333496094
111_img_.png: NIQE=49.72548738165504  with dealing time: 35.58565878868103
112_img_.png: NIQE=42.75800793808466  with dealing time: 39.60173034667969
11_img_.png: NIQE=39.91958848611981  with dealing time: 36.783692836761475
13_img_.png: NIQE=40.94565904937005  with dealing time: 35.173460245132446
14_img_.png: NIQE=49.85738451072751  with dealing time: 35.786985874176025
15003.png: NIQE=43.62723480835996  with dealing time: 36.392112255096436
150_img_.png: NIQE=42.679577038738536  with dealing time: 34.65975594520569
15544.png: NIQE=46.49844502837359  with dealing time: 37.16084313392639
15_img_.png: NIQE=35.40896303200311  with dealing time: 35.790788412094116
169_img_.png: NIQE=39.18352131016395  with dealing time: 34.336281061172485
16_img_.png: NIQE=42.03156673969201  with dealing time: 35.33069348335266
17_img_.png: NIQE=37.772765148116804  with dealing time: 34.621591329574585
18_img_.png: NIQE=42.09553487760873  with dealing time: 34.66288876533508
19_img_.png: NIQE=36.85701118142085  with dealing time: 36.05150103569031
20.png: NIQE=36.9960315759163  with dealing time: 34.17711281776428
22_img_.png: NIQE=42.32487992255701  with dealing time: 36.374826431274414
23_img_.png: NIQE=38.17675159816168  with dealing time: 37.78732919692993
24_img_.png: NIQE=53.31690364839257  with dealing time: 36.55800652503967
282_img_.png: NIQE=45.398613040191876  with dealing time: 34.063600063323975
284_img_.png: NIQE=41.29861624763853  with dealing time: 35.2302188873291
288_img_.png: NIQE=41.83834861595597  with dealing time: 35.40329885482788
290_img_.png: NIQE=47.448133321238025  with dealing time: 34.9631929397583
292_img_.png: NIQE=42.234246430335226  with dealing time: 36.51506757736206
293_img_.png: NIQE=38.27325313247843  with dealing time: 34.70033884048462
294_img_.png: NIQE=38.052577235631  with dealing time: 35.60371160507202
295_img_.png: NIQE=43.85204983231632  with dealing time: 35.095367193222046
299_img_.png: NIQE=48.009580095421654  with dealing time: 37.70780682563782
2_img_.png: NIQE=38.313898648780295  with dealing time: 35.48154401779175
300_img_.png: NIQE=44.582735365747894  with dealing time: 35.88959550857544
301_img_.png: NIQE=50.655529717488825  with dealing time: 36.131815910339355
302_img_.png: NIQE=47.465060224895474  with dealing time: 35.79067659378052
303_img_.png: NIQE=46.75109411819028  with dealing time: 35.87378120422363
304_img_.png: NIQE=43.93797561309672  with dealing time: 34.05974364280701
305_img_.png: NIQE=47.429299491763686  with dealing time: 35.859254598617554
306_img_.png: NIQE=43.08877302710398  with dealing time: 33.72678089141846
307_img_.png: NIQE=46.3412455287609  with dealing time: 34.199578285217285
30_img_.png: NIQE=39.98364126380701  with dealing time: 35.483071088790894
311_img_.png: NIQE=47.47768787952826  with dealing time: 33.16085124015808
312_img_.png: NIQE=43.3774739450895  with dealing time: 34.25567150115967
313_img_.png: NIQE=42.76807137572269  with dealing time: 35.11791801452637
314_img_.png: NIQE=55.326123190890115  with dealing time: 35.79256844520569
315_img_.png: NIQE=38.833320632778886  with dealing time: 34.950090408325195
316_img_.png: NIQE=45.062595671071236  with dealing time: 35.87090754508972
317_img_.png: NIQE=43.18546463180884  with dealing time: 33.639044761657715
318_img_.png: NIQE=44.53067194951578  with dealing time: 32.69240856170654
319_img_.png: NIQE=45.636520809029264  with dealing time: 32.974809408187866
320_img_.png: NIQE=45.55355067955779  with dealing time: 34.26197814941406
322_img_.png: NIQE=43.81790426334569  with dealing time: 33.838871240615845
323_img_.png: NIQE=45.512925595381155  with dealing time: 31.3653404712677
324_img_.png: NIQE=40.5935240798495  with dealing time: 30.8747456073761
325_img_.png: NIQE=40.839363616146166  with dealing time: 33.25114393234253
326_img_.png: NIQE=39.68765184983348  with dealing time: 32.57535219192505
327_img_.png: NIQE=45.80467117041933  with dealing time: 32.92828106880188
330_img_.png: NIQE=52.74102870690014  with dealing time: 33.88192081451416
332_img_.png: NIQE=45.344172456137656  with dealing time: 33.388914585113525
334_img_.png: NIQE=48.057015349383995  with dealing time: 33.168521881103516
336_img_.png: NIQE=43.43797515811153  with dealing time: 34.42347049713135
