100001.png: NIQE=53.26823884522122  with dealing time: 49.422683000564575
10091.png: NIQE=40.732528139942254  with dealing time: 41.19496726989746
10103.png: NIQE=42.45415347335588  with dealing time: 37.71892309188843
10167.png: NIQE=38.20091734715086  with dealing time: 36.36038565635681
102.png: NIQE=52.04638453467323  with dealing time: 38.533878803253174
10226.png: NIQE=44.50428787794227  with dealing time: 38.857670068740845
10475.png: NIQE=53.332408650188505  with dealing time: 36.15923881530762
10488.png: NIQE=50.21190752746486  with dealing time: 34.62607169151306
12191.png: NIQE=35.91039613552717  with dealing time: 34.51451802253723
12203.png: NIQE=40.909851602800195  with dealing time: 35.339786529541016
12228.png: NIQE=56.88184610426624  with dealing time: 32.265442848205566
12565.png: NIQE=37.475759513750305  with dealing time: 34.718499422073364
12577.png: NIQE=36.04779736042625  with dealing time: 34.20190978050232
12625.png: NIQE=48.87318187037683  with dealing time: 39.02735733985901
12709.png: NIQE=52.597033872462355  with dealing time: 34.091838121414185
12753.png: NIQE=53.06421562450511  with dealing time: 34.35107088088989
12960.png: NIQE=65.56472028643208  with dealing time: 37.59076714515686
12972.png: NIQE=52.11564658171711  with dealing time: 38.43254542350769
13252.png: NIQE=50.09383399380416  with dealing time: 37.425599336624146
13259.png: NIQE=46.158522630080896  with dealing time: 35.5087513923645
15603.png: NIQE=57.38705451850766  with dealing time: 38.36774134635925
15735.png: NIQE=45.08075383080172  with dealing time: 37.40633988380432
15738.png: NIQE=41.794082248729836  with dealing time: 38.55878496170044
15740.png: NIQE=63.82913719174525  with dealing time: 37.64377570152283
15774.png: NIQE=55.96888632687373  with dealing time: 36.46087837219238
15775.png: NIQE=58.50332524083448  with dealing time: 37.9871666431427
2.png: NIQE=41.903599434014204  with dealing time: 35.462698459625244
2575.png: NIQE=39.401592107023724  with dealing time: 36.434173583984375
2583.png: NIQE=44.95733953266445  with dealing time: 36.7330219745636
2856.png: NIQE=40.88571601612673  with dealing time: 35.36630940437317
3027.png: NIQE=34.710999173820014  with dealing time: 34.51218008995056
3051.png: NIQE=34.72390029721227  with dealing time: 35.584173917770386
3087.png: NIQE=35.7103581154914  with dealing time: 34.40260672569275
3175.png: NIQE=51.176975468290955  with dealing time: 35.47767376899719
3201.png: NIQE=46.92706765319669  with dealing time: 34.75630283355713
3279.png: NIQE=41.96780253458437  with dealing time: 36.292160987854004
34.png: NIQE=40.36946669736798  with dealing time: 36.815595865249634
3494.png: NIQE=47.241123061315015  with dealing time: 36.17058181762695
3519.png: NIQE=45.796322939323325  with dealing time: 38.114673137664795
358_img_.png: NIQE=48.23451695306784  with dealing time: 38.225773334503174
432.png: NIQE=78.07873293822622  with dealing time: 39.48905038833618
5.png: NIQE=57.095474148900074  with dealing time: 39.400474548339844
52.png: NIQE=34.97028635120217  with dealing time: 37.75504159927368
579.png: NIQE=42.621683234925484  with dealing time: 37.42961931228638
605.png: NIQE=41.81417070590503  with dealing time: 33.83830523490906
616.png: NIQE=41.05044759844231  with dealing time: 30.839876174926758
627.png: NIQE=36.65928566650485  with dealing time: 32.57640337944031
6333.png: NIQE=77.73493739564027  with dealing time: 35.24088954925537
6340.png: NIQE=57.76518598414572  with dealing time: 34.17699337005615
643_img_.png: NIQE=32.97366997232954  with dealing time: 34.076380014419556
6527.png: NIQE=56.14395232478039  with dealing time: 34.3703351020813
7277.png: NIQE=38.629026899862154  with dealing time: 31.611042737960815
7291.png: NIQE=42.899303412091854  with dealing time: 31.23576331138611
770.png: NIQE=34.63225947201537  with dealing time: 32.841285943984985
866.png: NIQE=41.471957540028114  with dealing time: 33.38024282455444
880.png: NIQE=43.67827497872489  with dealing time: 34.05743932723999
9553.png: NIQE=44.52336176409884  with dealing time: 33.61692571640015
9602.png: NIQE=39.32355748807764  with dealing time: 31.44164252281189
9607.png: NIQE=36.22702806698174  with dealing time: 33.13444638252258
9618.png: NIQE=43.17255934036782  with dealing time: 33.23125720024109

60 Image Average: NIQE=46.4746467766055, TimePerImage=35.91429886817932, SumTime = 2154.8579320907593s

