12433.png: uiqm=0.6593301168601828, uciqe=0.5157608667445596
149.png: uiqm=-0.05601561128625254, uciqe=0.5144751160949366
161.png: uiqm=0.06832069715344413, uciqe=0.5355606950884453
264574_00031858.png: uiqm=0.9926777276955812, uciqe=0.5306096748184755
264734_00038535.png: uiqm=0.7565003391980973, uciqe=0.5733052317417382
265119_00013763.png: uiqm=0.26547022686961586, uciqe=0.5711837943675321
265130_00031309.png: uiqm=0.6238891448306704, uciqe=0.5274367480571143
265344_00029330.png: uiqm=0.4664039887467125, uciqe=0.5289635868751481
306_img_.png: uiqm=0.38386256910098016, uciqe=0.5391300432198147
332_img_.png: uiqm=0.3910126815693189, uciqe=0.5780330120133177
3330.png: uiqm=0.5457359795870312, uciqe=0.6069803007612612
36.png: uiqm=0.19634500870216598, uciqe=0.5095691009011201
387_img_.png: uiqm=0.7019435835429575, uciqe=0.514407996884171
757_img_.png: uiqm=0.867528876990685, uciqe=0.5746886811536344
819_img_.png: uiqm=0.5769755115892836, uciqe=0.5503868012306188
96.png: uiqm=0.6786885732691281, uciqe=0.5104783863880596
GI_1.png: uiqm=0.344242790084212, uciqe=0.41064753233497475
GI_16.png: uiqm=0.049253353933189636, uciqe=0.5500113856757471
GI_2.png: uiqm=0.5865882005381757, uciqe=0.41883161200168645
GI_22.png: uiqm=0.19969232574645968, uciqe=0.5091470264162765
GI_29.png: uiqm=0.13271405788737395, uciqe=0.3600610898620692
GI_33.png: uiqm=0.8889319082160505, uciqe=0.5978547299744648
GI_35.png: uiqm=0.5364403733016976, uciqe=0.6693071891380109
GI_43.png: uiqm=0.5062725392628877, uciqe=0.6068501195272566
GI_7.png: uiqm=0.653239351507046, uciqe=0.454479347241902
GI_78_CCMSR-Net.png: uiqm=0.8053215717065121, uciqe=0.5605569501585195
GI_8.png: uiqm=1.150773493022378, uciqe=0.43297602900451576
GI_95.png: uiqm=0.4990497335416211, uciqe=0.5230541906182906
gmn_5017up.png: uiqm=0.6780776903121775, uciqe=0.5456814263214919
gmn_5029up.png: uiqm=0.6164509668276037, uciqe=0.5742595640954433
gmn_5148up.png: uiqm=0.6917378574229291, uciqe=0.5827805024703281
gmn_5183up.png: uiqm=0.6563596585268543, uciqe=0.5553844407494164
gmn_5185up.png: uiqm=0.8887996256403188, uciqe=0.6204994865556769
gmn_5228up.png: uiqm=0.47704817859421045, uciqe=0.5294786734099156
gmn_7856up.png: uiqm=0.9233546024027667, uciqe=0.5940770549630157
gmn_7919up.png: uiqm=0.576735563846462, uciqe=0.47284329331409497
im_f1582_.png: uiqm=1.2877579217677022, uciqe=0.560371505405484
im_f2253_.png: uiqm=0.8674864026974658, uciqe=0.5782633259824863
n01496331_1010.png: uiqm=0.4041200074572341, uciqe=0.5393595734152575
n01496331_2044.png: uiqm=0.9125094267320251, uciqe=0.5781514209521809
n01914609_1112.png: uiqm=0.5433468026489081, uciqe=0.59153606743278
n01914609_11380.png: uiqm=0.7410617012500718, uciqe=0.49923660396658576
n01914609_13222.png: uiqm=0.9458763954386278, uciqe=0.5360511387938394
n01914609_13909.png: uiqm=0.7065960937094062, uciqe=0.46525649290628135
n01914609_1437.png: uiqm=0.28474011260040566, uciqe=0.586557671418321
n01914609_1980.png: uiqm=0.9416519631886855, uciqe=0.5895448128547957
n01914609_2054.png: uiqm=0.40173775303697135, uciqe=0.5510876363034319
n01914609_7919.png: uiqm=0.6735276292898547, uciqe=0.5416823355467913
n02607072_2382.png: uiqm=0.1981444149581617, uciqe=0.5595761650767448
n02607072_5845.png: uiqm=0.5433495771817181, uciqe=0.5255915696947036
n02607072_931.png: uiqm=0.6358970651836052, uciqe=0.5750151029503634
NF_1.png: uiqm=0.5071174619093908, uciqe=0.5361043489183251
NF_10.png: uiqm=-0.4676377355888195, uciqe=0.468656034050834
NF_100.png: uiqm=0.5756270662948916, uciqe=0.5360704348135579
NF_110.png: uiqm=0.06335293393030728, uciqe=0.567498438884555
NF_116.png: uiqm=0.4738807205505323, uciqe=0.5438920188599082
NF_123.png: uiqm=0.21967259148386276, uciqe=0.523033390864163
NF_124.png: uiqm=0.7623797527298086, uciqe=0.5463218647158359
NF_13.png: uiqm=0.008145821579344792, uciqe=0.5305532441692049
NF_14.png: uiqm=-0.1984142135310364, uciqe=0.39119928763986067
NF_141.png: uiqm=0.8701771597885518, uciqe=0.5397610817023338
NF_147.png: uiqm=0.33218761322606283, uciqe=0.5126437726971037
NF_148.png: uiqm=0.5322212783953247, uciqe=0.5565006910716902
NF_166.png: uiqm=0.6627663473630834, uciqe=0.5393851780118601
NF_171.png: uiqm=0.6121156813239759, uciqe=0.5005316921165077
NF_172.png: uiqm=-0.04376565478061656, uciqe=0.47807751180001096
NF_174.png: uiqm=0.6580786191387615, uciqe=0.5119336375048511
NF_177.png: uiqm=0.48247337771729426, uciqe=0.5279326301426528
NF_194.png: uiqm=-0.02819717124199428, uciqe=0.5769631810300984
NF_195.png: uiqm=0.2791941181791213, uciqe=0.5521262420045596
NF_2.png: uiqm=0.010177704973124535, uciqe=0.5678600132182822
NF_201.png: uiqm=0.26035976879568956, uciqe=0.4996218647935842
NF_209.png: uiqm=0.702909594317763, uciqe=0.5832243518610033
NF_213.png: uiqm=0.6389424452723926, uciqe=0.5813343605016781
NF_215.png: uiqm=0.4640169150064889, uciqe=0.4850400100292178
NF_218.png: uiqm=1.0116493750550353, uciqe=0.5177751391744276
NF_231.png: uiqm=0.7950604006947999, uciqe=0.5441181575464518
NF_241.png: uiqm=0.7519818372382497, uciqe=0.5465175493534825
NF_242.png: uiqm=-0.07826057925800667, uciqe=0.5339766039066128
NF_252.png: uiqm=0.4155348513961781, uciqe=0.5677575169130424
NF_26.png: uiqm=-0.00447542553839142, uciqe=0.511829072456674
NF_280.png: uiqm=0.4932314347955864, uciqe=0.5759388720390203
NF_285.png: uiqm=0.6663503370854513, uciqe=0.5386791588117914
NF_287.png: uiqm=0.37776910978420286, uciqe=0.5460812686821738
NF_313.png: uiqm=0.5090638039151959, uciqe=0.5514574597937678
NF_32.png: uiqm=0.025194387484697156, uciqe=0.5395354331765608
NF_363.png: uiqm=-0.17219478961759926, uciqe=0.4593211023408931
NF_364.png: uiqm=0.10133446289201387, uciqe=0.4800700385651129
NF_387.png: uiqm=-0.030450688072019783, uciqe=0.49467645870285526
NF_410.png: uiqm=0.27347579895120877, uciqe=0.5311976894608248
NF_417.png: uiqm=-0.3655582878806444, uciqe=0.465712009685159
NF_466.png: uiqm=0.2227502779350503, uciqe=0.5132139842464343
NF_470.png: uiqm=0.8157671614749902, uciqe=0.565784986899561
NF_507.png: uiqm=-0.012792479488404007, uciqe=0.5252983612839787
NF_512.png: uiqm=0.5080197669504779, uciqe=0.5437744021523365
NF_518.png: uiqm=0.907357557038827, uciqe=0.5815661136020492
NF_52.png: uiqm=0.11736910634533548, uciqe=0.487129811883073
NF_56.png: uiqm=0.48963168807855706, uciqe=0.5100028351331989
NF_57.png: uiqm=0.7722532566632563, uciqe=0.525458425897676
NF_60.png: uiqm=0.7568979823502053, uciqe=0.5261333169068042
NF_69.png: uiqm=0.7738434548880399, uciqe=0.6299089078591749
NF_7.png: uiqm=0.2351035496344891, uciqe=0.4502965572255577
NF_70.png: uiqm=0.79260984616505, uciqe=0.6470912572812724
NF_75.png: uiqm=0.5300632844031642, uciqe=0.5534772753493667
NF_78.png: uiqm=0.692268742250191, uciqe=0.5662622724788515
NF_8.png: uiqm=0.23071209458671016, uciqe=0.48488196563609526
NF_81.png: uiqm=0.368352594340707, uciqe=0.5280334042553895
NF_85.png: uiqm=1.2078749035136254, uciqe=0.5800272721236511
NF_94.png: uiqm=1.3383123231125293, uciqe=0.5658835855218609
NF_95.png: uiqm=1.0101422778303053, uciqe=0.49665457289052617

Average: uiqm=0.49974165579739777, uciqe=0.5351711020319133

