12433.png: NIQE=35.32094560065731  with dealing time: 40.06469392776489
149.png: NIQE=42.59649235886162  with dealing time: 47.24136209487915
161.png: NIQE=43.43780063278533  with dealing time: 43.93816161155701
264574_00031858.png: NIQE=36.51701732659529  with dealing time: 35.28458023071289
264734_00038535.png: NIQE=37.11937596585141  with dealing time: 34.10139775276184
265119_00013763.png: NIQE=40.82752090623621  with dealing time: 35.022002935409546
265130_00031309.png: NIQE=35.60172134610105  with dealing time: 33.73400521278381
265344_00029330.png: NIQE=41.56235244293308  with dealing time: 34.35984253883362
306_img_.png: NIQE=43.08877302710398  with dealing time: 33.80302572250366
332_img_.png: NIQE=45.344172456137656  with dealing time: 36.77250361442566
3330.png: NIQE=49.064493115842154  with dealing time: 37.361467599868774
36.png: NIQE=39.92405445122043  with dealing time: 36.907127141952515
387_img_.png: NIQE=34.80717713272644  with dealing time: 34.72794508934021
757_img_.png: NIQE=37.6237863557851  with dealing time: 34.30637073516846
819_img_.png: NIQE=37.822312046026944  with dealing time: 36.674765825271606
96.png: NIQE=46.63846387197943  with dealing time: 37.24512815475464
GI_1.png: NIQE=38.88861147093019  with dealing time: 33.67594313621521
GI_16.png: NIQE=60.190389861939764  with dealing time: 37.99237108230591
GI_2.png: NIQE=51.038027006947665  with dealing time: 33.871192932128906
GI_22.png: NIQE=44.14892117695445  with dealing time: 39.729573488235474
GI_29.png: NIQE=87.57935403745046  with dealing time: 37.76451277732849
GI_33.png: NIQE=40.108966691583404  with dealing time: 35.98965668678284
GI_35.png: NIQE=37.19555671126182  with dealing time: 37.52276611328125
GI_43.png: NIQE=46.28150220660706  with dealing time: 38.560213804244995
GI_7.png: NIQE=38.66080908370818  with dealing time: 34.38520622253418
GI_78_CCMSR-Net.png: NIQE=39.09812940292916  with dealing time: 35.313846826553345
GI_8.png: NIQE=32.86775420691835  with dealing time: 33.56978106498718
GI_95.png: NIQE=35.31657509913167  with dealing time: 35.7391037940979
gmn_5017up.png: NIQE=33.29305537260955  with dealing time: 35.3098509311676
gmn_5029up.png: NIQE=43.73705756356061  with dealing time: 35.038044691085815
gmn_5148up.png: NIQE=40.62726547691195  with dealing time: 34.87353515625
gmn_5183up.png: NIQE=39.99556779509279  with dealing time: 35.320586919784546
gmn_5185up.png: NIQE=37.310426271249646  with dealing time: 36.26972413063049
gmn_5228up.png: NIQE=35.214256579504145  with dealing time: 34.37410068511963
gmn_7856up.png: NIQE=40.253040444328875  with dealing time: 33.0789315700531
gmn_7919up.png: NIQE=46.5641758941525  with dealing time: 34.5156364440918
im_f1582_.png: NIQE=43.48665798182491  with dealing time: 35.117449045181274
im_f2253_.png: NIQE=51.875984334333474  with dealing time: 33.92649841308594
n01496331_1010.png: NIQE=48.413688859795606  with dealing time: 35.406559467315674
n01496331_2044.png: NIQE=49.626382094416314  with dealing time: 34.04511761665344
n01914609_1112.png: NIQE=51.38312537561342  with dealing time: 35.4537832736969
n01914609_11380.png: NIQE=33.97431287953265  with dealing time: 35.608845233917236
n01914609_13222.png: NIQE=34.71388971233559  with dealing time: 36.3956413269043
n01914609_13909.png: NIQE=35.57274521643689  with dealing time: 34.82239294052124
n01914609_1437.png: NIQE=50.68422145197519  with dealing time: 33.51588034629822
n01914609_1980.png: NIQE=46.61149560632249  with dealing time: 34.82381844520569
n01914609_2054.png: NIQE=46.974055478361045  with dealing time: 32.21011137962341
n01914609_7919.png: NIQE=51.19954319080833  with dealing time: 31.902538537979126
n02607072_2382.png: NIQE=52.010276638817984  with dealing time: 34.51847743988037
n02607072_5845.png: NIQE=39.623511659247534  with dealing time: 34.63650679588318
n02607072_931.png: NIQE=49.628927858002164  with dealing time: 33.40725636482239
NF_1.png: NIQE=47.317936528875585  with dealing time: 34.06772017478943
