1.png: NIQE=46.188511709340474  with dealing time: 35.568270206451416
10.png: NIQE=38.000895085154504  with dealing time: 48.4011344909668
100.png: NIQE=41.7914959863901  with dealing time: 45.81631422042847
101.png: NIQE=38.26572381628637  with dealing time: 36.69040298461914
102.png: NIQE=44.52982469904417  with dealing time: 38.750330448150635
103.png: NIQE=42.411442659983344  with dealing time: 38.25983142852783
104.png: NIQE=43.39062175074832  with dealing time: 37.8083119392395
105.png: NIQE=53.537351241716614  with dealing time: 38.912331104278564
106.png: NIQE=48.56715622193196  with dealing time: 38.69653248786926
107.png: NIQE=39.50896920738114  with dealing time: 37.643070697784424
108.png: NIQE=46.72607010687529  with dealing time: 37.35575461387634
109.png: NIQE=45.137274526382946  with dealing time: 37.4555721282959
11.png: NIQE=38.37282794878022  with dealing time: 36.68217611312866
110.png: NIQE=54.10790337620663  with dealing time: 37.44876027107239
111.png: NIQE=50.75818983425304  with dealing time: 38.916786193847656
112.png: NIQE=47.20113296449782  with dealing time: 38.05244064331055
113.png: NIQE=48.804359419313364  with dealing time: 37.50416684150696
114.png: NIQE=54.83796880875323  with dealing time: 38.28159022331238
115.png: NIQE=55.61621872190019  with dealing time: 38.138760805130005
116.png: NIQE=41.012048399808506  with dealing time: 37.81858420372009
117.png: NIQE=41.56471432111244  with dealing time: 37.85109066963196
118.png: NIQE=50.55709418511153  with dealing time: 37.31254029273987
119.png: NIQE=42.35996350076573  with dealing time: 37.31424307823181
12.png: NIQE=39.04320040893601  with dealing time: 36.63887095451355
120.png: NIQE=42.87252700089159  with dealing time: 37.27465867996216
121.png: NIQE=43.98773524600711  with dealing time: 37.5961799621582
122.png: NIQE=41.75230522149056  with dealing time: 37.492732763290405
123.png: NIQE=43.97012905197581  with dealing time: 37.857962131500244
124.png: NIQE=39.58888706838968  with dealing time: 37.86341595649719
125.png: NIQE=40.18009912661988  with dealing time: 37.189818143844604
126.png: NIQE=40.33109734470422  with dealing time: 38.09981036186218
127.png: NIQE=42.312007308707834  with dealing time: 38.12687635421753
128.png: NIQE=44.633746123135786  with dealing time: 37.768354654312134
129.png: NIQE=40.37059632924657  with dealing time: 36.930394887924194
13.png: NIQE=38.611692615500026  with dealing time: 39.41578435897827
130.png: NIQE=41.80172033146676  with dealing time: 37.74744439125061
131.png: NIQE=40.15520981681782  with dealing time: 37.32528758049011
132.png: NIQE=41.36992166384737  with dealing time: 37.308727741241455
133.png: NIQE=39.096372740583774  with dealing time: 39.71307826042175
134.png: NIQE=39.68732890277477  with dealing time: 37.932087421417236
135.png: NIQE=41.5327624307569  with dealing time: 37.70200729370117
136.png: NIQE=41.294785521516516  with dealing time: 37.28402638435364
137.png: NIQE=38.93126453612112  with dealing time: 37.056235551834106
138.png: NIQE=51.31576967684768  with dealing time: 36.692462682724
139.png: NIQE=43.62977150978651  with dealing time: 35.97967720031738
14.png: NIQE=40.00952411495825  with dealing time: 35.01611042022705
140.png: NIQE=48.421773284598096  with dealing time: 35.22292947769165
141.png: NIQE=51.655134639825455  with dealing time: 34.21297740936279
142.png: NIQE=48.69591472992571  with dealing time: 34.00212359428406
143.png: NIQE=55.34234498362633  with dealing time: 34.752421855926514
144.png: NIQE=55.53449022607117  with dealing time: 34.56427717208862
145.png: NIQE=58.740152759428  with dealing time: 35.11769461631775
146.png: NIQE=42.726534715034255  with dealing time: 34.03499889373779
147.png: NIQE=42.874936581195556  with dealing time: 34.60464859008789
148.png: NIQE=55.53900453591644  with dealing time: 34.20367431640625
149.png: NIQE=42.787268845855074  with dealing time: 35.17347979545593
15.png: NIQE=41.51884776930383  with dealing time: 36.12136745452881
150.png: NIQE=50.63688157315305  with dealing time: 35.048131704330444
151.png: NIQE=50.14168428173386  with dealing time: 34.175310134887695
152.png: NIQE=52.217520871436804  with dealing time: 34.19741439819336
153.png: NIQE=47.465393892099364  with dealing time: 33.14395833015442
154.png: NIQE=50.92438701613674  with dealing time: 33.6975257396698
155.png: NIQE=58.38491226687289  with dealing time: 34.6802031993866
156.png: NIQE=44.37406153891397  with dealing time: 33.4220552444458
157.png: NIQE=58.092843049092956  with dealing time: 33.304447412490845
158.png: NIQE=53.13801973918607  with dealing time: 35.72593832015991
159.png: NIQE=59.11027959122019  with dealing time: 41.109729290008545
16.png: NIQE=45.86690340956536  with dealing time: 39.84357023239136
160.png: NIQE=48.638678105244594  with dealing time: 41.69136929512024
161.png: NIQE=43.43780063278533  with dealing time: 42.5275993347168
162.png: NIQE=40.65477470378534  with dealing time: 41.614075660705566
163.png: NIQE=41.29773160418881  with dealing time: 40.18907976150513
164.png: NIQE=39.47894376191556  with dealing time: 42.57551193237305
165.png: NIQE=38.69846968921169  with dealing time: 41.254661560058594
166.png: NIQE=38.12097455010449  with dealing time: 40.770294427871704
167.png: NIQE=39.796702057556494  with dealing time: 41.185603857040405
168.png: NIQE=41.04834020413166  with dealing time: 41.289780378341675
169.png: NIQE=39.61460050038259  with dealing time: 43.412097454071045
17.png: NIQE=44.50335970815974  with dealing time: 40.448763370513916
170.png: NIQE=40.92215292527797  with dealing time: 43.228617429733276
171.png: NIQE=39.46477065095334  with dealing time: 43.480281352996826
172.png: NIQE=42.105117889992925  with dealing time: 40.883434534072876
173.png: NIQE=44.24641069086676  with dealing time: 41.78623700141907
174.png: NIQE=39.43135442619972  with dealing time: 41.93615651130676
175.png: NIQE=41.70990985392834  with dealing time: 41.64343738555908
176.png: NIQE=51.74150316161429  with dealing time: 39.03171730041504
177.png: NIQE=40.77508895546503  with dealing time: 40.88994741439819
178.png: NIQE=36.25520719412737  with dealing time: 39.03807783126831
179.png: NIQE=50.044487977291965  with dealing time: 38.89374256134033
18.png: NIQE=48.63434448355516  with dealing time: 40.511308908462524
180.png: NIQE=37.72013283477605  with dealing time: 38.75247263908386
181.png: NIQE=39.37441142385826  with dealing time: 39.00076770782471
182.png: NIQE=40.68638893845254  with dealing time: 38.81136989593506
183.png: NIQE=40.544345898862574  with dealing time: 41.24348497390747
19.png: NIQE=50.969884147003135  with dealing time: 38.282140016555786
2.png: NIQE=50.707399910283506  with dealing time: 38.77145481109619
20.png: NIQE=45.39982716763651  with dealing time: 38.66554570198059
21.png: NIQE=41.36737866886163  with dealing time: 39.247671365737915
22.png: NIQE=45.0084559733209  with dealing time: 38.977177143096924
23.png: NIQE=47.329901624958595  with dealing time: 42.1975531578064
24.png: NIQE=42.97285624791437  with dealing time: 40.14146041870117
25.png: NIQE=45.52083714205077  with dealing time: 39.30100607872009
26.png: NIQE=45.79417931114282  with dealing time: 42.43571591377258
27.png: NIQE=45.10596250323528  with dealing time: 40.052212715148926
28.png: NIQE=42.3301032368616  with dealing time: 39.289835929870605
29.png: NIQE=50.342014840643664  with dealing time: 41.83695650100708
3.png: NIQE=51.44202874949124  with dealing time: 40.32444357872009
30.png: NIQE=65.93607624961567  with dealing time: 38.710843563079834
31.png: NIQE=48.10387137641472  with dealing time: 35.22011184692383
32.png: NIQE=64.29293876522115  with dealing time: 40.280150175094604
33.png: NIQE=39.06119332369466  with dealing time: 40.05668067932129
34.png: NIQE=37.86067362832999  with dealing time: 35.648677110672
35.png: NIQE=37.39011809958011  with dealing time: 38.85428810119629
36.png: NIQE=40.25625441146082  with dealing time: 37.26779103279114
37.png: NIQE=39.06701333231542  with dealing time: 33.699443340301514
38.png: NIQE=39.6109124951487  with dealing time: 37.77143669128418
39.png: NIQE=44.45866870483161  with dealing time: 42.55732274055481
4.png: NIQE=40.89957002942406  with dealing time: 37.457313537597656
40.png: NIQE=43.531030497034074  with dealing time: 37.973331451416016
41.png: NIQE=43.33983264004599  with dealing time: 39.41747546195984
42.png: NIQE=43.52694001729894  with dealing time: 35.748746395111084
43.png: NIQE=44.314627614747955  with dealing time: 37.120445013046265
44.png: NIQE=42.0000308721259  with dealing time: 40.2667293548584
45.png: NIQE=42.2786108260881  with dealing time: 39.1829035282135
46.png: NIQE=42.02414839184048  with dealing time: 38.71964621543884
47.png: NIQE=40.733629605272824  with dealing time: 39.90686249732971
48.png: NIQE=50.359815286257174  with dealing time: 40.86173224449158
49.png: NIQE=54.351335393710656  with dealing time: 39.76547622680664
5.png: NIQE=41.13542888994315  with dealing time: 41.363152265548706
50.png: NIQE=49.25640836944077  with dealing time: 41.44894456863403
51.png: NIQE=48.02601644326397  with dealing time: 37.53681755065918
52.png: NIQE=47.58462593602422  with dealing time: 40.52165961265564
53.png: NIQE=46.655456423903196  with dealing time: 36.57066774368286
54.png: NIQE=44.341838401003336  with dealing time: 37.1713433265686
55.png: NIQE=43.775609707490155  with dealing time: 39.82214164733887
56.png: NIQE=47.37692688266155  with dealing time: 40.06011152267456
57.png: NIQE=47.02165610090523  with dealing time: 38.79052186012268
58.png: NIQE=41.71235656180973  with dealing time: 38.932610273361206
59.png: NIQE=47.05429447145555  with dealing time: 38.88724374771118
6.png: NIQE=41.26757431519926  with dealing time: 36.76022553443909
60.png: NIQE=36.77642672130589  with dealing time: 40.22948336601257
61.png: NIQE=41.687693830364054  with dealing time: 42.899457693099976
62.png: NIQE=42.97581100374937  with dealing time: 40.23540687561035
63.png: NIQE=55.737034868951405  with dealing time: 43.05091428756714
64.png: NIQE=44.92764356930638  with dealing time: 40.13894605636597
65.png: NIQE=45.189432619475824  with dealing time: 37.397823095321655
66.png: NIQE=41.90592147779839  with dealing time: 39.8748254776001
67.png: NIQE=40.05455306406537  with dealing time: 41.00549840927124
68.png: NIQE=39.480124186121344  with dealing time: 37.543620347976685
69.png: NIQE=40.37470185614306  with dealing time: 40.48523497581482
7.png: NIQE=42.802148649638056  with dealing time: 39.60330629348755
70.png: NIQE=41.24485026965269  with dealing time: 35.69399285316467
71.png: NIQE=40.51724884273479  with dealing time: 39.38495182991028
72.png: NIQE=40.83744813267267  with dealing time: 39.98224687576294
73.png: NIQE=41.7948455646986  with dealing time: 39.38786435127258
74.png: NIQE=40.75205940547563  with dealing time: 40.084569215774536
75.png: NIQE=40.19163507901588  with dealing time: 39.18092226982117
76.png: NIQE=40.810307168812656  with dealing time: 37.01479387283325
77.png: NIQE=38.3295911728111  with dealing time: 38.11501502990723
78.png: NIQE=38.25708123291889  with dealing time: 40.031245470047
79.png: NIQE=40.48048848208768  with dealing time: 37.12859511375427
8.png: NIQE=42.77377307182046  with dealing time: 40.44638180732727
80.png: NIQE=38.5093626827788  with dealing time: 41.22784161567688
81.png: NIQE=40.25633793425446  with dealing time: 38.75190186500549
82.png: NIQE=36.30767652712754  with dealing time: 40.080029249191284
83.png: NIQE=42.98685715180802  with dealing time: 42.526119232177734
84.png: NIQE=41.73373381022404  with dealing time: 37.5396192073822
85.png: NIQE=42.333584377807355  with dealing time: 38.86435651779175
86.png: NIQE=40.76383710198829  with dealing time: 39.907023429870605
87.png: NIQE=39.42968584598328  with dealing time: 37.32094645500183
88.png: NIQE=38.6801142303547  with dealing time: 39.50587844848633
89.png: NIQE=38.44421100188024  with dealing time: 42.81003212928772
9.png: NIQE=37.62535759398925  with dealing time: 38.64073300361633
90.png: NIQE=38.54191835062931  with dealing time: 36.663612365722656
91.png: NIQE=38.62894927939941  with dealing time: 38.03470492362976
92.png: NIQE=39.59510061001338  with dealing time: 35.737181425094604
93.png: NIQE=41.03800374150855  with dealing time: 36.181334495544434
94.png: NIQE=45.34989757879135  with dealing time: 39.82803916931152
95.png: NIQE=48.76660803191515  with dealing time: 40.427836894989014
96.png: NIQE=46.4162412025655  with dealing time: 38.847413301467896
97.png: NIQE=50.34086039597427  with dealing time: 41.40425944328308
98.png: NIQE=41.67419264924869  with dealing time: 39.44329595565796
99.png: NIQE=40.243669335018176  with dealing time: 38.89124393463135

183 Image Average: NIQE=44.21488983057673, TimePerImage=38.63696331534881, SumTime = 7070.564286708832s

