1.png: uiqm=0.5564605544898671, uciqe=0.579464371647924
10.png: uiqm=0.8865453027391181, uciqe=0.5208777884020239
11.png: uiqm=0.5006503223920121, uciqe=0.5084277902329464
12.png: uiqm=0.9943417802814151, uciqe=0.5350159582492084
13.png: uiqm=0.9475061450832698, uciqe=0.5745400547477144
14.png: uiqm=0.44866128803443117, uciqe=0.6027092010519994
15.png: uiqm=0.6521245589368561, uciqe=0.565390373466381
16.png: uiqm=0.7204673036510364, uciqe=0.5089961156144105
17.png: uiqm=0.7144946262442847, uciqe=0.6181989670272159
18.png: uiqm=0.8220981011305148, uciqe=0.6562068516175031
19.png: uiqm=0.7106114043709614, uciqe=0.6434427729175349
2.png: uiqm=0.6194067421118291, uciqe=0.5931619253224296
20.png: uiqm=0.552043280500306, uciqe=0.596261831010793
21.png: uiqm=0.8278669947566429, uciqe=0.6456989257336391
22.png: uiqm=0.8055276704886242, uciqe=0.6074046158466667
23.png: uiqm=0.5200688572954425, uciqe=0.5360784272513205
24.png: uiqm=0.584760922553985, uciqe=0.6241499755992513
25.png: uiqm=0.732778479089295, uciqe=0.6163744603738548
26.png: uiqm=0.7377064363241435, uciqe=0.5416220507762396
27.png: uiqm=0.8209948817738986, uciqe=0.633035321093361
28.png: uiqm=0.7859303397288095, uciqe=0.5847460605910219
29.png: uiqm=0.9040208102407885, uciqe=0.5320728329225716
3.png: uiqm=0.6612318284113843, uciqe=0.5212277876171386
30.png: uiqm=0.5433634884286791, uciqe=0.5928393551738977
31.png: uiqm=0.8522050148193505, uciqe=0.5823344277433842
32.png: uiqm=0.7629809095629437, uciqe=0.5679592221532753
33.png: uiqm=1.1639357744258398, uciqe=0.5729599785861738
34.png: uiqm=1.1061442516772153, uciqe=0.5446021486078038
35.png: uiqm=0.9611112007741991, uciqe=0.5610233862840811
36.png: uiqm=0.8483325844634071, uciqe=0.5635365817319067
37.png: uiqm=0.9555564316298065, uciqe=0.5865760990008535
38.png: uiqm=0.7850386445230847, uciqe=0.5941883774484876
39.png: uiqm=0.8514820176243154, uciqe=0.5872530764016272
4.png: uiqm=0.056100612411786877, uciqe=0.45407764829079583
40.png: uiqm=1.0993278533398727, uciqe=0.5012313690397189
41.png: uiqm=0.8612489233879133, uciqe=0.5053342531128443
42.png: uiqm=0.7641410225272484, uciqe=0.5164946367609866
43.png: uiqm=1.0348028901960133, uciqe=0.5756273696852846
44.png: uiqm=0.9120902926882025, uciqe=0.5946173539465973
45.png: uiqm=0.8138770097097532, uciqe=0.5899279720487689
5.png: uiqm=0.5708577036915335, uciqe=0.5433878680903887
6.png: uiqm=0.8059778768447948, uciqe=0.5913915436277951
7.png: uiqm=0.6418432412985977, uciqe=0.5676822958018153
8.png: uiqm=0.7276756919445156, uciqe=0.6199507692553153
9.png: uiqm=0.9357132514811686, uciqe=0.5638851266200907

Average: uiqm=0.768002340401759, uciqe=0.571599673745001

