100001.png: uiqm=0.15608534349218828, uciqe=0.45978115212183257
10091.png: uiqm=0.7079846888349551, uciqe=0.5920509229730434
10103.png: uiqm=0.9086109214094763, uciqe=0.5502155240965885
10167.png: uiqm=0.26706769816552, uciqe=0.5907849583877127
102.png: uiqm=0.41110763836446595, uciqe=0.562859903914133
10226.png: uiqm=0.3921245224931359, uciqe=0.5932462660082553
10475.png: uiqm=0.5513285034531931, uciqe=0.5420864049854845
10488.png: uiqm=0.6745843377909811, uciqe=0.5386692488869318
12191.png: uiqm=0.8432238670430019, uciqe=0.5037934175161565
12203.png: uiqm=0.4806846337197558, uciqe=0.5614772555711485
12228.png: uiqm=0.32010127436793023, uciqe=0.38337842665505495
12565.png: uiqm=0.7289693928799834, uciqe=0.48134875803669086
12577.png: uiqm=0.8548282985145834, uciqe=0.5381721580117231
12625.png: uiqm=0.2646060137871826, uciqe=0.47544399450015545
12709.png: uiqm=0.45506544470867705, uciqe=0.513123854701003
12753.png: uiqm=0.3050743257670356, uciqe=0.4784222963704833
12960.png: uiqm=0.3341520015195749, uciqe=0.5063401132856732
12972.png: uiqm=0.617034346812587, uciqe=0.6355655331179154
13252.png: uiqm=-0.33005300739255017, uciqe=0.557303129606858
13259.png: uiqm=0.6213500690294499, uciqe=0.5646477333002136
15603.png: uiqm=0.24095509080139066, uciqe=0.4886764761298832
15735.png: uiqm=0.14098779458379834, uciqe=0.40069141291421445
15738.png: uiqm=0.3169958847953084, uciqe=0.5136246856495801
15740.png: uiqm=0.5512296127743649, uciqe=0.4676103402724342
15774.png: uiqm=0.8561464830753798, uciqe=0.535059525890632
15775.png: uiqm=0.4704409081326332, uciqe=0.40974735048017175
2.png: uiqm=1.0385694780655044, uciqe=0.4963947110675103
2575.png: uiqm=0.7180905861896772, uciqe=0.570575050670839
2583.png: uiqm=0.4207535518784239, uciqe=0.5656148932133851
2856.png: uiqm=0.384183181932649, uciqe=0.5752352466006136
3027.png: uiqm=0.7918265766221506, uciqe=0.5954108065256924
3051.png: uiqm=0.44991215657861816, uciqe=0.5756032620474135
3087.png: uiqm=1.0943070870499203, uciqe=0.5988799527150441
3175.png: uiqm=0.2377435988061538, uciqe=0.480608884560226
3201.png: uiqm=0.3590665528583957, uciqe=0.5288589772292847
3279.png: uiqm=0.6264536181057366, uciqe=0.4748588447513157
34.png: uiqm=0.5526009072922413, uciqe=0.6651924998149445
3494.png: uiqm=0.1722519327837574, uciqe=0.583683760539582
3519.png: uiqm=0.6095501383624441, uciqe=0.619009476082305
358_img_.png: uiqm=0.5293452896574653, uciqe=0.5912303183702436
432.png: uiqm=0.09980183369599954, uciqe=0.44391519681354596
5.png: uiqm=0.20442860226143478, uciqe=0.5814377219004573
52.png: uiqm=0.6760980347705905, uciqe=0.6605027479698642
579.png: uiqm=0.471596735389754, uciqe=0.5799078140082263
605.png: uiqm=0.6602659923484967, uciqe=0.6148418386784578
616.png: uiqm=0.7746357028602033, uciqe=0.5948199074415594
627.png: uiqm=0.6876346206465227, uciqe=0.6049105227858995
6333.png: uiqm=0.498520577070495, uciqe=0.552275040286692
6340.png: uiqm=0.5144160280574078, uciqe=0.5649836297745588
643_img_.png: uiqm=0.7950038827050832, uciqe=0.6226220220100017
6527.png: uiqm=0.3012109611746109, uciqe=0.5089015746529295
7277.png: uiqm=0.5926359122915432, uciqe=0.5156391631902579
7291.png: uiqm=1.065892995780362, uciqe=0.529009056483311
770.png: uiqm=0.8060533822065227, uciqe=0.5362374134832412
866.png: uiqm=0.8931209781260411, uciqe=0.5171670697626942
880.png: uiqm=0.9897670042004191, uciqe=0.5703957571739209
9553.png: uiqm=0.9330442201720994, uciqe=0.5357429303587461
9602.png: uiqm=0.39880866025369144, uciqe=0.5787805610754505
9607.png: uiqm=0.5890290237571505, uciqe=0.5710765115648039
9618.png: uiqm=0.399708189474167, uciqe=0.5996017399938584

Average: uiqm=0.5412835680391622, uciqe=0.5441340957830143

