12433.png: NIQE=36.629643599957035  with dealing time: 48.82479119300842
149.png: NIQE=40.448574677019465  with dealing time: 75.67063808441162
161.png: NIQE=39.74131485009423  with dealing time: 85.92611742019653
264574_00031858.png: NIQE=40.102966936871574  with dealing time: 78.23521304130554
264734_00038535.png: NIQE=36.51775400502579  with dealing time: 87.63776278495789
265119_00013763.png: NIQE=41.668417403387096  with dealing time: 89.42302513122559
265130_00031309.png: NIQE=35.99324172260701  with dealing time: 97.42810702323914
265344_00029330.png: NIQE=40.80417363120659  with dealing time: 98.5633156299591
306_img_.png: NIQE=39.18220697116722  with dealing time: 91.31228470802307
332_img_.png: NIQE=43.8030415667827  with dealing time: 105.85020637512207
3330.png: NIQE=56.04327184426818  with dealing time: 90.75882625579834
36.png: NIQE=36.14902797568881  with dealing time: 102.81833243370056
387_img_.png: NIQE=35.913091460769344  with dealing time: 78.60152673721313
757_img_.png: NIQE=34.64226801901198  with dealing time: 77.63343095779419
819_img_.png: NIQE=36.46744736160517  with dealing time: 94.01586437225342
96.png: NIQE=42.63655390064674  with dealing time: 106.06247735023499
GI_1.png: NIQE=37.48946263941761  with dealing time: 77.90817260742188
GI_16.png: NIQE=53.780892394603555  with dealing time: 89.66578650474548
GI_2.png: NIQE=52.267577533801166  with dealing time: 86.78058743476868
GI_22.png: NIQE=44.63780307317289  with dealing time: 112.72865796089172
GI_29.png: NIQE=88.51146565614309  with dealing time: 111.75346279144287
GI_33.png: NIQE=35.095778715114214  with dealing time: 104.02528023719788
GI_35.png: NIQE=37.05593139744462  with dealing time: 88.13454723358154
GI_43.png: NIQE=44.05245006674678  with dealing time: 91.24738645553589
GI_7.png: NIQE=36.772424651626984  with dealing time: 108.55705189704895
GI_78.png: NIQE=37.447595456306765  with dealing time: 79.56961274147034
GI_8.png: NIQE=32.52960433687829  with dealing time: 89.39113426208496
GI_95.png: NIQE=36.32742698454376  with dealing time: 93.34812426567078
gmn_5017up.png: NIQE=28.367883759297428  with dealing time: 79.29589056968689
gmn_5029up.png: NIQE=47.27084292727133  with dealing time: 89.6309187412262
gmn_5148up.png: NIQE=41.7003149668131  with dealing time: 86.32367444038391
gmn_5183up.png: NIQE=35.95955986004273  with dealing time: 85.15247750282288
gmn_5185up.png: NIQE=37.483288262064214  with dealing time: 98.45918917655945
gmn_5228up.png: NIQE=36.48630615725118  with dealing time: 88.70440220832825
gmn_7856up.png: NIQE=38.45236657644643  with dealing time: 80.99838280677795
gmn_7919up.png: NIQE=43.439940770221355  with dealing time: 68.74512314796448
im_f1582_.png: NIQE=39.49020921092983  with dealing time: 72.94867253303528
im_f2253_.png: NIQE=51.23167047743441  with dealing time: 76.86732959747314
n01496331_1010.png: NIQE=47.8838935981745  with dealing time: 78.64823794364929
n01496331_2044.png: NIQE=47.415126944155276  with dealing time: 97.76593947410583
n01914609_1112.png: NIQE=46.6842595807342  with dealing time: 72.8286337852478
n01914609_11380.png: NIQE=32.018266672090206  with dealing time: 96.93683791160583
n01914609_13222.png: NIQE=33.66244592432085  with dealing time: 102.63731217384338
n01914609_13909.png: NIQE=34.60731116972006  with dealing time: 92.5843677520752
n01914609_1437.png: NIQE=56.686302047749635  with dealing time: 78.6042754650116
n01914609_1980.png: NIQE=48.06382625105649  with dealing time: 98.34315013885498
n01914609_2054.png: NIQE=50.87490908099273  with dealing time: 105.82908010482788
n01914609_7919.png: NIQE=47.282715650482366  with dealing time: 105.3209798336029
n02607072_2382.png: NIQE=53.31928359594167  with dealing time: 105.95147657394409
n02607072_5845.png: NIQE=41.66893314379158  with dealing time: 79.45761489868164
n02607072_931.png: NIQE=47.25960190617948  with dealing time: 81.67571377754211
NF_1.png: NIQE=60.00210813216474  with dealing time: 87.77498745918274
NF_10.png: NIQE=74.96474663586577  with dealing time: 88.80922651290894
NF_100.png: NIQE=45.17243264181545  with dealing time: 84.11727452278137
NF_110.png: NIQE=51.776676067501  with dealing time: 92.476966381073
NF_116.png: NIQE=51.36254600845225  with dealing time: 89.817706823349
NF_123.png: NIQE=46.85867657562696  with dealing time: 76.1901433467865
NF_124.png: NIQE=38.282601904300186  with dealing time: 75.99458694458008
NF_13.png: NIQE=68.18720787789309  with dealing time: 61.4334774017334
NF_14.png: NIQE=67.06593517006102  with dealing time: 65.56973886489868
NF_141.png: NIQE=35.97512786336324  with dealing time: 69.77897357940674
NF_147.png: NIQE=40.011654622475405  with dealing time: 68.32969260215759
NF_148.png: NIQE=43.053577788619414  with dealing time: 70.23003220558167
NF_166.png: NIQE=40.76779927420307  with dealing time: 68.67814993858337
NF_171.png: NIQE=40.36813742522139  with dealing time: 74.16928458213806
NF_172.png: NIQE=41.457651323157  with dealing time: 70.34793496131897
NF_174.png: NIQE=42.85343606590921  with dealing time: 76.34439873695374
NF_177.png: NIQE=45.2492227175841  with dealing time: 100.655921459198
NF_194.png: NIQE=104.59122327858972  with dealing time: 82.04802584648132
NF_195.png: NIQE=51.5623664858115  with dealing time: 93.11198616027832
NF_2.png: NIQE=62.118311094949604  with dealing time: 96.58640480041504
NF_201.png: NIQE=42.49821763576147  with dealing time: 80.04722166061401
NF_209.png: NIQE=37.36022611487284  with dealing time: 75.36690378189087
NF_213.png: NIQE=39.411902850629346  with dealing time: 81.62012195587158
NF_215.png: NIQE=43.05983278176756  with dealing time: 76.86650586128235
NF_218.png: NIQE=43.46311053918191  with dealing time: 81.12182760238647
NF_231.png: NIQE=37.815776929594165  with dealing time: 75.8573648929596
NF_241.png: NIQE=32.152263116671406  with dealing time: 78.66230773925781
NF_242.png: NIQE=38.79762873640372  with dealing time: 72.39178681373596
NF_252.png: NIQE=42.989414392685966  with dealing time: 78.3202178478241
NF_26.png: NIQE=52.02275726582124  with dealing time: 73.34731984138489
NF_280.png: NIQE=61.521570629669235  with dealing time: 87.9928343296051
NF_285.png: NIQE=46.56827105836075  with dealing time: 84.10624623298645
NF_287.png: NIQE=50.43038701582759  with dealing time: 86.39911484718323
NF_313.png: NIQE=54.87691352437638  with dealing time: 81.35840201377869
NF_32.png: NIQE=58.29293298929294  with dealing time: 70.49247479438782
NF_363.png: NIQE=47.160909171364445  with dealing time: 74.5772933959961
NF_364.png: NIQE=42.058798701865406  with dealing time: 77.18132138252258
NF_387.png: NIQE=44.61135235542236  with dealing time: 77.06182909011841
NF_410.png: NIQE=46.81849825546819  with dealing time: 77.4736340045929
NF_417.png: NIQE=58.61690725728006  with dealing time: 75.6279149055481
NF_466.png: NIQE=48.261772115989395  with dealing time: 80.71718168258667
NF_470.png: NIQE=40.73590912377959  with dealing time: 78.9766628742218
NF_507.png: NIQE=59.30650772632945  with dealing time: 85.3256447315216
NF_512.png: NIQE=44.00251599295782  with dealing time: 83.34536051750183
NF_518.png: NIQE=39.08322564360502  with dealing time: 91.13990044593811
NF_52.png: NIQE=50.86953611154968  with dealing time: 78.0215334892273
NF_56.png: NIQE=47.435783858285006  with dealing time: 73.65546083450317
NF_57.png: NIQE=46.28405974408084  with dealing time: 76.35057997703552
NF_60.png: NIQE=47.682144180261204  with dealing time: 79.02844405174255
NF_69.png: NIQE=44.76186053856347  with dealing time: 91.4752082824707
NF_7.png: NIQE=48.892093594188324  with dealing time: 80.43162059783936
NF_70.png: NIQE=48.652737235739664  with dealing time: 88.62873840332031
NF_75.png: NIQE=39.11228842588678  with dealing time: 83.27739095687866
NF_78.png: NIQE=43.067666990609496  with dealing time: 84.22477197647095
NF_8.png: NIQE=50.518486860623945  with dealing time: 87.40409326553345
NF_81.png: NIQE=37.22292905899854  with dealing time: 99.41248893737793
NF_85.png: NIQE=37.700406818424845  with dealing time: 91.14355421066284
NF_94.png: NIQE=35.036479730046  with dealing time: 73.56864857673645
NF_95.png: NIQE=43.48280411636018  with dealing time: 69.08537864685059

110 Image Average: NIQE=45.31217259552026, TimePerImage=84.53756020936099, SumTime = 9299.131623029709s

