12433.png: uiqm=0.45809033149292466, uciqe=0.5593796734924144
149.png: uiqm=0.16686538465827228, uciqe=0.517638757327489
161.png: uiqm=0.4819662405753873, uciqe=0.5561014837526332
264574_00031858.png: uiqm=1.3587902053786913, uciqe=0.5720295073597399
264734_00038535.png: uiqm=0.512473585185198, uciqe=0.5952135185299963
265119_00013763.png: uiqm=0.29139195046309707, uciqe=0.5808883734689695
265130_00031309.png: uiqm=0.5464941412393189, uciqe=0.5568857403698526
265344_00029330.png: uiqm=0.5657934494184464, uciqe=0.5630358873488086
306_img_.png: uiqm=0.4830180500775867, uciqe=0.5653681244331588
332_img_.png: uiqm=0.5183200087535955, uciqe=0.6006307430424519
3330.png: uiqm=0.355005191388847, uciqe=0.6115997984890289
36.png: uiqm=0.3231754462357228, uciqe=0.5378874578462183
387_img_.png: uiqm=0.7442722693378343, uciqe=0.5196850594274262
757_img_.png: uiqm=0.869717671423746, uciqe=0.5928496486804282
819_img_.png: uiqm=0.7042198406051806, uciqe=0.5772423393874561
96.png: uiqm=0.38508343286998137, uciqe=0.5363398265774195
GI_1.png: uiqm=0.5969056861102493, uciqe=0.4548965008091471
GI_16.png: uiqm=0.37712629878845816, uciqe=0.5499358796634974
GI_2.png: uiqm=0.4447661544199146, uciqe=0.39256060642690827
GI_22.png: uiqm=0.2868579791484842, uciqe=0.5354966131395039
GI_29.png: uiqm=0.41980683243014394, uciqe=0.4713072547901568
GI_33.png: uiqm=0.8276367486469614, uciqe=0.5986532592677645
GI_35.png: uiqm=0.5613236126792275, uciqe=0.6911024693785713
GI_43.png: uiqm=0.2573354906758595, uciqe=0.6275514084577014
GI_7.png: uiqm=1.2747414860381017, uciqe=0.5137393993544838
GI_78.png: uiqm=0.9336837145136003, uciqe=0.6038139409671888
GI_8.png: uiqm=1.3770251113996528, uciqe=0.49513862152360044
GI_95.png: uiqm=0.431952889756125, uciqe=0.5701440075647719
gmn_5017up.png: uiqm=0.8424199672110255, uciqe=0.6176064506805522
gmn_5029up.png: uiqm=0.5955736823128648, uciqe=0.6326146947000393
gmn_5148up.png: uiqm=0.3380995951853095, uciqe=0.6101481225723888
gmn_5183up.png: uiqm=0.9319417433606303, uciqe=0.5648908202533345
gmn_5185up.png: uiqm=0.961880576226064, uciqe=0.6437419712554888
gmn_5228up.png: uiqm=0.9764860904671295, uciqe=0.6049329125857447
gmn_7856up.png: uiqm=1.04576184253792, uciqe=0.6142758888243693
gmn_7919up.png: uiqm=0.6956807378703633, uciqe=0.5411346183674073
im_f1582_.png: uiqm=1.3192664594561552, uciqe=0.5909444038276471
im_f2253_.png: uiqm=0.6687747407260902, uciqe=0.5479484212127135
n01496331_1010.png: uiqm=0.568760854143014, uciqe=0.543876954967698
n01496331_2044.png: uiqm=0.6169184348215, uciqe=0.5814207149659529
n01914609_1112.png: uiqm=0.48629339784309544, uciqe=0.5991243472077072
n01914609_11380.png: uiqm=0.7701718738671992, uciqe=0.5399984361478012
n01914609_13222.png: uiqm=1.1810080319298324, uciqe=0.572258144404802
n01914609_13909.png: uiqm=1.3738862883597094, uciqe=0.5524646658191088
n01914609_1437.png: uiqm=0.41987893266764154, uciqe=0.6103973672742865
n01914609_1980.png: uiqm=0.9261026629843745, uciqe=0.5908348132184005
n01914609_2054.png: uiqm=0.671062480352904, uciqe=0.5611702711601332
n01914609_7919.png: uiqm=0.7666030337537473, uciqe=0.5776957768439922
n02607072_2382.png: uiqm=0.3318509662990359, uciqe=0.5723395340871669
n02607072_5845.png: uiqm=0.7019584096824054, uciqe=0.5835461056827541
n02607072_931.png: uiqm=0.6653894132450087, uciqe=0.5886929094609784
NF_1.png: uiqm=0.4713126806004685, uciqe=0.593625752528478
NF_10.png: uiqm=-0.04120625094727626, uciqe=0.5391183236733441
NF_100.png: uiqm=0.6791552468147938, uciqe=0.5474583154943808
NF_110.png: uiqm=0.252739080539492, uciqe=0.5476065234362539
NF_116.png: uiqm=0.684415540820208, uciqe=0.5273270176735331
NF_123.png: uiqm=0.01114974318915718, uciqe=0.5040077251793686
NF_124.png: uiqm=0.894550428724155, uciqe=0.5331403288598082
NF_13.png: uiqm=-0.07397124086560386, uciqe=0.4219961824987001
NF_14.png: uiqm=-0.0528896524195952, uciqe=0.38323628761529516
NF_141.png: uiqm=0.8771631842913976, uciqe=0.5413248068890208
NF_147.png: uiqm=0.4140516381079892, uciqe=0.49898069633489306
NF_148.png: uiqm=0.659850266245807, uciqe=0.5404233522965565
NF_166.png: uiqm=0.7155897528863677, uciqe=0.5254192601798
NF_171.png: uiqm=0.6791044207246067, uciqe=0.5511379783825774
