1.jpg: uiqm=0.37613778202217196, uciqe=0.5348838241172302
10.jpg: uiqm=0.4602434981816532, uciqe=0.5582890936560791
100.jpg: uiqm=0.44559831358199586, uciqe=0.523227412278554
101.jpg: uiqm=0.4796585359072535, uciqe=0.5554547318417962
102.jpg: uiqm=0.37759194485775927, uciqe=0.5508376601645733
103.jpg: uiqm=0.4093725909403757, uciqe=0.5429140380159387
104.jpg: uiqm=0.41543193344463614, uciqe=0.5429875522642246
105.jpg: uiqm=0.47134052417347216, uciqe=0.545319708023402
106.jpg: uiqm=0.48403582216072294, uciqe=0.5398676745242845
107.jpg: uiqm=0.4442000080514463, uciqe=0.5178592137619769
108.jpg: uiqm=0.3177291489549844, uciqe=0.5254702601723203
109.jpg: uiqm=0.4030433212867258, uciqe=0.524610705014637
11.jpg: uiqm=0.4704949423690875, uciqe=0.5579377817383684
110.jpg: uiqm=0.3442102713624351, uciqe=0.5235377026367036
111.jpg: uiqm=0.20493617874186731, uciqe=0.5496724361710634
112.jpg: uiqm=0.4569701889329789, uciqe=0.5257938236814496
113.jpg: uiqm=0.4698269564069736, uciqe=0.5259595834842724
114.jpg: uiqm=0.1585698052410348, uciqe=0.5285605549061904
115.jpg: uiqm=0.18470450677764627, uciqe=0.546497573377849
116.jpg: uiqm=0.5257960246054604, uciqe=0.5212168725747635
117.jpg: uiqm=0.578650574663381, uciqe=0.5242155130853545
118.jpg: uiqm=0.716298991412941, uciqe=0.5113612358967862
119.jpg: uiqm=0.4338819618275306, uciqe=0.5522482313779801
12.jpg: uiqm=0.47740701911867, uciqe=0.5576450451487636
120.jpg: uiqm=0.3083316740473948, uciqe=0.5313280235233722
121.jpg: uiqm=0.3695218942506353, uciqe=0.5277678430106613
122.jpg: uiqm=0.3597802101668287, uciqe=0.5365317902827387
123.jpg: uiqm=0.35177340250820766, uciqe=0.5367436772587548
124.jpg: uiqm=0.33568692590306004, uciqe=0.539878529808837
125.jpg: uiqm=0.3406929491863764, uciqe=0.5356898935018274
126.jpg: uiqm=0.29893324173685953, uciqe=0.5326596103716301
127.jpg: uiqm=0.39678514536852416, uciqe=0.5146906379871624
128.jpg: uiqm=0.6527818612754878, uciqe=0.5068328347895188
129.jpg: uiqm=0.38783004647225094, uciqe=0.5523057425945997
13.jpg: uiqm=0.4611156966027833, uciqe=0.5560606469543534
130.jpg: uiqm=0.4473863106610969, uciqe=0.5469596543432542
131.jpg: uiqm=0.31636399184056196, uciqe=0.533078842752635
132.jpg: uiqm=0.3474804240789179, uciqe=0.5360570823809232
133.jpg: uiqm=0.17867173814086124, uciqe=0.5465657715580718
134.jpg: uiqm=0.5094934477280865, uciqe=0.5452954201868065
135.jpg: uiqm=0.49960642082077333, uciqe=0.5452028366480866
136.jpg: uiqm=0.39564833494946117, uciqe=0.5434090340541083
137.jpg: uiqm=0.3365809296873139, uciqe=0.5438803608521381
138.jpg: uiqm=0.17450179078284866, uciqe=0.5293422558915732
139.jpg: uiqm=0.18260770179798036, uciqe=0.5466016301253513
14.jpg: uiqm=0.29742435064235906, uciqe=0.5509744459546613
140.jpg: uiqm=0.22576884968593147, uciqe=0.5565554165693803
141.jpg: uiqm=0.4326796541791186, uciqe=0.5367066475052206
142.jpg: uiqm=0.22846183258003472, uciqe=0.5556472108286421
143.jpg: uiqm=0.18206273838587927, uciqe=0.5216936779249441
144.jpg: uiqm=0.20762468278477753, uciqe=0.5368188252719047
145.jpg: uiqm=0.23704644878282422, uciqe=0.5467566442765699
146.jpg: uiqm=0.3879764325472337, uciqe=0.5122482901316469
