100001.png: uiqm=0.1185447006665592, uciqe=0.4597161540009573
10091.png: uiqm=0.4835890002777403, uciqe=0.5919566951705737
10103.png: uiqm=0.9059439691128539, uciqe=0.5490317013421381
10167.png: uiqm=0.4191969559820376, uciqe=0.5907760469497352
102.png: uiqm=0.3051924897626475, uciqe=0.5617596012341646
10226.png: uiqm=0.3383155793537802, uciqe=0.5932320970834934
10475.png: uiqm=0.5717598364368193, uciqe=0.5399282984396321
10488.png: uiqm=0.6964967159664314, uciqe=0.5386299669857539
12191.png: uiqm=1.147658163707713, uciqe=0.5026744832539068
12203.png: uiqm=0.7171789250807017, uciqe=0.5614340497192901
12228.png: uiqm=0.4000195163842123, uciqe=0.38336559298933226
12565.png: uiqm=0.9578467870043021, uciqe=0.48131952397481526
12577.png: uiqm=1.1561749853455106, uciqe=0.5348858807932365
12625.png: uiqm=0.3663668856916411, uciqe=0.4754321914347698
12709.png: uiqm=0.45090990327153896, uciqe=0.513114840919802
12753.png: uiqm=0.43280243513875216, uciqe=0.4773559245746263
12960.png: uiqm=0.27116232152476494, uciqe=0.5063218980456512
12972.png: uiqm=0.5068757394882533, uciqe=0.633405611823693
13252.png: uiqm=-0.1733513866169398, uciqe=0.5572977047497816
13259.png: uiqm=0.7569337505219618, uciqe=0.5624880631016792
15603.png: uiqm=0.1622773736849213, uciqe=0.488652455757673
15735.png: uiqm=0.09402863782739923, uciqe=0.4006643728853009
15738.png: uiqm=0.24302493900167838, uciqe=0.5125447822833912
15740.png: uiqm=0.4304654142837592, uciqe=0.4676107705076228
15774.png: uiqm=0.8355736578515648, uciqe=0.5339326435931948
15775.png: uiqm=0.44738235684222294, uciqe=0.40971488547930757
2.png: uiqm=1.0643706966086446, uciqe=0.496262194614017
2575.png: uiqm=0.6796508330262231, uciqe=0.5705482747477986
2583.png: uiqm=0.46386992695316603, uciqe=0.5656039902355376
2856.png: uiqm=0.5225063357283265, uciqe=0.5751900006913039
3027.png: uiqm=0.7864112159886258, uciqe=0.5943119758664002
3051.png: uiqm=0.5317948476964249, uciqe=0.575593212749391
3087.png: uiqm=0.9300229077823439, uciqe=0.5987241134402874
3175.png: uiqm=0.14588398341367817, uciqe=0.4805816996945174
3201.png: uiqm=0.28317135986616165, uciqe=0.5288318473786623
3279.png: uiqm=0.6918535118656695, uciqe=0.47375538831302927
34.png: uiqm=0.516805442194753, uciqe=0.6641079115653513
3494.png: uiqm=0.36182179833077754, uciqe=0.5836977501893332
3519.png: uiqm=0.6014575135546527, uciqe=0.6190006960009763
358_img_.png: uiqm=0.516177184992031, uciqe=0.5911803172241651
432.png: uiqm=0.06149765860754522, uciqe=0.44389634418728985
5.png: uiqm=0.14446336588246023, uciqe=0.5814225673851835
52.png: uiqm=0.6206828439119031, uciqe=0.6583448594910357
579.png: uiqm=0.3680863559134845, uciqe=0.5798918165643614
605.png: uiqm=0.6924404810156716, uciqe=0.614834714966601
616.png: uiqm=0.7052838620659261, uciqe=0.5947938864100232
627.png: uiqm=0.6573819176699529, uciqe=0.6048989081678553
6333.png: uiqm=0.4054483305578845, uciqe=0.5501012515286683
6340.png: uiqm=0.4091959880266499, uciqe=0.5649833935347237
643_img_.png: uiqm=0.7012013505368745, uciqe=0.6224629461238407
6527.png: uiqm=0.10685527609443468, uciqe=0.5077869649945674
7277.png: uiqm=0.6432670812096498, uciqe=0.515601203454972
7291.png: uiqm=1.0008704394744978, uciqe=0.5289499733575752
770.png: uiqm=0.9581831843183153, uciqe=0.5362032395505759
866.png: uiqm=0.9210255781000787, uciqe=0.5171339478156077
880.png: uiqm=0.867672948818337, uciqe=0.5692937916763235
9553.png: uiqm=0.8658100051580362, uciqe=0.5357472150745604
9602.png: uiqm=0.2739891332562637, uciqe=0.5787600678422986
9607.png: uiqm=0.5433107221895727, uciqe=0.5710667442359023
9618.png: uiqm=0.37694626982876084, uciqe=0.5995642800856195

Average: uiqm=0.5410296667371768, uciqe=0.5436728954375314

