12433.png: uiqm=0.638521829741088, uciqe=0.5593700859385475
149.png: uiqm=0.29585639834273664, uciqe=0.5175951567728807
161.png: uiqm=0.5829577709095649, uciqe=0.5561110826168376
264574_00031858.png: uiqm=1.3587902053786913, uciqe=0.5720295073597399
264734_00038535.png: uiqm=0.512473585185198, uciqe=0.5952135185299963
265119_00013763.png: uiqm=0.29139195046309707, uciqe=0.5808883734689695
265130_00031309.png: uiqm=0.5464941412393189, uciqe=0.5568857403698526
265344_00029330.png: uiqm=0.5657934494184464, uciqe=0.5630358873488086
306_img_.png: uiqm=0.4673735387031476, uciqe=0.5652317329812
332_img_.png: uiqm=0.5006308730338607, uciqe=0.597354522050625
3330.png: uiqm=0.39137320069036496, uciqe=0.6105068897547266
36.png: uiqm=0.44137537366154395, uciqe=0.5367708508978122
387_img_.png: uiqm=0.898350482568304, uciqe=0.516434640584807
757_img_.png: uiqm=0.9376751688760698, uciqe=0.592680314070562
819_img_.png: uiqm=0.544078681299097, uciqe=0.5768928029508185
96.png: uiqm=0.39140421466624037, uciqe=0.5362776109347176
GI_1.png: uiqm=0.8232371315643765, uciqe=0.45371653582787597
GI_16.png: uiqm=0.5854916702689399, uciqe=0.5499385994460738
GI_2.png: uiqm=0.7125572630954096, uciqe=0.39142307808802496
GI_22.png: uiqm=0.5520697783155116, uciqe=0.535483735125437
GI_29.png: uiqm=0.5459122887674097, uciqe=0.471259202377746
GI_33.png: uiqm=0.8022948196565521, uciqe=0.594299624959949
GI_35.png: uiqm=0.570679884082513, uciqe=0.6900700562176005
GI_43.png: uiqm=0.13342021928294312, uciqe=0.6274773606964393
GI_7.png: uiqm=1.377703669705986, uciqe=0.5135016646071676
GI_78.png: uiqm=0.7380613798976882, uciqe=0.6027173287277088
GI_8.png: uiqm=1.4900060485836482, uciqe=0.49385501623396383
GI_95.png: uiqm=0.5804331951008709, uciqe=0.57014723391551
gmn_5017up.png: uiqm=0.7679184440496487, uciqe=0.6143125397190636
gmn_5029up.png: uiqm=0.6146433245252414, uciqe=0.6329527050548142
gmn_5148up.png: uiqm=0.381460779582646, uciqe=0.6090788524613614
gmn_5183up.png: uiqm=0.8178706642891121, uciqe=0.5647713332015527
gmn_5185up.png: uiqm=0.7916740978869378, uciqe=0.6416095101808121
gmn_5228up.png: uiqm=0.911257397616669, uciqe=0.6038485479585463
gmn_7856up.png: uiqm=0.9653545807114068, uciqe=0.6141393684467003
gmn_7919up.png: uiqm=0.7113711807623769, uciqe=0.5386630561808797
im_f1582_.png: uiqm=1.200272157040964, uciqe=0.5908991920188024
im_f2253_.png: uiqm=0.5983361031059429, uciqe=0.5464565102309242
n01496331_1010.png: uiqm=0.568760854143014, uciqe=0.543876954967698
n01496331_2044.png: uiqm=0.6169184348215, uciqe=0.5814207149659529
n01914609_1112.png: uiqm=0.48629339784309544, uciqe=0.5991243472077072
n01914609_11380.png: uiqm=0.7097204412066962, uciqe=0.537437980072325
n01914609_13222.png: uiqm=0.9175146212170174, uciqe=0.5715189126985629
n01914609_13909.png: uiqm=1.1909698374680247, uciqe=0.5485977065003195
n01914609_1437.png: uiqm=0.41987893266764154, uciqe=0.6103973672742865
n01914609_1980.png: uiqm=0.9261026629843745, uciqe=0.5908348132184005
n01914609_2054.png: uiqm=0.671062480352904, uciqe=0.5611702711601332
n01914609_7919.png: uiqm=0.7666030337537473, uciqe=0.5776957768439922
n02607072_2382.png: uiqm=0.3318509662990359, uciqe=0.5723395340871669
n02607072_5845.png: uiqm=0.5940387347206508, uciqe=0.5832368286791001
n02607072_931.png: uiqm=0.6653894132450087, uciqe=0.5886929094609784
NF_1.png: uiqm=0.6753438217341632, uciqe=0.5935750129038626
NF_10.png: uiqm=-0.005068657147853178, uciqe=0.5391080550333042
NF_100.png: uiqm=0.741604303796492, uciqe=0.5474182892673579
NF_110.png: uiqm=0.27601529767532673, uciqe=0.5476092715055364
NF_116.png: uiqm=0.7632093902238715, uciqe=0.5273352732060174
NF_123.png: uiqm=0.029819678221199547, uciqe=0.5039702394777201
NF_124.png: uiqm=0.9427186050777252, uciqe=0.5330627788618763
NF_13.png: uiqm=-0.1263320417043854, uciqe=0.4208449218742283
NF_14.png: uiqm=-0.11865176905170832, uciqe=0.3831765756085051
