12433.png: NIQE=40.51350765399021  with dealing time: 76.01274847984314
149.png: NIQE=42.118433652118696  with dealing time: 86.7731990814209
161.png: NIQE=33.69080084049832  with dealing time: 99.72040152549744
264574_00031858.png: NIQE=40.102966936871574  with dealing time: 89.6706874370575
264734_00038535.png: NIQE=36.51775400502579  with dealing time: 91.0300726890564
265119_00013763.png: NIQE=41.668417403387096  with dealing time: 97.54987573623657
265130_00031309.png: NIQE=35.99324172260701  with dealing time: 90.58681726455688
265344_00029330.png: NIQE=40.80417363120659  with dealing time: 100.97869682312012
306_img_.png: NIQE=44.33707133311287  with dealing time: 82.59955763816833
332_img_.png: NIQE=47.300471692737425  with dealing time: 100.45850372314453
3330.png: NIQE=52.269016580272435  with dealing time: 94.9112160205841
36.png: NIQE=38.790888010719414  with dealing time: 78.7815933227539
387_img_.png: NIQE=41.390617200769285  with dealing time: 85.65483975410461
757_img_.png: NIQE=44.294508308048535  with dealing time: 90.58527255058289
819_img_.png: NIQE=42.936143177034914  with dealing time: 94.82273244857788
96.png: NIQE=44.576487471428294  with dealing time: 88.06030774116516
GI_1.png: NIQE=45.55232954644402  with dealing time: 83.7277181148529
GI_16.png: NIQE=55.29984357371672  with dealing time: 115.31190896034241
GI_2.png: NIQE=63.1638495156577  with dealing time: 86.1459743976593
GI_22.png: NIQE=42.1131303081304  with dealing time: 116.01073884963989
GI_29.png: NIQE=92.3681294972004  with dealing time: 91.32092428207397
GI_33.png: NIQE=39.42535185377841  with dealing time: 88.8521192073822
GI_35.png: NIQE=37.44003326157691  with dealing time: 102.02972197532654
GI_43.png: NIQE=43.790097300566  with dealing time: 94.53843402862549
GI_7.png: NIQE=35.16972267970459  with dealing time: 77.66407227516174
GI_78.png: NIQE=38.58455301414488  with dealing time: 101.35140943527222
GI_8.png: NIQE=42.900634290153796  with dealing time: 71.6324052810669
GI_95.png: NIQE=41.73283544350213  with dealing time: 84.21697497367859
gmn_5017up.png: NIQE=31.645417079476434  with dealing time: 90.8591320514679
gmn_5029up.png: NIQE=50.03314320764082  with dealing time: 82.56197667121887
gmn_5148up.png: NIQE=46.13651977460712  with dealing time: 105.21888041496277
gmn_5183up.png: NIQE=35.407128262186376  with dealing time: 73.8148832321167
gmn_5185up.png: NIQE=37.35775582828922  with dealing time: 98.595458984375
gmn_5228up.png: NIQE=42.24568067220674  with dealing time: 70.00041317939758
gmn_7856up.png: NIQE=42.83066026879118  with dealing time: 69.87898659706116
gmn_7919up.png: NIQE=40.81900693917418  with dealing time: 78.48304557800293
im_f1582_.png: NIQE=44.19714952116363  with dealing time: 69.12826561927795
im_f2253_.png: NIQE=55.05612879759231  with dealing time: 93.83030366897583
n01496331_1010.png: NIQE=47.8838935981745  with dealing time: 83.75677227973938
n01496331_2044.png: NIQE=47.415126944155276  with dealing time: 84.20629286766052
n01914609_1112.png: NIQE=46.6842595807342  with dealing time: 88.13535475730896
n01914609_11380.png: NIQE=34.87480929625058  with dealing time: 98.97944283485413
n01914609_13222.png: NIQE=38.011130440956876  with dealing time: 94.91595673561096
n01914609_13909.png: NIQE=34.56188875010453  with dealing time: 80.50219559669495
n01914609_1437.png: NIQE=56.686302047749635  with dealing time: 90.90559673309326
n01914609_1980.png: NIQE=48.06382625105649  with dealing time: 104.62472105026245
n01914609_2054.png: NIQE=50.87490908099273  with dealing time: 103.55830383300781
n01914609_7919.png: NIQE=47.282715650482366  with dealing time: 90.60124707221985
n02607072_2382.png: NIQE=53.31928359594167  with dealing time: 77.03023290634155
n02607072_5845.png: NIQE=46.109622457479084  with dealing time: 87.44364476203918
n02607072_931.png: NIQE=47.25960190617948  with dealing time: 84.87098431587219
NF_1.png: NIQE=66.23999863186815  with dealing time: 84.95015716552734
NF_10.png: NIQE=73.5801642721706  with dealing time: 90.40003752708435
NF_100.png: NIQE=46.27703288099104  with dealing time: 86.88246059417725
NF_110.png: NIQE=46.34478316965242  with dealing time: 96.46135258674622
NF_116.png: NIQE=51.663469059611906  with dealing time: 74.49645590782166
NF_123.png: NIQE=39.5735293317724  with dealing time: 75.59819889068604
NF_124.png: NIQE=37.43462655534448  with dealing time: 77.3202223777771
NF_13.png: NIQE=67.37208077461648  with dealing time: 56.913190603256226
NF_14.png: NIQE=63.397636817642045  with dealing time: 65.47146224975586
NF_141.png: NIQE=31.817074751565602  with dealing time: 69.34814929962158
NF_147.png: NIQE=43.80650521648935  with dealing time: 63.370076417922974
NF_148.png: NIQE=49.82462825572375  with dealing time: 74.08965349197388
NF_166.png: NIQE=51.11086988634462  with dealing time: 71.46756386756897
NF_171.png: NIQE=36.95859856972031  with dealing time: 76.25752854347229
NF_172.png: NIQE=37.55689778439622  with dealing time: 75.21463680267334
NF_174.png: NIQE=43.17499052704052  with dealing time: 88.25554251670837
NF_177.png: NIQE=41.47532440629279  with dealing time: 81.76764178276062
NF_194.png: NIQE=98.2727857050664  with dealing time: 103.39678049087524
NF_195.png: NIQE=49.67385243829256  with dealing time: 90.64025139808655
NF_2.png: NIQE=60.028317321011016  with dealing time: 90.90478348731995
NF_201.png: NIQE=43.62136768095252  with dealing time: 70.30134987831116
NF_209.png: NIQE=40.13398677410786  with dealing time: 83.86130428314209
NF_213.png: NIQE=37.941215346850576  with dealing time: 80.73424911499023
NF_215.png: NIQE=38.19275740874597  with dealing time: 75.76389932632446
NF_218.png: NIQE=47.02187499682472  with dealing time: 81.7359185218811
NF_231.png: NIQE=36.561998796283056  with dealing time: 76.96784090995789
NF_241.png: NIQE=33.13611554831394  with dealing time: 71.51261115074158
NF_242.png: NIQE=38.30396520065615  with dealing time: 73.97637724876404
NF_252.png: NIQE=40.276823027468076  with dealing time: 91.31066560745239
NF_26.png: NIQE=51.57884813618699  with dealing time: 73.33811140060425
NF_280.png: NIQE=55.67895137546021  with dealing time: 90.2242922782898
NF_285.png: NIQE=36.725137619081494  with dealing time: 81.77437996864319
NF_287.png: NIQE=43.35900890542062  with dealing time: 82.75535225868225
NF_313.png: NIQE=46.41625383271776  with dealing time: 80.38449454307556
NF_32.png: NIQE=56.25210012563896  with dealing time: 71.58733701705933
NF_363.png: NIQE=49.26759213233817  with dealing time: 74.62599158287048
NF_364.png: NIQE=47.6499397749278  with dealing time: 74.9592673778534
NF_387.png: NIQE=54.90411694596687  with dealing time: 77.68689846992493
NF_410.png: NIQE=43.15787783740085  with dealing time: 77.75572681427002
NF_417.png: NIQE=66.27109610986244  with dealing time: 78.92976379394531
NF_466.png: NIQE=49.39196845419703  with dealing time: 80.56908059120178
NF_470.png: NIQE=45.430807610349284  with dealing time: 85.49436140060425
NF_507.png: NIQE=50.34218187556141  with dealing time: 82.2582540512085
NF_512.png: NIQE=39.78243318074308  with dealing time: 91.38090872764587
NF_518.png: NIQE=36.28800506316918  with dealing time: 81.29026532173157
NF_52.png: NIQE=50.9684886216475  with dealing time: 80.18083190917969
NF_56.png: NIQE=49.42582094801869  with dealing time: 69.90098977088928
NF_57.png: NIQE=46.237246451409334  with dealing time: 81.834876537323
NF_60.png: NIQE=48.772857310143614  with dealing time: 83.41453504562378
NF_69.png: NIQE=37.733178644328554  with dealing time: 88.92473363876343
NF_7.png: NIQE=43.778867990299254  with dealing time: 85.03720259666443
NF_70.png: NIQE=40.05562166112457  with dealing time: 90.33190512657166
NF_75.png: NIQE=37.360551032038465  with dealing time: 80.29947280883789
NF_78.png: NIQE=50.00548552014289  with dealing time: 84.39407300949097
NF_8.png: NIQE=42.53940102265177  with dealing time: 97.66659021377563
NF_81.png: NIQE=36.96142961086136  with dealing time: 94.95004343986511
NF_85.png: NIQE=46.47379019195022  with dealing time: 73.12881636619568
NF_94.png: NIQE=31.94358765687388  with dealing time: 67.14575505256653
NF_95.png: NIQE=48.83996083906514  with dealing time: 59.29535508155823

110 Image Average: NIQE=45.85424406791986, TimePerImage=84.39810039997101, SumTime = 9283.791043996811s

