1.png: NIQE=51.778337813015504  with dealing time: 79.37267589569092
10.png: NIQE=47.363157718614154  with dealing time: 69.66298866271973
11.png: NIQE=53.570115692659996  with dealing time: 78.59806108474731
12.png: NIQE=38.06310919553777  with dealing time: 89.14564061164856
13.png: NIQE=36.303334747086055  with dealing time: 75.25581502914429
14.png: NIQE=44.366239810547945  with dealing time: 92.10364437103271
15.png: NIQE=36.877555977114156  with dealing time: 86.50800371170044
16.png: NIQE=45.704070713508266  with dealing time: 82.049809217453
17.png: NIQE=37.93117493849392  with dealing time: 87.25137495994568
18.png: NIQE=34.860518111107694  with dealing time: 84.85913944244385
19.png: NIQE=44.010810004906155  with dealing time: 83.3901584148407
2.png: NIQE=52.80419320005695  with dealing time: 86.88842463493347
20.png: NIQE=38.65491789047912  with dealing time: 78.46451997756958
21.png: NIQE=34.492897696645755  with dealing time: 79.71080613136292
22.png: NIQE=38.60062151616581  with dealing time: 80.66809368133545
23.png: NIQE=36.89397545256937  with dealing time: 77.1813907623291
24.png: NIQE=37.16926168242934  with dealing time: 82.0156500339508
25.png: NIQE=42.98835381251659  with dealing time: 83.68359565734863
26.png: NIQE=44.78823257398199  with dealing time: 88.9467613697052
27.png: NIQE=38.12531464531299  with dealing time: 87.25177597999573
28.png: NIQE=36.09048734477199  with dealing time: 80.49267554283142
29.png: NIQE=56.74165505066214  with dealing time: 70.68848180770874
3.png: NIQE=45.228122092864204  with dealing time: 77.36983895301819
30.png: NIQE=53.63132252993528  with dealing time: 82.05974245071411
31.png: NIQE=38.018548882339275  with dealing time: 72.382883310318
32.png: NIQE=37.1599000673164  with dealing time: 73.23129391670227
33.png: NIQE=36.72688559346583  with dealing time: 68.7307460308075
34.png: NIQE=42.72278091520735  with dealing time: 73.31134676933289
35.png: NIQE=39.20289542359649  with dealing time: 73.6052474975586
36.png: NIQE=38.77801569000721  with dealing time: 73.44762659072876
37.png: NIQE=34.78697738648422  with dealing time: 78.91520881652832
38.png: NIQE=38.35673686202344  with dealing time: 82.17213726043701
39.png: NIQE=36.62872014959387  with dealing time: 83.9402825832367
4.png: NIQE=52.092321351671806  with dealing time: 83.4829351902008
40.png: NIQE=34.2157069494559  with dealing time: 76.3385603427887
41.png: NIQE=38.5279391403999  with dealing time: 72.6591203212738
42.png: NIQE=41.40133354735374  with dealing time: 82.62504386901855
43.png: NIQE=35.37921371914941  with dealing time: 79.36509370803833
44.png: NIQE=35.489055091774574  with dealing time: 83.8808319568634
45.png: NIQE=34.33755240953781  with dealing time: 79.9744622707367
5.png: NIQE=40.8905009411736  with dealing time: 85.55790877342224
6.png: NIQE=55.14380224849876  with dealing time: 80.91044497489929
7.png: NIQE=43.298746341997784  with dealing time: 84.12063646316528
8.png: NIQE=59.06169905644597  with dealing time: 99.9782247543335
9.png: NIQE=45.41107250350677  with dealing time: 89.23902654647827

45 Image Average: NIQE=41.88151521071074, TimePerImage=80.92195845180088, SumTime = 3641.4881303310394s

