104_img_.png: NIQE=40.95910290964591  with dealing time: 101.37927222251892
10_img_.png: NIQE=38.81846239712331  with dealing time: 88.09765958786011
111_img_.png: NIQE=48.12947801201546  with dealing time: 85.66349601745605
112_img_.png: NIQE=39.2030635137718  with dealing time: 101.52968215942383
11_img_.png: NIQE=39.40763851389556  with dealing time: 96.64402389526367
13_img_.png: NIQE=36.81495584541294  with dealing time: 90.89309453964233
14_img_.png: NIQE=52.093859771878506  with dealing time: 95.09347224235535
15003.png: NIQE=40.76391337604204  with dealing time: 90.1260552406311
150_img_.png: NIQE=37.62705482968709  with dealing time: 83.75154089927673
15544.png: NIQE=42.870722528809914  with dealing time: 94.50328397750854
15_img_.png: NIQE=35.23928431753061  with dealing time: 93.10247206687927
169_img_.png: NIQE=36.45335242073531  with dealing time: 78.8010630607605
16_img_.png: NIQE=35.36489540649528  with dealing time: 80.96451020240784
17_img_.png: NIQE=35.63414449761952  with dealing time: 78.75004959106445
18_img_.png: NIQE=40.984023277249854  with dealing time: 80.84930157661438
19_img_.png: NIQE=30.418804075541857  with dealing time: 85.97740936279297
20.png: NIQE=34.29712680609197  with dealing time: 79.395352602005
22_img_.png: NIQE=39.73587950318683  with dealing time: 83.03375744819641
23_img_.png: NIQE=34.622773713654844  with dealing time: 82.65631151199341
24_img_.png: NIQE=54.08871689585622  with dealing time: 97.64473390579224
282_img_.png: NIQE=40.07288911619866  with dealing time: 72.64990329742432
284_img_.png: NIQE=44.62248807049722  with dealing time: 72.71738767623901
288_img_.png: NIQE=41.617265321544956  with dealing time: 72.28108048439026
290_img_.png: NIQE=41.33656096540878  with dealing time: 71.92366409301758
292_img_.png: NIQE=41.55469561447096  with dealing time: 76.01166844367981
293_img_.png: NIQE=37.67379115820757  with dealing time: 70.5328676700592
294_img_.png: NIQE=40.28641230784622  with dealing time: 67.78074312210083
295_img_.png: NIQE=40.902349216753755  with dealing time: 71.94917559623718
299_img_.png: NIQE=49.90454349434944  with dealing time: 75.6109824180603
2_img_.png: NIQE=35.01607644966315  with dealing time: 72.28620553016663
300_img_.png: NIQE=43.3814998094884  with dealing time: 71.2713873386383
301_img_.png: NIQE=41.7736280355384  with dealing time: 65.83788061141968
302_img_.png: NIQE=45.19684698106625  with dealing time: 65.67959475517273
303_img_.png: NIQE=45.96341696405703  with dealing time: 66.25514340400696
304_img_.png: NIQE=40.61207861820799  with dealing time: 63.75301814079285
305_img_.png: NIQE=43.15401484991184  with dealing time: 62.007436990737915
306_img_.png: NIQE=38.439954370521676  with dealing time: 57.21708536148071
307_img_.png: NIQE=44.470748473540944  with dealing time: 57.373356103897095
30_img_.png: NIQE=34.44990633622877  with dealing time: 58.267170429229736
311_img_.png: NIQE=43.5031028949497  with dealing time: 56.30076742172241
312_img_.png: NIQE=41.26161287845133  with dealing time: 59.61937928199768
313_img_.png: NIQE=39.58475813506575  with dealing time: 58.463716983795166
314_img_.png: NIQE=52.538264969720146  with dealing time: 59.30207443237305
315_img_.png: NIQE=38.59577314155409  with dealing time: 58.85606026649475
316_img_.png: NIQE=41.00933367425021  with dealing time: 59.528202056884766
317_img_.png: NIQE=42.595190029319284  with dealing time: 60.397732973098755
318_img_.png: NIQE=40.29189906203812  with dealing time: 57.26217007637024
319_img_.png: NIQE=43.82129451431658  with dealing time: 59.07821440696716
320_img_.png: NIQE=45.07942079304271  with dealing time: 63.053317070007324
322_img_.png: NIQE=39.62427865412364  with dealing time: 61.98500943183899
323_img_.png: NIQE=41.16902538783927  with dealing time: 57.28557229042053
324_img_.png: NIQE=38.883400285377164  with dealing time: 57.59110713005066
325_img_.png: NIQE=38.5590632654538  with dealing time: 72.46730470657349
326_img_.png: NIQE=38.9513294500905  with dealing time: 69.77147912979126
327_img_.png: NIQE=43.3061614812488  with dealing time: 71.83932685852051
330_img_.png: NIQE=65.41432753191587  with dealing time: 69.19774985313416
332_img_.png: NIQE=42.5804414423929  with dealing time: 67.68339943885803
334_img_.png: NIQE=48.73732214222113  with dealing time: 69.81163549423218
336_img_.png: NIQE=42.64612010200966  with dealing time: 71.8357241153717
337_img_.png: NIQE=37.876989792010654  with dealing time: 65.47480416297913
338_img_.png: NIQE=45.91629614447477  with dealing time: 61.22094535827637
340_img_.png: NIQE=50.92275695228772  with dealing time: 59.065675497055054
341_img_.png: NIQE=46.440894857913236  with dealing time: 55.15272331237793
342_img_.png: NIQE=56.435792333202045  with dealing time: 51.19556736946106
343_img_.png: NIQE=41.875730461913186  with dealing time: 55.25257611274719
346_img_.png: NIQE=39.99499593710159  with dealing time: 58.093812227249146
347_img_.png: NIQE=42.7269656177241  with dealing time: 58.52507185935974
348_img_.png: NIQE=50.77819814461163  with dealing time: 59.16972041130066
350_img_.png: NIQE=40.96679118871719  with dealing time: 52.10397553443909
351_img_.png: NIQE=42.50190985042994  with dealing time: 49.345386266708374
353_img_.png: NIQE=48.86683337965405  with dealing time: 50.56641960144043
355_img_.png: NIQE=43.72425117117997  with dealing time: 54.168126344680786
356_img_.png: NIQE=39.7407858396534  with dealing time: 52.12857532501221
359_img_.png: NIQE=39.61187072679364  with dealing time: 51.57176089286804
360_img_.png: NIQE=49.521446787856604  with dealing time: 58.95864486694336
361_img_.png: NIQE=42.923422450261064  with dealing time: 60.38698649406433
362_img_.png: NIQE=53.961037072859206  with dealing time: 57.77521347999573
363_img_.png: NIQE=45.1655618115836  with dealing time: 60.25815439224243
364_img_.png: NIQE=47.30930341967488  with dealing time: 59.241214752197266
366_img_.png: NIQE=43.164873148339424  with dealing time: 51.307355642318726
367_img_.png: NIQE=38.67638247372927  with dealing time: 59.220940828323364
3_img_.png: NIQE=34.058753889009594  with dealing time: 55.78782820701599
4.png: NIQE=42.91288740268096  with dealing time: 68.27377533912659
406_img_.png: NIQE=42.98952006623874  with dealing time: 66.25309014320374
419_img_.png: NIQE=42.04869649581946  with dealing time: 63.36228823661804
41_img_.png: NIQE=37.26922600292812  with dealing time: 55.32953500747681
421_img_.png: NIQE=41.68003553861499  with dealing time: 53.91118812561035
460_img_.png: NIQE=38.71291475017253  with dealing time: 55.051825284957886
466_img_.png: NIQE=42.52284466398919  with dealing time: 56.36560297012329
471_img_.png: NIQE=43.67209845854138  with dealing time: 50.73826575279236
472_img_.png: NIQE=46.18909691761469  with dealing time: 51.7864944934845
476_img_.png: NIQE=45.583582369566315  with dealing time: 57.092666149139404
48_img_.png: NIQE=39.30281813243877  with dealing time: 63.24437427520752
495_img_.png: NIQE=59.05339055458615  with dealing time: 52.46629309654236
4_img_.png: NIQE=32.851008643523144  with dealing time: 65.14981627464294
550_img_.png: NIQE=38.1392102381933  with dealing time: 55.105345726013184
557.png: NIQE=38.98636076418021  with dealing time: 59.257174015045166
55_img_.png: NIQE=39.165597503082125  with dealing time: 56.085230588912964
61_img_.png: NIQE=35.27040119332547  with dealing time: 53.52931022644043
629_img_.png: NIQE=38.40065883645256  with dealing time: 47.26529049873352
70_img_.png: NIQE=31.821779558551558  with dealing time: 48.962648153305054
747_img_.png: NIQE=40.166757204273104  with dealing time: 52.15211796760559
7_img_.png: NIQE=32.292011628244474  with dealing time: 51.86309623718262
