100001.png: NIQE=53.964058441075  with dealing time: 102.03360271453857
10091.png: NIQE=38.621767714899114  with dealing time: 85.54419279098511
10103.png: NIQE=38.38052731359392  with dealing time: 91.98440194129944
10167.png: NIQE=37.00188137008898  with dealing time: 92.77458000183105
102.png: NIQE=49.03268787649484  with dealing time: 99.84263467788696
10226.png: NIQE=45.145940066264835  with dealing time: 103.74911236763
10475.png: NIQE=54.67048290310384  with dealing time: 92.8567545413971
10488.png: NIQE=54.07667609126128  with dealing time: 84.5453097820282
12191.png: NIQE=33.40931281904383  with dealing time: 86.74111819267273
12203.png: NIQE=35.19745880865594  with dealing time: 90.50953435897827
12228.png: NIQE=53.39051690263168  with dealing time: 83.05098867416382
12565.png: NIQE=35.845302957344906  with dealing time: 80.38373708724976
12577.png: NIQE=33.65393654012251  with dealing time: 79.17817330360413
12625.png: NIQE=49.64386372456796  with dealing time: 85.94208979606628
12709.png: NIQE=44.517371707187294  with dealing time: 81.33699631690979
12753.png: NIQE=48.56779875187168  with dealing time: 74.98712635040283
12960.png: NIQE=64.32257344742338  with dealing time: 85.61156821250916
12972.png: NIQE=52.835573480685916  with dealing time: 84.67343783378601
13252.png: NIQE=47.75890367339145  with dealing time: 84.27734875679016
13259.png: NIQE=41.10981601876654  with dealing time: 90.72149777412415
15603.png: NIQE=40.88096378153486  with dealing time: 79.05855536460876
15735.png: NIQE=39.04197102693673  with dealing time: 70.78064227104187
15738.png: NIQE=36.77755293663208  with dealing time: 76.92127799987793
15740.png: NIQE=69.58324373699861  with dealing time: 74.29114127159119
15774.png: NIQE=53.43010310688612  with dealing time: 73.28709936141968
15775.png: NIQE=64.73001770176677  with dealing time: 72.92327976226807
2.png: NIQE=39.862935733728264  with dealing time: 72.01225805282593
2575.png: NIQE=38.95043725624016  with dealing time: 75.11541295051575
2583.png: NIQE=43.811048262415014  with dealing time: 70.05886244773865
2856.png: NIQE=39.80846280052678  with dealing time: 71.18464469909668
3027.png: NIQE=30.179370788913698  with dealing time: 69.59662294387817
3051.png: NIQE=30.39491951332556  with dealing time: 64.87173295021057
3087.png: NIQE=33.298875522465885  with dealing time: 61.77480387687683
3175.png: NIQE=55.235560655991584  with dealing time: 63.87207055091858
3201.png: NIQE=46.30205036051077  with dealing time: 62.95806813240051
3279.png: NIQE=46.06846120169973  with dealing time: 63.0822856426239
34.png: NIQE=38.859288821580876  with dealing time: 60.9306914806366
3494.png: NIQE=43.75028818717654  with dealing time: 59.9076943397522
3519.png: NIQE=40.7312530529962  with dealing time: 65.12207317352295
358_img_.png: NIQE=44.44258373241813  with dealing time: 62.138516664505005
432.png: NIQE=75.08684121866449  with dealing time: 65.10475850105286
5.png: NIQE=53.510999136028616  with dealing time: 65.85523247718811
52.png: NIQE=33.60809291000858  with dealing time: 62.11547493934631
579.png: NIQE=41.52233644314612  with dealing time: 61.750312089920044
605.png: NIQE=39.88903391494181  with dealing time: 59.8785674571991
616.png: NIQE=38.336272855091075  with dealing time: 57.89440202713013
627.png: NIQE=32.216362789065585  with dealing time: 59.13204264640808
6333.png: NIQE=81.02514874727304  with dealing time: 63.78360652923584
6340.png: NIQE=54.6126148460744  with dealing time: 62.603153467178345
643_img_.png: NIQE=33.295054841263585  with dealing time: 61.25861477851868
6527.png: NIQE=53.40021028493046  with dealing time: 59.339261293411255
7277.png: NIQE=36.792133515425874  with dealing time: 67.41372609138489
7291.png: NIQE=40.87514522834757  with dealing time: 67.6784405708313
770.png: NIQE=34.37967542071364  with dealing time: 68.7143201828003
866.png: NIQE=41.6523360001935  with dealing time: 71.09752893447876
880.png: NIQE=42.89336899371089  with dealing time: 69.36981177330017
9553.png: NIQE=41.215978139313  with dealing time: 69.79323816299438
9602.png: NIQE=37.83072183435848  with dealing time: 68.69171524047852
9607.png: NIQE=32.22533694795511  with dealing time: 69.19821572303772
9618.png: NIQE=43.599017456615755  with dealing time: 62.08145618438721

60 Image Average: NIQE=44.58754200520567, TimePerImage=73.72309697469076, SumTime = 4423.385818481445s

