12433.png: NIQE=35.40135973151097  with dealing time: 97.35580134391785
149.png: NIQE=43.16256067068261  with dealing time: 95.0152153968811
161.png: NIQE=43.32579855452343  with dealing time: 95.79913210868835
264574_00031858.png: NIQE=37.104658841549686  with dealing time: 91.09419584274292
264734_00038535.png: NIQE=32.602743357744785  with dealing time: 84.47240948677063
265119_00013763.png: NIQE=40.269890592910116  with dealing time: 93.64972949028015
265130_00031309.png: NIQE=35.84440782777575  with dealing time: 92.213210105896
265344_00029330.png: NIQE=36.919242269806404  with dealing time: 87.08262419700623
306_img_.png: NIQE=38.439954370521676  with dealing time: 83.54451942443848
332_img_.png: NIQE=42.5804414423929  with dealing time: 90.19693279266357
3330.png: NIQE=51.795586114107444  with dealing time: 94.67452812194824
36.png: NIQE=32.292513966911834  with dealing time: 85.84442257881165
387_img_.png: NIQE=35.51595885753388  with dealing time: 73.05634355545044
757_img_.png: NIQE=34.57629071820658  with dealing time: 79.54124760627747
819_img_.png: NIQE=35.786956299553154  with dealing time: 85.94124937057495
96.png: NIQE=45.931792204207795  with dealing time: 89.08645939826965
GI_1.png: NIQE=38.29325968964523  with dealing time: 76.5832679271698
GI_16.png: NIQE=54.000429054448425  with dealing time: 85.89054703712463
GI_2.png: NIQE=48.03779077794023  with dealing time: 70.99581956863403
GI_22.png: NIQE=46.21490297264444  with dealing time: 99.77361845970154
GI_29.png: NIQE=89.7184468044671  with dealing time: 79.80033206939697
GI_33.png: NIQE=34.25596997329548  with dealing time: 73.46397066116333
GI_35.png: NIQE=37.30642520099209  with dealing time: 77.02125000953674
GI_43.png: NIQE=41.676699919988  with dealing time: 74.94362354278564
GI_7.png: NIQE=36.858454977251434  with dealing time: 69.67843627929688
GI_78.png: NIQE=37.780429828886675  with dealing time: 70.72207164764404
GI_8.png: NIQE=31.73585846702373  with dealing time: 67.43969249725342
GI_95.png: NIQE=33.91801168438389  with dealing time: 73.01347947120667
gmn_5017up.png: NIQE=30.833696722188023  with dealing time: 71.52035427093506
gmn_5029up.png: NIQE=41.69758918477623  with dealing time: 70.51415300369263
gmn_5148up.png: NIQE=37.74007604422939  with dealing time: 72.93441247940063
gmn_5183up.png: NIQE=36.255276703380055  with dealing time: 68.32010173797607
gmn_5185up.png: NIQE=36.77874124440681  with dealing time: 64.87057876586914
gmn_5228up.png: NIQE=33.95205624904392  with dealing time: 62.52044081687927
gmn_7856up.png: NIQE=37.4933397829006  with dealing time: 60.66108775138855
gmn_7919up.png: NIQE=39.319390635200236  with dealing time: 62.46196103096008
im_f1582_.png: NIQE=36.9794618137611  with dealing time: 61.497089862823486
im_f2253_.png: NIQE=49.543955496110655  with dealing time: 56.21287775039673
n01496331_1010.png: NIQE=46.45308590855288  with dealing time: 57.92261624336243
n01496331_2044.png: NIQE=45.77434756094667  with dealing time: 55.70894002914429
n01914609_1112.png: NIQE=44.795460738610444  with dealing time: 56.5617516040802
n01914609_11380.png: NIQE=30.965523432823936  with dealing time: 59.96633815765381
n01914609_13222.png: NIQE=33.165273965201706  with dealing time: 61.07709193229675
n01914609_13909.png: NIQE=31.48835219611608  with dealing time: 57.20276379585266
n01914609_1437.png: NIQE=49.859806793012766  with dealing time: 57.662352561950684
n01914609_1980.png: NIQE=46.33216886992509  with dealing time: 57.723411321640015
n01914609_2054.png: NIQE=47.13044900174422  with dealing time: 57.42608404159546
n01914609_7919.png: NIQE=45.91761923414871  with dealing time: 59.38862347602844
n02607072_2382.png: NIQE=51.874610528511774  with dealing time: 62.53244423866272
n02607072_5845.png: NIQE=37.680419043985765  with dealing time: 62.89125680923462
n02607072_931.png: NIQE=44.292670099897165  with dealing time: 59.86433386802673
NF_1.png: NIQE=57.97597939308649  with dealing time: 61.39295673370361
NF_10.png: NIQE=71.90373458467687  with dealing time: 73.64886999130249
NF_100.png: NIQE=39.290097722655254  with dealing time: 69.64170718193054
NF_110.png: NIQE=50.255447205729304  with dealing time: 71.85539436340332
NF_116.png: NIQE=47.160756572839595  with dealing time: 69.70003628730774
NF_123.png: NIQE=43.201924904802716  with dealing time: 66.89892530441284
NF_124.png: NIQE=37.04648084301851  with dealing time: 68.26726341247559
NF_13.png: NIQE=79.60166283956698  with dealing time: 57.405810594558716
NF_14.png: NIQE=79.77944314391935  with dealing time: 59.26793384552002
NF_141.png: NIQE=34.97457767842657  with dealing time: 64.06261014938354
NF_147.png: NIQE=39.788283933269  with dealing time: 55.7152304649353
NF_148.png: NIQE=38.261077992807145  with dealing time: 60.136526346206665
NF_166.png: NIQE=42.99525543612978  with dealing time: 54.37897443771362
NF_171.png: NIQE=36.765143561489516  with dealing time: 57.28521227836609
NF_172.png: NIQE=40.22520557095974  with dealing time: 56.627182483673096
NF_174.png: NIQE=40.06730783100875  with dealing time: 59.49670386314392
NF_177.png: NIQE=42.590707441449126  with dealing time: 65.26744318008423
NF_194.png: NIQE=110.81281764374079  with dealing time: 57.905675649642944
NF_195.png: NIQE=52.01550100085948  with dealing time: 51.54737854003906
NF_2.png: NIQE=64.78189369482574  with dealing time: 55.959622621536255
NF_201.png: NIQE=39.94015520299414  with dealing time: 48.04599475860596
NF_209.png: NIQE=35.86240912244908  with dealing time: 52.15472197532654
NF_213.png: NIQE=36.685393048714516  with dealing time: 50.06997323036194
NF_215.png: NIQE=43.84076039945863  with dealing time: 50.28932237625122
NF_218.png: NIQE=40.55519636800992  with dealing time: 57.266645193099976
NF_231.png: NIQE=42.72543452099514  with dealing time: 56.826982736587524
NF_241.png: NIQE=32.18665113835136  with dealing time: 56.47281861305237
NF_242.png: NIQE=39.281950387888266  with dealing time: 57.585391998291016
NF_252.png: NIQE=43.88805398128603  with dealing time: 60.69462823867798
NF_26.png: NIQE=47.82338193151163  with dealing time: 46.08708882331848
NF_280.png: NIQE=59.99982000492284  with dealing time: 61.35916614532471
NF_285.png: NIQE=44.45957386643678  with dealing time: 53.90325903892517
NF_287.png: NIQE=49.860734477980884  with dealing time: 60.283459424972534
NF_313.png: NIQE=57.340065495008474  with dealing time: 60.553672790527344
NF_32.png: NIQE=55.52672491526455  with dealing time: 56.92139482498169
NF_363.png: NIQE=44.1172153339735  with dealing time: 54.42858815193176
NF_364.png: NIQE=41.34330368364892  with dealing time: 50.40099763870239
NF_387.png: NIQE=42.767337704209986  with dealing time: 58.141711950302124
NF_410.png: NIQE=47.5630954097685  with dealing time: 58.0616250038147
NF_417.png: NIQE=54.903933245253  with dealing time: 52.04919219017029
NF_466.png: NIQE=44.41292843085029  with dealing time: 55.93685221672058
NF_470.png: NIQE=41.12238054127171  with dealing time: 58.94513273239136
NF_507.png: NIQE=51.166698819898365  with dealing time: 58.42710828781128
NF_512.png: NIQE=41.573694155393895  with dealing time: 56.932173013687134
NF_518.png: NIQE=37.991728841956935  with dealing time: 68.01661825180054
NF_52.png: NIQE=47.37262837549045  with dealing time: 57.49838662147522
NF_56.png: NIQE=43.52929223118621  with dealing time: 59.43764877319336
NF_57.png: NIQE=42.11588725307528  with dealing time: 56.038336992263794
NF_60.png: NIQE=42.8929659654943  with dealing time: 51.53389096260071
NF_69.png: NIQE=43.084968737067456  with dealing time: 52.135313987731934
NF_7.png: NIQE=49.026063177265236  with dealing time: 45.65266418457031
NF_70.png: NIQE=44.617350422576145  with dealing time: 50.11646747589111
NF_75.png: NIQE=37.18172794225771  with dealing time: 47.25396704673767
NF_78.png: NIQE=40.030318508550195  with dealing time: 48.29828405380249
NF_8.png: NIQE=52.94436210470195  with dealing time: 55.90691947937012
NF_81.png: NIQE=37.1059250529816  with dealing time: 51.094706535339355
NF_85.png: NIQE=38.868866314269894  with dealing time: 52.26285696029663
NF_94.png: NIQE=35.52073673903798  with dealing time: 58.130497217178345
NF_95.png: NIQE=44.85466176101974  with dealing time: 45.444329023361206

110 Image Average: NIQE=44.12043528207374, TimePerImage=64.74959492900155, SumTime = 7122.45544219017s

