12433.png: uiqm=0.6607689061121497, uciqe=0.5542611956626785
149.png: uiqm=0.022287565910857454, uciqe=0.5124552847526795
161.png: uiqm=0.07812348793451596, uciqe=0.5578118082886051
264574_00031858.png: uiqm=1.7079719093537613, uciqe=0.5717315188694105
264734_00038535.png: uiqm=0.832054827353079, uciqe=0.6000273911837711
265119_00013763.png: uiqm=0.23134204945335002, uciqe=0.5784661806930418
265130_00031309.png: uiqm=0.6010618635794852, uciqe=0.5498137770944507
265344_00029330.png: uiqm=0.7725602392332059, uciqe=0.5597999280465198
306_img_.png: uiqm=0.43001417349438253, uciqe=0.567030835569929
332_img_.png: uiqm=0.5013290005794603, uciqe=0.6063181127402895
3330.png: uiqm=0.3514093346727759, uciqe=0.6104334442606005
36.png: uiqm=0.4996033569040478, uciqe=0.5394114453270943
387_img_.png: uiqm=0.5997576763052148, uciqe=0.4840374410897641
757_img_.png: uiqm=0.9727664087963476, uciqe=0.5929125145135888
819_img_.png: uiqm=0.7035543763567402, uciqe=0.5758711315552756
96.png: uiqm=0.8220840389090228, uciqe=0.5330980370277321
GI_1.png: uiqm=0.6472388088489611, uciqe=0.3967575049075388
GI_16.png: uiqm=0.3306328965064057, uciqe=0.5498267028626169
GI_2.png: uiqm=0.6524356019437219, uciqe=0.38327760500923713
GI_22.png: uiqm=0.3142325056201294, uciqe=0.5344223678183591
GI_29.png: uiqm=0.13041436603991252, uciqe=0.44144101643609507
GI_33.png: uiqm=0.8796046782046347, uciqe=0.6141021027650849
GI_35.png: uiqm=0.6210516285841866, uciqe=0.7034447019621678
GI_43.png: uiqm=0.46477643628481125, uciqe=0.5994608843090409
GI_7.png: uiqm=1.1340622799943734, uciqe=0.4680409263547933
GI_78.png: uiqm=0.8626525926317012, uciqe=0.5967352526253953
GI_8.png: uiqm=1.2590737450800762, uciqe=0.487028394750355
GI_95.png: uiqm=0.4252099664966258, uciqe=0.5725323176130657
gmn_5017up.png: uiqm=0.9771311931469688, uciqe=0.61497757026574
gmn_5029up.png: uiqm=0.6703381798304894, uciqe=0.6310744955304374
gmn_5148up.png: uiqm=0.3374097882113569, uciqe=0.6301108399017574
gmn_5183up.png: uiqm=0.8109821675041321, uciqe=0.5811847401647645
gmn_5185up.png: uiqm=0.9916554221211489, uciqe=0.6357543306823342
gmn_5228up.png: uiqm=0.9898625672636874, uciqe=0.5941835358250243
gmn_7856up.png: uiqm=1.1796342338705428, uciqe=0.6166389787540408
gmn_7919up.png: uiqm=0.747237919870831, uciqe=0.5541881314529765
im_f1582_.png: uiqm=1.3859790873622342, uciqe=0.5917451354404114
im_f2253_.png: uiqm=0.8297434327316872, uciqe=0.5506869671201083
n01496331_1010.png: uiqm=0.7136714966688286, uciqe=0.541378378420404
