1.jpg: uiqm=0.37549383379390355, uciqe=0.5288395402514874
10.jpg: uiqm=0.3975672349220505, uciqe=0.5606085529311221
100.jpg: uiqm=0.8266890311667675, uciqe=0.5277685958943841
101.jpg: uiqm=0.3895592919056432, uciqe=0.5562358443915947
102.jpg: uiqm=0.676333940713641, uciqe=0.5440878079407996
103.jpg: uiqm=0.7242308772562455, uciqe=0.540200605673441
104.jpg: uiqm=0.724727472469927, uciqe=0.541786043063557
105.jpg: uiqm=0.6263533839482918, uciqe=0.5436500928224183
106.jpg: uiqm=0.6706239101824572, uciqe=0.5407276846104602
107.jpg: uiqm=0.8574824141120185, uciqe=0.5317910785459696
108.jpg: uiqm=0.7144625889302774, uciqe=0.5249688506349901
109.jpg: uiqm=0.7031613882607399, uciqe=0.5259300610494073
11.jpg: uiqm=0.3984911387864528, uciqe=0.5605971017791985
110.jpg: uiqm=0.5533387023037697, uciqe=0.5231597173560109
111.jpg: uiqm=0.4796864060250664, uciqe=0.5388939478554446
112.jpg: uiqm=0.593895398387582, uciqe=0.5261088554637694
113.jpg: uiqm=0.5981261077913816, uciqe=0.5261871522658846
114.jpg: uiqm=0.37590794219955326, uciqe=0.5294991895480312
115.jpg: uiqm=0.5930212094319055, uciqe=0.5374481622288433
116.jpg: uiqm=0.546915851956243, uciqe=0.5139702453782425
117.jpg: uiqm=0.5655824193628336, uciqe=0.5187021070305937
118.jpg: uiqm=0.7242558742389139, uciqe=0.5129506076455552
119.jpg: uiqm=0.7048151224746272, uciqe=0.5482193664091326
12.jpg: uiqm=0.4043674110707187, uciqe=0.5603142776925485
120.jpg: uiqm=0.5438066596906316, uciqe=0.5359240797423949
121.jpg: uiqm=0.6921750765860256, uciqe=0.5305158380685984
122.jpg: uiqm=0.7394899093195255, uciqe=0.5378573977364665
123.jpg: uiqm=0.5831418245070509, uciqe=0.5391832012120886
124.jpg: uiqm=0.5417845141037598, uciqe=0.5422844681500268
125.jpg: uiqm=0.5849452529411572, uciqe=0.5385829467710936
126.jpg: uiqm=0.5909019944022373, uciqe=0.5431031801758263
127.jpg: uiqm=0.5026363587053589, uciqe=0.5304282616871117
128.jpg: uiqm=0.6775882205757662, uciqe=0.5025577740017546
129.jpg: uiqm=0.7176432690557876, uciqe=0.5520464944544083
13.jpg: uiqm=0.36114637495374435, uciqe=0.5574098181407376
130.jpg: uiqm=0.6852360806996625, uciqe=0.5474215870685499
131.jpg: uiqm=0.6284871568355543, uciqe=0.5389443708456539
132.jpg: uiqm=0.6878078564297841, uciqe=0.5422894462458041
133.jpg: uiqm=0.03493684182995638, uciqe=0.5468750732218998
134.jpg: uiqm=0.7232498432480744, uciqe=0.547282446922736
135.jpg: uiqm=0.7624831411459972, uciqe=0.5430768333404001
136.jpg: uiqm=0.7466075476362126, uciqe=0.5395795315319734
137.jpg: uiqm=0.7090943448181167, uciqe=0.5421346526471006
138.jpg: uiqm=0.4041113052352898, uciqe=0.5285176587174542
139.jpg: uiqm=-0.0011060579942904214, uciqe=0.548582772279484
14.jpg: uiqm=0.2681215112267279, uciqe=0.5531361406429884
140.jpg: uiqm=0.5077458321462608, uciqe=0.5436185333247205
141.jpg: uiqm=0.4622294835667262, uciqe=0.5436137566529554
142.jpg: uiqm=0.3386366319908367, uciqe=0.5561447670620046
143.jpg: uiqm=0.4402871627323134, uciqe=0.5260936437690236
144.jpg: uiqm=0.5905670524124023, uciqe=0.5298117268583916
145.jpg: uiqm=0.63945818729829, uciqe=0.5370857586458986
146.jpg: uiqm=0.4479702003438666, uciqe=0.5379507786007908
147.jpg: uiqm=0.3677562527305632, uciqe=0.5394064907895454
148.jpg: uiqm=0.4423820463354714, uciqe=0.5357180072454686
149.jpg: uiqm=0.015800262127152243, uciqe=0.5105244330897358
15.jpg: uiqm=0.2235773836413799, uciqe=0.5481432919897038
150.jpg: uiqm=0.007726858759843913, uciqe=0.5066512164266685
151.jpg: uiqm=0.4461481303245445, uciqe=0.5478918479140786
152.jpg: uiqm=0.013978787647494495, uciqe=0.5067843138441315
153.jpg: uiqm=0.40774876035899477, uciqe=0.5326332294652862
154.jpg: uiqm=0.44033221650482934, uciqe=0.5626677809163899
155.jpg: uiqm=-0.06448307487875526, uciqe=0.483530431458215
156.jpg: uiqm=0.6492261895775304, uciqe=0.5615899417720617
157.jpg: uiqm=-0.06511063623780167, uciqe=0.5024108627706152
158.jpg: uiqm=-0.0657725319012199, uciqe=0.5037559238553333
159.jpg: uiqm=-0.10322702144595042, uciqe=0.5128707043778609
16.jpg: uiqm=0.3662689941591746, uciqe=0.5091630002076697
160.jpg: uiqm=-0.07548034641088841, uciqe=0.5042482414636182
161.jpg: uiqm=0.1467456155439828, uciqe=0.5554013002624564
162.jpg: uiqm=0.1347037760751265, uciqe=0.5565588028525075
163.jpg: uiqm=0.6092976711276469, uciqe=0.549497935442357
164.jpg: uiqm=0.21229562522755308, uciqe=0.5492674018101357
165.jpg: uiqm=0.2731484201005866, uciqe=0.5439621672536088
166.jpg: uiqm=0.40129654043220075, uciqe=0.5543369173345377
167.jpg: uiqm=0.32539674659516116, uciqe=0.5438839440282288
168.jpg: uiqm=0.31185802499632076, uciqe=0.5440731388658728
169.jpg: uiqm=0.2099808334180424, uciqe=0.5444324154673279
17.jpg: uiqm=0.4615390371022108, uciqe=0.5520832077624257
170.jpg: uiqm=0.10652543453871044, uciqe=0.5557227095307148
171.jpg: uiqm=0.10180155642633493, uciqe=0.5559671407202508
172.jpg: uiqm=0.38161503817826914, uciqe=0.5137271463486454
173.jpg: uiqm=0.11828617596289337, uciqe=0.5558556019983089
174.jpg: uiqm=0.08192656235130469, uciqe=0.5545973302863321
175.jpg: uiqm=0.07963661102637842, uciqe=0.5535671035738599
176.jpg: uiqm=0.5118389143797952, uciqe=0.5392836522598613
