104_img_: PSNR=22.99075660153602 SSIM=0.868754595107124 UIQM=0.46275415631659605 UCIQE=0.630769256892453
10_img_: PSNR=17.59650792589526 SSIM=0.33226140443956786 UIQM=0.24405756235510478 UCIQE=0.640757579946611
111_img_: PSNR=19.38249303421111 SSIM=0.8300094113119105 UIQM=0.40715857500488395 UCIQE=0.549143356481776
112_img_: PSNR=21.93804989669396 SSIM=0.8173237584099035 UIQM=0.45779910232614685 UCIQE=0.5899482198829955
11_img_: PSNR=13.826528429748423 SSIM=0.5207070762079065 UIQM=0.66965052363653 UCIQE=0.6763660921167345
13_img_: PSNR=16.50251904996548 SSIM=0.6665406658775933 UIQM=0.7808207933931028 UCIQE=0.6241352769171535
14_img_: PSNR=22.882617518529422 SSIM=0.9036259350959639 UIQM=0.6972341374016504 UCIQE=0.6629547168283557
15003: PSNR=20.29635986144905 SSIM=0.9317294664741166 UIQM=-0.04740567155748554 UCIQE=0.500204842730802
150_img_: PSNR=20.69024528680904 SSIM=0.7705121366015518 UIQM=0.8944053036367374 UCIQE=0.6031701210132081
15544: PSNR=20.552616680383014 SSIM=0.7726780395339028 UIQM=-0.0037367635413136646 UCIQE=0.5375618983220781
15_img_: PSNR=16.897335863420366 SSIM=0.6863293525437933 UIQM=1.0304344538892136 UCIQE=0.6978035354311131
169_img_: PSNR=17.90277021243422 SSIM=0.5268198994495874 UIQM=1.3406513650302094 UCIQE=0.5816184234483148
16_img_: PSNR=21.011327827316496 SSIM=0.6805432472551594 UIQM=0.9256841396812777 UCIQE=0.5918830894039426
17_img_: PSNR=19.397043767948023 SSIM=0.7515074970461018 UIQM=1.2120058238900673 UCIQE=0.6629176305604102
18_img_: PSNR=15.788222023936678 SSIM=0.3919050223956592 UIQM=0.6334744016135471 UCIQE=0.4526283423110803
19_img_: PSNR=18.1425559733977 SSIM=0.7219461791481568 UIQM=0.9517891958719942 UCIQE=0.6537882745331582
20: PSNR=20.537464707278037 SSIM=0.7193295335305699 UIQM=1.1266273545021601 UCIQE=0.6429087526388397
22_img_: PSNR=19.387932345814917 SSIM=0.7320438197450388 UIQM=0.8441888844174906 UCIQE=0.602010723317502
23_img_: PSNR=20.904845568703895 SSIM=0.7367974738936116 UIQM=0.9534846372599649 UCIQE=0.6397671223190212
24_img_: PSNR=19.421905846908963 SSIM=0.7285449827594453 UIQM=0.7053335514365029 UCIQE=0.5890770133062576
282_img_: PSNR=16.178952510502192 SSIM=0.47880922943048126 UIQM=1.1067390704065962 UCIQE=0.6524262554700402
284_img_: PSNR=30.134033970159976 SSIM=0.8926893663996878 UIQM=1.0804624007153694 UCIQE=0.6500713906096288
288_img_: PSNR=25.973687573455866 SSIM=0.7431885075861941 UIQM=0.8827064438553333 UCIQE=0.5832332322091468
290_img_: PSNR=21.322333195092135 SSIM=0.8676563292762575 UIQM=0.963972200106234 UCIQE=0.6015183055192517
292_img_: PSNR=21.542050380590723 SSIM=0.8961639572546798 UIQM=0.3838047313005405 UCIQE=0.6414051210591991
293_img_: PSNR=19.94631719122817 SSIM=0.6018293397578051 UIQM=0.9362845317023939 UCIQE=0.576552190188293
294_img_: PSNR=21.92622633661508 SSIM=0.7990221723005382 UIQM=0.6885729864640985 UCIQE=0.5439870335361101
295_img_: PSNR=23.086851561556692 SSIM=0.845668840345701 UIQM=1.0580353514595349 UCIQE=0.7012892650739272
299_img_: PSNR=11.719821976647296 SSIM=0.15540396227256903 UIQM=0.5880088049683119 UCIQE=0.5664183338960976
2_img_: PSNR=17.341142740976178 SSIM=0.8041561764390248 UIQM=0.756397014306835 UCIQE=0.7165669177933569
300_img_: PSNR=19.100948191466138 SSIM=0.5936062728334659 UIQM=0.7251113427646861 UCIQE=0.6062117145511764
301_img_: PSNR=21.809992561554395 SSIM=0.662374641480855 UIQM=0.6778024072451904 UCIQE=0.615362317518356
302_img_: PSNR=25.431810147439805 SSIM=0.8359142118067149 UIQM=0.622010842916994 UCIQE=0.5916013139847442
303_img_: PSNR=24.625071774897116 SSIM=0.800846363422464 UIQM=0.7616865122872829 UCIQE=0.604464060294416
304_img_: PSNR=21.991774929503016 SSIM=0.7620684064833105 UIQM=1.0106744586848269 UCIQE=0.5526956248428756
305_img_: PSNR=22.105844600648506 SSIM=0.8637615313459374 UIQM=0.8818054134480015 UCIQE=0.6423137741880808
306_img_: PSNR=18.296295830761718 SSIM=0.6810311985492831 UIQM=0.4107675337549489 UCIQE=0.566943784453626
307_img_: PSNR=24.54544947157182 SSIM=0.6391579259074257 UIQM=0.8641031669715168 UCIQE=0.5820276704579913
30_img_: PSNR=23.30990239645692 SSIM=0.8348599456645243 UIQM=1.1271434308354664 UCIQE=0.6731025746039159
311_img_: PSNR=22.285440999047704 SSIM=0.8684929865289176 UIQM=0.8150453978152455 UCIQE=0.5893032490248835
