100001.png: NIQE=52.67505429256724  with dealing time: 56.59003734588623
10091.png: NIQE=37.59979481531188  with dealing time: 52.00586009025574
10103.png: NIQE=37.51865372213121  with dealing time: 72.42363142967224
10167.png: NIQE=36.41970595147895  with dealing time: 72.47691369056702
102.png: NIQE=47.32317337399953  with dealing time: 79.18065619468689
10226.png: NIQE=44.42423783860006  with dealing time: 75.33352017402649
10475.png: NIQE=55.480260525056046  with dealing time: 86.36461591720581
10488.png: NIQE=52.618609215326664  with dealing time: 90.30922412872314
12191.png: NIQE=33.16616073170601  with dealing time: 88.91704249382019
12203.png: NIQE=34.82718896593509  with dealing time: 89.39954566955566
12228.png: NIQE=52.29623648814779  with dealing time: 88.58289313316345
12565.png: NIQE=35.85072905334593  with dealing time: 90.64049768447876
12577.png: NIQE=33.39314837117077  with dealing time: 94.02628207206726
12625.png: NIQE=50.42976582572367  with dealing time: 92.04105067253113
12709.png: NIQE=44.180773747582606  with dealing time: 81.91853380203247
12753.png: NIQE=48.99254096926519  with dealing time: 80.18755650520325
12960.png: NIQE=66.4311401125973  with dealing time: 93.49872922897339
12972.png: NIQE=52.4763723920091  with dealing time: 93.40240383148193
13252.png: NIQE=47.72645870339383  with dealing time: 89.67575144767761
13259.png: NIQE=40.88135009872375  with dealing time: 83.04143214225769
15603.png: NIQE=41.76410958999534  with dealing time: 99.13968110084534
15735.png: NIQE=39.76489193919086  with dealing time: 97.46109127998352
15738.png: NIQE=37.01420736367492  with dealing time: 105.88398432731628
15740.png: NIQE=68.1163808935012  with dealing time: 94.00462603569031
15774.png: NIQE=55.709455902019286  with dealing time: 92.23510718345642
15775.png: NIQE=64.4662786357742  with dealing time: 88.7070837020874
2.png: NIQE=39.268564200082075  with dealing time: 83.77783823013306
2575.png: NIQE=39.564042040175245  with dealing time: 75.24279689788818
2583.png: NIQE=42.52150609391236  with dealing time: 71.82022619247437
2856.png: NIQE=38.90123737448802  with dealing time: 71.49082636833191
3027.png: NIQE=30.98818333191789  with dealing time: 66.94018149375916
3051.png: NIQE=30.696882262622267  with dealing time: 66.13614678382874
3087.png: NIQE=33.05539594898287  with dealing time: 71.24113750457764
3175.png: NIQE=55.625890237003475  with dealing time: 73.76690125465393
3201.png: NIQE=44.996847638873255  with dealing time: 68.49091172218323
3279.png: NIQE=46.17526225215467  with dealing time: 71.76572346687317
34.png: NIQE=37.16571427012892  with dealing time: 70.59376931190491
3494.png: NIQE=42.543421064805244  with dealing time: 71.47688102722168
3519.png: NIQE=41.20343236744298  with dealing time: 77.40563225746155
358_img_.png: NIQE=53.63803911638854  with dealing time: 80.85904622077942
432.png: NIQE=75.23205883997672  with dealing time: 82.62445139884949
5.png: NIQE=53.24516932972296  with dealing time: 82.63198161125183
52.png: NIQE=33.11419598486104  with dealing time: 81.07407402992249
579.png: NIQE=41.31225723345842  with dealing time: 75.36613941192627
605.png: NIQE=39.15386087552277  with dealing time: 71.89377427101135
616.png: NIQE=37.65270173735775  with dealing time: 70.83411121368408
627.png: NIQE=31.54847392049494  with dealing time: 70.45939421653748
6333.png: NIQE=79.72111217790925  with dealing time: 101.52826189994812
6340.png: NIQE=54.067615514064585  with dealing time: 97.29206275939941
643_img_.png: NIQE=32.94462004634412  with dealing time: 99.56585335731506
6527.png: NIQE=50.291848837608825  with dealing time: 92.92698287963867
7277.png: NIQE=35.95129798386217  with dealing time: 94.23436117172241
7291.png: NIQE=39.95167652277386  with dealing time: 103.65636658668518
770.png: NIQE=34.56445011991624  with dealing time: 96.8263931274414
866.png: NIQE=41.75074799961083  with dealing time: 113.83593654632568
880.png: NIQE=42.060312121515956  with dealing time: 118.78033113479614
9553.png: NIQE=40.916737769638345  with dealing time: 87.95572304725647
9602.png: NIQE=37.60064723167172  with dealing time: 104.27198553085327
9607.png: NIQE=31.949725515117763  with dealing time: 114.98674035072327
9618.png: NIQE=43.926178787644034  with dealing time: 99.69627690315247

60 Image Average: NIQE=44.41411310443797, TimePerImage=85.14828285773595, SumTime = 5108.896971464157s

