100001.png: uiqm=-0.0076156926356431565, uciqe=0.4982090966163607
10091.png: uiqm=0.6930340646511669, uciqe=0.5935598613048523
10103.png: uiqm=0.8479453292434989, uciqe=0.5397335683618882
10167.png: uiqm=0.3579097100463732, uciqe=0.5850580890380703
102.png: uiqm=0.21068885262025788, uciqe=0.554998437617676
10226.png: uiqm=0.07714338013173627, uciqe=0.5734307372478535
10475.png: uiqm=0.417544990348972, uciqe=0.5349410154721213
10488.png: uiqm=0.506163685382244, uciqe=0.5093834905968885
12191.png: uiqm=0.7882731480295901, uciqe=0.461773668719637
12203.png: uiqm=0.8569148499999681, uciqe=0.5503186478417021
12228.png: uiqm=-0.08320384951700893, uciqe=0.33623005710709475
12565.png: uiqm=0.5085282533092017, uciqe=0.43467903458884055
12577.png: uiqm=0.9686782780814049, uciqe=0.5062546849283274
12625.png: uiqm=0.05734609216825587, uciqe=0.49605031643223285
12709.png: uiqm=0.06516305419475943, uciqe=0.4745104947488123
12753.png: uiqm=-0.015165793424491647, uciqe=0.47147285287980034
12960.png: uiqm=0.18293130857277093, uciqe=0.5170011175242943
12972.png: uiqm=0.3277426129030588, uciqe=0.6325385299031084
13252.png: uiqm=-0.10426475070830798, uciqe=0.5667544650764844
13259.png: uiqm=0.524520188650472, uciqe=0.5558087506369178
15603.png: uiqm=-0.12662206017242464, uciqe=0.4614025620103558
15735.png: uiqm=-0.07149276644387179, uciqe=0.40382261237893513
15738.png: uiqm=0.0880262156206855, uciqe=0.5065135060051944
15740.png: uiqm=0.35937106026897914, uciqe=0.4860194068691087
15774.png: uiqm=0.7075998226144996, uciqe=0.5396661269959322
15775.png: uiqm=0.16920054199125495, uciqe=0.42659879873547196
2.png: uiqm=0.6453469530376248, uciqe=0.5402453412988794
2575.png: uiqm=0.5844608622507408, uciqe=0.6005515904071782
2583.png: uiqm=0.4195943201903514, uciqe=0.6124986307149464
2856.png: uiqm=0.6065065103892411, uciqe=0.5719947284604194
3027.png: uiqm=0.51941663974325, uciqe=0.5984287580530023
3051.png: uiqm=0.5302330003325755, uciqe=0.5806401010343409
3087.png: uiqm=0.902034135746719, uciqe=0.5983108839184763
3175.png: uiqm=0.0038970702279230163, uciqe=0.4007546436731858
3201.png: uiqm=0.46277093844107814, uciqe=0.4975384492424304
3279.png: uiqm=0.3897950222223727, uciqe=0.46269187884292984
34.png: uiqm=0.5032696090196123, uciqe=0.666323292017556
3494.png: uiqm=0.23215448588775678, uciqe=0.591691291536121
3519.png: uiqm=0.40699536275669707, uciqe=0.6092178475589392
358_img_.png: uiqm=0.5358472859155672, uciqe=0.600220760523952
432.png: uiqm=0.04937398341225868, uciqe=0.4598265951452649
5.png: uiqm=0.04950174113766714, uciqe=0.5765512740881572
52.png: uiqm=0.4719849794527807, uciqe=0.6572431051397257
579.png: uiqm=0.31049811490902496, uciqe=0.5813687121109727
605.png: uiqm=0.5447847397926369, uciqe=0.6110513069891048
616.png: uiqm=0.5558839105144162, uciqe=0.6348557892040912
627.png: uiqm=0.6301960959465716, uciqe=0.6273601371039454
6333.png: uiqm=0.08361350164237713, uciqe=0.5583930047571533
6340.png: uiqm=0.11775539677715408, uciqe=0.558916437549252
643_img_.png: uiqm=0.7098615422249323, uciqe=0.6146607068812189
6527.png: uiqm=0.07670130181884349, uciqe=0.5059768121853506
7277.png: uiqm=0.5314248309820913, uciqe=0.4845095165856488
7291.png: uiqm=0.7170675679432912, uciqe=0.5251038793395743
770.png: uiqm=0.7261149959071134, uciqe=0.52514463900377
866.png: uiqm=0.5629388566190204, uciqe=0.49163709783230003
880.png: uiqm=0.6689679444147671, uciqe=0.5560572894520671
9553.png: uiqm=0.6707529189117372, uciqe=0.5747233849136603
9602.png: uiqm=0.43562468997349074, uciqe=0.5839300277853126
9607.png: uiqm=0.41513357707470144, uciqe=0.5588735770592298
9618.png: uiqm=0.4741802271045852, uciqe=0.6002287095123184

Average: uiqm=0.3975173939774731, uciqe=0.5405708354926407

