104_img_: PSNR=21.70755584595622 SSIM=0.8977135026737022 UIQM=0.4356162463467208 UCIQE=0.5423824900762622
10_img_: PSNR=10.89266466189688 SSIM=0.06177728061858309 UIQM=0.3825216522881212 UCIQE=0.5927396134549825
111_img_: PSNR=15.082023049121215 SSIM=0.618304337952263 UIQM=0.48411206932882167 UCIQE=0.49860049431926734
112_img_: PSNR=16.66763087435241 SSIM=0.5386667483197527 UIQM=0.8050928952918927 UCIQE=0.5606088472031723
11_img_: PSNR=19.705399845825657 SSIM=0.7957064758620045 UIQM=0.7750678032807655 UCIQE=0.6481751314245727
13_img_: PSNR=16.965343887288288 SSIM=0.7366664433444482 UIQM=0.9549976845148307 UCIQE=0.5277312538288623
14_img_: PSNR=21.08767727040071 SSIM=0.8265487294361111 UIQM=0.9497848029521505 UCIQE=0.638314395029328
15003: PSNR=17.20926088595247 SSIM=0.6833764901070662 UIQM=-0.03836990569473453 UCIQE=0.3997854168960688
150_img_: PSNR=18.51907182578247 SSIM=0.7319538930719777 UIQM=0.6476653467692151 UCIQE=0.5383579672682428
15544: PSNR=15.238162252067323 SSIM=0.16159065571516637 UIQM=-0.14991831542988987 UCIQE=0.488628735919431
15_img_: PSNR=18.303182783187182 SSIM=0.6439487490031196 UIQM=1.0047641294075933 UCIQE=0.6408259929283485
169_img_: PSNR=13.927373796918058 SSIM=0.4543029960230946 UIQM=0.8742662900246065 UCIQE=0.48454932587780963
16_img_: PSNR=16.663296483103462 SSIM=0.17075865229961315 UIQM=0.841199017778729 UCIQE=0.49664740979133615
17_img_: PSNR=21.033086659855766 SSIM=0.6828344403206336 UIQM=1.1326848883898928 UCIQE=0.5632354979060346
18_img_: PSNR=10.002987923465714 SSIM=0.07398227689986694 UIQM=0.6700886358420587 UCIQE=0.3981697036980786
19_img_: PSNR=18.129064000364995 SSIM=0.6904176293922141 UIQM=0.924511122533237 UCIQE=0.584654959614424
20: PSNR=18.51178535349864 SSIM=0.5904385180838285 UIQM=0.9479791628037517 UCIQE=0.5529942121190978
22_img_: PSNR=13.4786525527419 SSIM=-0.004119783652879724 UIQM=0.7988416043884983 UCIQE=0.4807520308567045
23_img_: PSNR=15.323518875221504 SSIM=-0.0418028338929463 UIQM=0.856288981252753 UCIQE=0.5058370621457954
24_img_: PSNR=14.070087622053041 SSIM=-0.0012883614210572464 UIQM=0.8765480605616864 UCIQE=0.4962697271408939
282_img_: PSNR=15.3205402063772 SSIM=0.3342316147430238 UIQM=1.1173751480173921 UCIQE=0.5858747802571556
284_img_: PSNR=26.225974837840383 SSIM=0.8321941014127198 UIQM=0.9042056618570417 UCIQE=0.6605771919611061
288_img_: PSNR=17.64036760824362 SSIM=0.5893953534666017 UIQM=0.6259463417440673 UCIQE=0.5559280755250301
290_img_: PSNR=18.319247191246987 SSIM=0.6240259998615743 UIQM=0.5503702477271369 UCIQE=0.520930764060427
