100001.png: NIQE=66.03886479520517  with dealing time: 50.3713002204895
10091.png: NIQE=41.41150487756543  with dealing time: 45.74891519546509
10103.png: NIQE=41.34643749603415  with dealing time: 51.79519176483154
10167.png: NIQE=38.022269512848034  with dealing time: 54.31141924858093
102.png: NIQE=47.36592133431197  with dealing time: 58.46703052520752
10226.png: NIQE=44.705506180388014  with dealing time: 56.95740056037903
10475.png: NIQE=59.75268753288468  with dealing time: 48.06703782081604
10488.png: NIQE=51.60057268601556  with dealing time: 48.414546728134155
12191.png: NIQE=38.50765102231947  with dealing time: 49.275062084198
12203.png: NIQE=39.69337874668256  with dealing time: 47.80781412124634
12228.png: NIQE=57.31483214831654  with dealing time: 42.53112864494324
12565.png: NIQE=44.47676508428079  with dealing time: 51.98863697052002
12577.png: NIQE=35.640358810291275  with dealing time: 50.805102586746216
12625.png: NIQE=52.98009081100516  with dealing time: 55.74929642677307
12709.png: NIQE=52.78800675500043  with dealing time: 48.32716393470764
12753.png: NIQE=49.56567788016239  with dealing time: 53.70228815078735
12960.png: NIQE=71.43601483635759  with dealing time: 54.36385178565979
12972.png: NIQE=50.515052338807834  with dealing time: 59.85266399383545
13252.png: NIQE=53.8237168158208  with dealing time: 64.75549411773682
13259.png: NIQE=42.03479098493898  with dealing time: 54.822893381118774
15603.png: NIQE=48.01567420720699  with dealing time: 57.4395797252655
15735.png: NIQE=46.300428357323995  with dealing time: 51.39501190185547
15738.png: NIQE=39.75190385753021  with dealing time: 56.74299621582031
15740.png: NIQE=77.95716889311505  with dealing time: 54.84145784378052
15774.png: NIQE=57.77041727229551  with dealing time: 68.29307913780212
15775.png: NIQE=82.59596574176594  with dealing time: 84.70525527000427
2.png: NIQE=48.37663818786216  with dealing time: 67.7204520702362
2575.png: NIQE=40.47689179489283  with dealing time: 62.31690192222595
2583.png: NIQE=47.355260661093894  with dealing time: 59.09706974029541
2856.png: NIQE=40.606225693611016  with dealing time: 57.037861347198486
3027.png: NIQE=34.55390165573358  with dealing time: 61.17672109603882
3051.png: NIQE=33.41698306117257  with dealing time: 66.2265248298645
3087.png: NIQE=36.942075769795736  with dealing time: 54.53311252593994
3175.png: NIQE=50.7958698685243  with dealing time: 49.111249685287476
3201.png: NIQE=38.74343411793921  with dealing time: 49.91962480545044
3279.png: NIQE=56.40414980209559  with dealing time: 52.5562219619751
34.png: NIQE=40.5790656754162  with dealing time: 61.81130361557007
3494.png: NIQE=45.779271256473  with dealing time: 55.5471613407135
3519.png: NIQE=45.72130274865754  with dealing time: 56.710782527923584
358_img_.png: NIQE=45.76855558522408  with dealing time: 69.4334487915039
432.png: NIQE=72.04311985631713  with dealing time: 59.40845489501953
5.png: NIQE=55.58959403826673  with dealing time: 56.755297899246216
52.png: NIQE=37.773999614789986  with dealing time: 69.73701691627502
579.png: NIQE=43.00951151806931  with dealing time: 93.07165741920471
605.png: NIQE=40.25285904041062  with dealing time: 64.09462857246399
616.png: NIQE=42.885681951271096  with dealing time: 59.07258629798889
627.png: NIQE=36.73734480784635  with dealing time: 53.601810932159424
6333.png: NIQE=57.57989961806165  with dealing time: 67.88877701759338
6340.png: NIQE=52.97230894302183  with dealing time: 58.74378538131714
643_img_.png: NIQE=37.31655445576113  with dealing time: 58.16185188293457
6527.png: NIQE=50.44309379205357  with dealing time: 57.54311776161194
7277.png: NIQE=47.1747089916003  with dealing time: 55.48136234283447
7291.png: NIQE=44.575638350479274  with dealing time: 54.89703130722046
770.png: NIQE=35.75906561751554  with dealing time: 50.698339223861694
866.png: NIQE=44.366746963206  with dealing time: 52.34569239616394
880.png: NIQE=46.90832234061692  with dealing time: 52.38734793663025
9553.png: NIQE=53.17887937401731  with dealing time: 51.181872844696045
9602.png: NIQE=42.57287436188077  with dealing time: 49.141772508621216
9607.png: NIQE=41.669469516726636  with dealing time: 47.57440900802612
9618.png: NIQE=42.32517344141218  with dealing time: 66.28237795829773

60 Image Average: NIQE=47.70110219083819, TimePerImage=57.046654085318245, SumTime = 3422.799245119095s

