12433.png: NIQE=39.5681910697061  with dealing time: 93.58416843414307
149.png: NIQE=46.48947538347342  with dealing time: 97.17748069763184
161.png: NIQE=38.206023581387925  with dealing time: 95.90386819839478
264574_00031858.png: NIQE=34.136016865924574  with dealing time: 87.98907160758972
264734_00038535.png: NIQE=35.51416364734454  with dealing time: 81.72933602333069
265119_00013763.png: NIQE=41.89723543570137  with dealing time: 86.47566938400269
265130_00031309.png: NIQE=35.47026236112984  with dealing time: 88.10976099967957
265344_00029330.png: NIQE=37.832909211923386  with dealing time: 87.26514625549316
306_img_.png: NIQE=41.40345508299904  with dealing time: 86.44938397407532
332_img_.png: NIQE=45.230825643295134  with dealing time: 88.44950652122498
3330.png: NIQE=47.535227986119644  with dealing time: 93.75958466529846
36.png: NIQE=46.89701990535011  with dealing time: 85.95060086250305
387_img_.png: NIQE=43.311030957453085  with dealing time: 84.06817126274109
757_img_.png: NIQE=38.07025885980816  with dealing time: 87.33078932762146
819_img_.png: NIQE=42.101274613296866  with dealing time: 91.17725563049316
96.png: NIQE=50.01512387210339  with dealing time: 92.8571126461029
GI_1.png: NIQE=41.03354105920213  with dealing time: 82.54551649093628
GI_16.png: NIQE=43.388467892194086  with dealing time: 93.1289439201355
GI_2.png: NIQE=56.981888898152114  with dealing time: 80.68720054626465
GI_22.png: NIQE=47.381318045422184  with dealing time: 90.98191857337952
GI_29.png: NIQE=105.3559845045569  with dealing time: 87.09686851501465
GI_33.png: NIQE=37.66035932219141  with dealing time: 86.01346564292908
GI_35.png: NIQE=37.93879934257186  with dealing time: 94.0989134311676
GI_43.png: NIQE=43.9573915018043  with dealing time: 93.08251214027405
GI_7.png: NIQE=36.11541472964509  with dealing time: 84.38336730003357
GI_78.png: NIQE=43.01345301334375  with dealing time: 90.17178177833557
GI_8.png: NIQE=40.273594441280146  with dealing time: 80.01749396324158
GI_95.png: NIQE=43.818144605661196  with dealing time: 87.45478105545044
gmn_5017up.png: NIQE=37.57894722583031  with dealing time: 89.7713611125946
gmn_5029up.png: NIQE=44.75052938553814  with dealing time: 86.55323553085327
gmn_5148up.png: NIQE=43.51884578817161  with dealing time: 87.69416379928589
gmn_5183up.png: NIQE=40.31717593680384  with dealing time: 86.35654473304749
gmn_5185up.png: NIQE=37.84992226659188  with dealing time: 92.5993161201477
gmn_5228up.png: NIQE=36.617822140493104  with dealing time: 86.79044580459595
gmn_7856up.png: NIQE=40.262116151056034  with dealing time: 84.83925008773804
gmn_7919up.png: NIQE=42.35232976500252  with dealing time: 86.00593090057373
im_f1582_.png: NIQE=41.39240882415602  with dealing time: 86.8045163154602
im_f2253_.png: NIQE=41.97859892308856  with dealing time: 84.07503628730774
n01496331_1010.png: NIQE=42.86553594922402  with dealing time: 85.19649958610535
n01496331_2044.png: NIQE=46.551302957391094  with dealing time: 84.50756239891052
n01914609_1112.png: NIQE=46.189100882695165  with dealing time: 89.78867745399475
n01914609_11380.png: NIQE=33.48854116725592  with dealing time: 85.58916234970093
n01914609_13222.png: NIQE=40.62019655209933  with dealing time: 89.53359770774841
n01914609_13909.png: NIQE=38.05353721559414  with dealing time: 87.60493803024292
n01914609_1437.png: NIQE=50.72315839360508  with dealing time: 83.2308406829834
n01914609_1980.png: NIQE=44.68970755885537  with dealing time: 81.22423267364502
n01914609_2054.png: NIQE=45.590594462331936  with dealing time: 79.19234156608582
n01914609_7919.png: NIQE=48.15851970382335  with dealing time: 78.58827233314514
n02607072_2382.png: NIQE=49.526149240732316  with dealing time: 82.97220993041992
n02607072_5845.png: NIQE=39.22981663481423  with dealing time: 79.63445329666138
n02607072_931.png: NIQE=49.12273276409328  with dealing time: 83.79852724075317
NF_1.png: NIQE=57.60044919304634  with dealing time: 80.85459852218628
