1.jpg: NIQE=48.161191653030514  with dealing time: 97.09520149230957
10.jpg: NIQE=41.25381902059694  with dealing time: 90.56656408309937
100.jpg: NIQE=45.65313334170708  with dealing time: 88.87054705619812
101.jpg: NIQE=38.50672316562082  with dealing time: 100.24368572235107
102.jpg: NIQE=45.28193703533283  with dealing time: 105.37509846687317
103.jpg: NIQE=46.89603264080626  with dealing time: 105.12906789779663
104.jpg: NIQE=47.52220020027966  with dealing time: 91.74349188804626
105.jpg: NIQE=58.946346769150644  with dealing time: 91.18852019309998
106.jpg: NIQE=61.54886633412431  with dealing time: 93.02317309379578
107.jpg: NIQE=44.64575314129818  with dealing time: 91.46217894554138
108.jpg: NIQE=49.86039058519519  with dealing time: 88.55514335632324
109.jpg: NIQE=46.744400521829455  with dealing time: 89.11426520347595
11.jpg: NIQE=42.35158285014723  with dealing time: 89.27288174629211
110.jpg: NIQE=61.07848089121194  with dealing time: 88.30309915542603
111.jpg: NIQE=54.5907894127629  with dealing time: 92.720707654953
112.jpg: NIQE=47.00536843241224  with dealing time: 89.52563309669495
113.jpg: NIQE=47.792236358049216  with dealing time: 87.59664368629456
114.jpg: NIQE=60.86765755175699  with dealing time: 87.75913310050964
115.jpg: NIQE=63.265188719076754  with dealing time: 89.16708517074585
116.jpg: NIQE=47.757544522803855  with dealing time: 92.57290863990784
117.jpg: NIQE=45.84466541395973  with dealing time: 104.50849270820618
118.jpg: NIQE=50.33071922907389  with dealing time: 92.83553409576416
119.jpg: NIQE=47.85127185621054  with dealing time: 95.88996839523315
12.jpg: NIQE=41.4430847064224  with dealing time: 91.62038350105286
120.jpg: NIQE=47.388973098409046  with dealing time: 87.73290657997131
121.jpg: NIQE=47.17026785840569  with dealing time: 85.89216494560242
122.jpg: NIQE=49.70017552516379  with dealing time: 88.13673257827759
123.jpg: NIQE=46.6700743638852  with dealing time: 91.10310006141663
124.jpg: NIQE=45.75750404745309  with dealing time: 88.38662719726562
125.jpg: NIQE=46.92967655891195  with dealing time: 87.6451768875122
