1.jpg: uiqm=0.17375402403134665, uciqe=0.49893925671732936
10.jpg: uiqm=0.6172032992712463, uciqe=0.5925903207650536
100.jpg: uiqm=0.5574065275279049, uciqe=0.5201246773874393
101.jpg: uiqm=0.6220659994393957, uciqe=0.5937580058036188
102.jpg: uiqm=0.5569096216355445, uciqe=0.5485870101218577
103.jpg: uiqm=0.8078954571825124, uciqe=0.5592678133987417
104.jpg: uiqm=0.8204777157085639, uciqe=0.5599619891647138
105.jpg: uiqm=0.45102229566871355, uciqe=0.5679918516830269
106.jpg: uiqm=0.48095290688289727, uciqe=0.5624473530105477
107.jpg: uiqm=0.7283145121313368, uciqe=0.5035025962386651
108.jpg: uiqm=0.550937819072004, uciqe=0.49629712588478253
109.jpg: uiqm=0.4903368803068434, uciqe=0.4869308450953962
11.jpg: uiqm=0.6161893052871249, uciqe=0.5916067735606543
110.jpg: uiqm=0.40588208729312825, uciqe=0.5186399513396776
111.jpg: uiqm=0.3730886402798218, uciqe=0.5529206480302618
112.jpg: uiqm=0.4138972065806825, uciqe=0.48898624993638273
113.jpg: uiqm=0.37424148764446796, uciqe=0.48726947938282267
114.jpg: uiqm=0.2746430540848691, uciqe=0.5324229384632782
115.jpg: uiqm=0.5468289211972297, uciqe=0.5530357307252955
116.jpg: uiqm=0.6411858677661, uciqe=0.48453798553467764
117.jpg: uiqm=0.5946557473764956, uciqe=0.4818115391343507
118.jpg: uiqm=0.21983694077964644, uciqe=0.593245535584772
119.jpg: uiqm=0.4442222041353704, uciqe=0.5079439228744523
12.jpg: uiqm=0.6169525557716491, uciqe=0.5913901080522892
120.jpg: uiqm=0.33005011730180656, uciqe=0.5098812447149337
121.jpg: uiqm=0.48456386838323395, uciqe=0.5047998713943558
122.jpg: uiqm=0.5471301071813496, uciqe=0.5178798082620164
123.jpg: uiqm=0.3310181050064682, uciqe=0.5001997216743623
124.jpg: uiqm=0.24161790487926338, uciqe=0.5035659698529578
125.jpg: uiqm=0.35737555485595585, uciqe=0.5090344770569573
126.jpg: uiqm=0.2948524514547146, uciqe=0.5150665190727901
127.jpg: uiqm=0.55834568723181, uciqe=0.5105465672519495
128.jpg: uiqm=0.4023158139259724, uciqe=0.564713126556479
129.jpg: uiqm=0.4343126389652834, uciqe=0.5269574083280741
13.jpg: uiqm=0.5742382219852702, uciqe=0.5853902459697843
130.jpg: uiqm=0.3270584256254031, uciqe=0.49706644253750765
131.jpg: uiqm=0.35294315061549764, uciqe=0.5147978339851763
132.jpg: uiqm=0.4277899821044254, uciqe=0.510787383407574
133.jpg: uiqm=0.2641710035848084, uciqe=0.5823505411130536
134.jpg: uiqm=0.38220999238035624, uciqe=0.49573521707580764
135.jpg: uiqm=0.5187177822824944, uciqe=0.5376344363327255
136.jpg: uiqm=0.5308063007109303, uciqe=0.5175143623266757
