12433.png: NIQE=39.53894265414772  with dealing time: 76.50018048286438
149.png: NIQE=46.34130050032358  with dealing time: 99.11611199378967
161.png: NIQE=38.525794909987184  with dealing time: 95.23129081726074
264574_00031858.png: NIQE=34.136016865924574  with dealing time: 88.47582221031189
264734_00038535.png: NIQE=35.51416364734454  with dealing time: 83.55968618392944
265119_00013763.png: NIQE=41.89723543570137  with dealing time: 87.20791363716125
265130_00031309.png: NIQE=35.47026236112984  with dealing time: 87.97530341148376
265344_00029330.png: NIQE=37.832909211923386  with dealing time: 86.60948443412781
306_img_.png: NIQE=44.14021418311666  with dealing time: 86.60575103759766
332_img_.png: NIQE=48.78891372827167  with dealing time: 87.40910053253174
3330.png: NIQE=46.600758206586555  with dealing time: 92.7955870628357
36.png: NIQE=48.35701408890175  with dealing time: 87.6454713344574
387_img_.png: NIQE=42.68684601064962  with dealing time: 84.08807158470154
757_img_.png: NIQE=37.97891557553156  with dealing time: 86.63183403015137
819_img_.png: NIQE=40.766816317264414  with dealing time: 92.10758447647095
96.png: NIQE=49.14542669970987  with dealing time: 94.35988664627075
GI_1.png: NIQE=40.5244915909713  with dealing time: 83.41650915145874
GI_16.png: NIQE=43.267779902846186  with dealing time: 93.15895509719849
GI_2.png: NIQE=56.05248432679616  with dealing time: 80.80163097381592
GI_22.png: NIQE=46.636195726327955  with dealing time: 90.08517265319824
GI_29.png: NIQE=105.53894895231997  with dealing time: 87.88368558883667
GI_33.png: NIQE=37.084656058969294  with dealing time: 85.12048840522766
GI_35.png: NIQE=37.88622520995382  with dealing time: 94.84442782402039
GI_43.png: NIQE=43.47705387499109  with dealing time: 94.84971499443054
GI_7.png: NIQE=36.16371472132617  with dealing time: 83.81406211853027
GI_78.png: NIQE=41.2785574540958  with dealing time: 89.34291100502014
GI_8.png: NIQE=39.266692363953844  with dealing time: 79.15238165855408
GI_95.png: NIQE=42.725394617140815  with dealing time: 85.62776398658752
gmn_5017up.png: NIQE=36.243510771690666  with dealing time: 90.41588234901428
gmn_5029up.png: NIQE=43.818013264688275  with dealing time: 86.03664231300354
gmn_5148up.png: NIQE=43.70385873354522  with dealing time: 86.81782674789429
gmn_5183up.png: NIQE=39.233536197064545  with dealing time: 85.57491254806519
gmn_5185up.png: NIQE=36.626497671048995  with dealing time: 91.6814832687378
gmn_5228up.png: NIQE=36.38256816518845  with dealing time: 83.51916146278381
gmn_7856up.png: NIQE=38.88061433115458  with dealing time: 83.87551856040955
gmn_7919up.png: NIQE=41.245817347978004  with dealing time: 87.78448581695557
im_f1582_.png: NIQE=40.88057835596803  with dealing time: 88.61631083488464
im_f2253_.png: NIQE=41.52100526631895  with dealing time: 83.81350898742676
n01496331_1010.png: NIQE=42.86553594922402  with dealing time: 84.82088589668274
n01496331_2044.png: NIQE=46.551302957391094  with dealing time: 83.30301475524902
n01914609_1112.png: NIQE=46.189100882695165  with dealing time: 88.77186393737793
n01914609_11380.png: NIQE=33.1664303105544  with dealing time: 86.73119044303894
n01914609_13222.png: NIQE=38.5245258842633  with dealing time: 88.45665144920349
n01914609_13909.png: NIQE=37.311259977582885  with dealing time: 86.65883040428162
n01914609_1437.png: NIQE=50.72315839360508  with dealing time: 83.16318774223328
n01914609_1980.png: NIQE=44.68970755885537  with dealing time: 90.21535539627075
n01914609_2054.png: NIQE=45.590594462331936  with dealing time: 81.04726028442383
n01914609_7919.png: NIQE=48.15851970382335  with dealing time: 78.57468104362488
n02607072_2382.png: NIQE=49.526149240732316  with dealing time: 82.07586717605591
n02607072_5845.png: NIQE=40.47120555454651  with dealing time: 80.95188593864441
n02607072_931.png: NIQE=49.12273276409328  with dealing time: 82.39179301261902
NF_1.png: NIQE=56.27735018928832  with dealing time: 80.72402262687683
NF_10.png: NIQE=71.1579484352474  with dealing time: 80.59440350532532
NF_100.png: NIQE=48.682348526825926  with dealing time: 73.14111113548279
NF_110.png: NIQE=48.421991324948394  with dealing time: 79.96984577178955
NF_116.png: NIQE=50.10792855819404  with dealing time: 75.99513506889343
NF_123.png: NIQE=60.71845945386882  with dealing time: 77.23652029037476
NF_124.png: NIQE=46.867706058612484  with dealing time: 78.83431935310364
NF_13.png: NIQE=66.08762369896135  with dealing time: 70.3291585445404
NF_14.png: NIQE=66.61939655737208  with dealing time: 64.72220540046692
NF_141.png: NIQE=39.409149137006395  with dealing time: 70.07203102111816
NF_147.png: NIQE=58.27048979337216  with dealing time: 68.8716447353363
NF_148.png: NIQE=51.40494787867782  with dealing time: 61.86179852485657
NF_166.png: NIQE=57.879574558074594  with dealing time: 61.70614409446716
NF_171.png: NIQE=44.01002630234198  with dealing time: 67.68582463264465
NF_172.png: NIQE=47.80920600669261  with dealing time: 62.96893548965454
NF_174.png: NIQE=47.18695574356161  with dealing time: 64.8625054359436
NF_177.png: NIQE=51.66266714682747  with dealing time: 68.51325821876526
NF_194.png: NIQE=80.89409640348796  with dealing time: 67.92524743080139
NF_195.png: NIQE=54.12865296817425  with dealing time: 67.65943694114685
NF_2.png: NIQE=55.24724885233719  with dealing time: 71.6941909790039
NF_201.png: NIQE=56.337999875950445  with dealing time: 65.46928524971008
NF_209.png: NIQE=42.26284255681487  with dealing time: 64.64534592628479
NF_213.png: NIQE=47.36932010531959  with dealing time: 64.6794536113739
NF_215.png: NIQE=48.08819098664916  with dealing time: 62.71641707420349
NF_218.png: NIQE=48.015451882603145  with dealing time: 65.0899760723114
NF_231.png: NIQE=45.650598346433576  with dealing time: 64.95246124267578
NF_241.png: NIQE=40.654832559813784  with dealing time: 65.3637444972992
NF_242.png: NIQE=41.009840143783954  with dealing time: 67.48202514648438
NF_252.png: NIQE=43.8784711257146  with dealing time: 71.42024326324463
NF_26.png: NIQE=52.075355348670584  with dealing time: 61.958258390426636
NF_280.png: NIQE=44.791099427355434  with dealing time: 68.19366693496704
NF_285.png: NIQE=44.993538238692885  with dealing time: 69.43997120857239
NF_287.png: NIQE=41.67985663335746  with dealing time: 71.04092812538147
NF_313.png: NIQE=42.9075970031173  with dealing time: 68.96558904647827
NF_32.png: NIQE=54.02811955195037  with dealing time: 64.14952397346497
NF_363.png: NIQE=48.11053274562693  with dealing time: 64.08295941352844
NF_364.png: NIQE=46.128446172583445  with dealing time: 64.74210786819458
NF_387.png: NIQE=36.39354560067443  with dealing time: 67.74700379371643
NF_410.png: NIQE=49.526764250417266  with dealing time: 67.20182871818542
NF_417.png: NIQE=49.36149529935097  with dealing time: 66.27091789245605
NF_466.png: NIQE=43.975056741063234  with dealing time: 68.48404812812805
NF_470.png: NIQE=43.855742957962256  with dealing time: 69.71340370178223
NF_507.png: NIQE=47.83257117568445  with dealing time: 66.944344997406
NF_512.png: NIQE=41.50525904870553  with dealing time: 65.63477182388306
NF_518.png: NIQE=41.35096625305115  with dealing time: 69.36785626411438
NF_52.png: NIQE=45.920448457052856  with dealing time: 67.49769139289856
NF_56.png: NIQE=46.946979295010436  with dealing time: 64.22681593894958
NF_57.png: NIQE=45.07681976437156  with dealing time: 65.4026939868927
NF_60.png: NIQE=42.07930191241479  with dealing time: 68.18300032615662
NF_69.png: NIQE=42.983439402207686  with dealing time: 71.241126537323
NF_7.png: NIQE=71.44768437304302  with dealing time: 67.14430904388428
NF_70.png: NIQE=41.649770316031606  with dealing time: 68.92943954467773
NF_75.png: NIQE=39.038996086780884  with dealing time: 65.20671558380127
NF_78.png: NIQE=47.59847393506181  with dealing time: 62.596070289611816
NF_8.png: NIQE=53.469960383303956  with dealing time: 71.18726873397827
NF_81.png: NIQE=44.54904469611838  with dealing time: 67.9471185207367
NF_85.png: NIQE=40.880542101767  with dealing time: 67.50395512580872
NF_94.png: NIQE=38.599785849207976  with dealing time: 65.82805800437927
NF_95.png: NIQE=38.26688488943604  with dealing time: 64.40985417366028

110 Image Average: NIQE=46.29259401843253, TimePerImage=76.80129974972118, SumTime = 8448.14297246933s

