100001.png: NIQE=56.01935549744342  with dealing time: 115.36651563644409
10091.png: NIQE=39.85049112406818  with dealing time: 116.335773229599
10103.png: NIQE=43.94484160594628  with dealing time: 114.49167442321777
10167.png: NIQE=39.85364191028152  with dealing time: 106.95999264717102
102.png: NIQE=38.57315478983705  with dealing time: 95.4532208442688
10226.png: NIQE=43.86605705350085  with dealing time: 93.8412971496582
10475.png: NIQE=55.197373766377034  with dealing time: 86.41892671585083
10488.png: NIQE=55.659848982708056  with dealing time: 87.37211966514587
12191.png: NIQE=38.393258496335314  with dealing time: 86.11060118675232
12203.png: NIQE=36.778792528505655  with dealing time: 90.653644323349
12228.png: NIQE=50.67602468034888  with dealing time: 87.09777784347534
12565.png: NIQE=39.95128657256101  with dealing time: 85.708744764328
12577.png: NIQE=36.86326400889249  with dealing time: 85.29441094398499
12625.png: NIQE=42.99365321199556  with dealing time: 90.07906723022461
12709.png: NIQE=47.60317065138657  with dealing time: 88.86592888832092
12753.png: NIQE=42.08468022976772  with dealing time: 97.29823708534241
12960.png: NIQE=61.35757502001916  with dealing time: 89.92109155654907
12972.png: NIQE=48.9614961440482  with dealing time: 94.82457256317139
13252.png: NIQE=49.08526317099727  with dealing time: 90.5989556312561
13259.png: NIQE=48.41185208957582  with dealing time: 84.66925072669983
15603.png: NIQE=43.183480553477374  with dealing time: 95.85091996192932
15735.png: NIQE=45.13010359108051  with dealing time: 91.00437021255493
15738.png: NIQE=41.93413294482526  with dealing time: 94.74166321754456
15740.png: NIQE=55.21556279375544  with dealing time: 90.87804937362671
15774.png: NIQE=55.932489557409575  with dealing time: 86.87355875968933
15775.png: NIQE=63.091771431265514  with dealing time: 86.00012063980103
2.png: NIQE=45.9161789225542  with dealing time: 89.63420510292053
2575.png: NIQE=40.22224683282789  with dealing time: 90.6755166053772
2583.png: NIQE=50.03627261649742  with dealing time: 89.2583875656128
2856.png: NIQE=42.6067264794549  with dealing time: 92.87262201309204
3027.png: NIQE=35.20073255871646  with dealing time: 98.3285825252533
3051.png: NIQE=37.688826643907355  with dealing time: 102.55396771430969
3087.png: NIQE=39.444787323676856  with dealing time: 85.26463007926941
3175.png: NIQE=64.24595487377772  with dealing time: 86.77662301063538
3201.png: NIQE=38.776231351549946  with dealing time: 87.67472577095032
3279.png: NIQE=46.07677430245216  with dealing time: 88.20766425132751
34.png: NIQE=40.84295957640375  with dealing time: 87.96676683425903
3494.png: NIQE=40.68206496994288  with dealing time: 88.17745041847229
3519.png: NIQE=42.06505472262336  with dealing time: 94.23940396308899
358_img_.png: NIQE=42.88244756966614  with dealing time: 98.91968584060669
432.png: NIQE=73.80505788056176  with dealing time: 101.3975248336792
5.png: NIQE=49.33076174926033  with dealing time: 113.40725135803223
52.png: NIQE=37.98537518016273  with dealing time: 92.13749027252197
579.png: NIQE=40.70891968284104  with dealing time: 94.23844170570374
605.png: NIQE=37.77698316058783  with dealing time: 84.60960626602173
616.png: NIQE=40.28087115893677  with dealing time: 78.47118973731995
627.png: NIQE=37.29143020720415  with dealing time: 79.3888726234436
6333.png: NIQE=68.02976201545238  with dealing time: 82.87864661216736
6340.png: NIQE=55.655870180672316  with dealing time: 82.69157910346985
643_img_.png: NIQE=38.41152116441717  with dealing time: 80.083566904068
6527.png: NIQE=50.3593577951546  with dealing time: 83.11985945701599
7277.png: NIQE=48.13310412867959  with dealing time: 74.0819046497345
7291.png: NIQE=42.368494032839195  with dealing time: 79.07755088806152
770.png: NIQE=39.11918393333393  with dealing time: 78.57622790336609
866.png: NIQE=43.02145438349564  with dealing time: 77.83681774139404
880.png: NIQE=46.66101406176285  with dealing time: 83.29428744316101
9553.png: NIQE=47.65328503551634  with dealing time: 75.08684349060059
9602.png: NIQE=36.70203836660426  with dealing time: 73.4640142917633
9607.png: NIQE=37.578079663224685  with dealing time: 74.00067019462585
9618.png: NIQE=37.15369062945216  with dealing time: 77.26159572601318

60 Image Average: NIQE=45.58876892601034, TimePerImage=89.63941096862158, SumTime = 5378.364658117294s

