100001.png: uiqm=0.46322391637646565, uciqe=0.5323673936382591
10091.png: uiqm=0.7906144927337958, uciqe=0.5620370383055129
10103.png: uiqm=1.002621902395588, uciqe=0.5808526169166646
10167.png: uiqm=0.22755727345639143, uciqe=0.5409461017536609
102.png: uiqm=0.5462548543512015, uciqe=0.5482087120593304
10226.png: uiqm=0.603300627844905, uciqe=0.6066113356290124
10475.png: uiqm=0.43939201161630503, uciqe=0.5366779639042965
10488.png: uiqm=0.3895844399866767, uciqe=0.48703315788995644
12191.png: uiqm=0.6964747709131807, uciqe=0.43592139875552804
12203.png: uiqm=0.6138772060563099, uciqe=0.5038971027537065
12228.png: uiqm=-0.4010431865729107, uciqe=0.35510184750912477
12565.png: uiqm=0.5433420368048507, uciqe=0.4171825558750135
12577.png: uiqm=0.6911603382268156, uciqe=0.42796482425797233
12625.png: uiqm=-0.23535352291135447, uciqe=0.4588357941831225
12709.png: uiqm=-0.12848031738092447, uciqe=0.47578967780188464
12753.png: uiqm=-0.3250502970344477, uciqe=0.4632876686966902
12960.png: uiqm=0.3684244277175486, uciqe=0.525104079708067
12972.png: uiqm=0.4564576418082309, uciqe=0.6109585314822236
13252.png: uiqm=0.18048630323272163, uciqe=0.5650778042843623
13259.png: uiqm=0.9058074675964478, uciqe=0.5125738470163765
15603.png: uiqm=0.017203074962724885, uciqe=0.4550511967459475
15735.png: uiqm=0.1639645024007057, uciqe=0.4618557547144706
15738.png: uiqm=0.29908811870843166, uciqe=0.4976292886738318
15740.png: uiqm=0.5003729460748064, uciqe=0.49475934448130743
15774.png: uiqm=0.8663524224893904, uciqe=0.5790615369255816
15775.png: uiqm=0.055457747095594145, uciqe=0.4628332337764459
2.png: uiqm=1.2083991729945014, uciqe=0.5761887855239407
2575.png: uiqm=0.879802591221194, uciqe=0.6046499625095769
2583.png: uiqm=0.6414896625415523, uciqe=0.6459859764675935
2856.png: uiqm=0.6797109250551493, uciqe=0.5543368983289723
3027.png: uiqm=0.9982288198742112, uciqe=0.5859369040921576
3051.png: uiqm=0.7375938255664696, uciqe=0.5428942704460799
3087.png: uiqm=1.2264866557933, uciqe=0.5696159754722478
3175.png: uiqm=-0.27197402229983403, uciqe=0.4199501110288981
3201.png: uiqm=0.8774903307383016, uciqe=0.5696765615218637
3279.png: uiqm=0.49951197129774094, uciqe=0.48110801412235804
34.png: uiqm=0.7084436017785947, uciqe=0.6515925646627445
3494.png: uiqm=0.336869173529349, uciqe=0.5533551796281624
3519.png: uiqm=0.3729382013197574, uciqe=0.5393510609476861
358_img_.png: uiqm=0.722372630801629, uciqe=0.6133752445287408
432.png: uiqm=0.18837914327399985, uciqe=0.45942343491867366
5.png: uiqm=0.3070600417316419, uciqe=0.5776441496279853
52.png: uiqm=0.8122988077162439, uciqe=0.6328888470813782
579.png: uiqm=0.5324174925516173, uciqe=0.551004179464705
605.png: uiqm=0.8165046112349458, uciqe=0.627306965266819
616.png: uiqm=0.9594116937709927, uciqe=0.5522120157682187
627.png: uiqm=0.8801161721627349, uciqe=0.56889823275383
6333.png: uiqm=0.5781743019881035, uciqe=0.5623994451139736
6340.png: uiqm=0.5116709480893832, uciqe=0.5725413090049166
643_img_.png: uiqm=1.0505878426213497, uciqe=0.610950115738978
6527.png: uiqm=0.796511006528245, uciqe=0.5246436486134172
7277.png: uiqm=0.7918137833857922, uciqe=0.5278061984511436
7291.png: uiqm=0.7884058472203439, uciqe=0.5873165310118516
770.png: uiqm=0.8155015645843031, uciqe=0.5686669890150828
866.png: uiqm=0.9665953584287823, uciqe=0.5467003510551086
880.png: uiqm=1.0750202729810778, uciqe=0.5945714995950805
9553.png: uiqm=1.0113934786054677, uciqe=0.6224858539009938
9602.png: uiqm=0.8257594020082181, uciqe=0.5756733879070884
9607.png: uiqm=0.850410236601211, uciqe=0.535908789349693
9618.png: uiqm=0.8250652634450043, uciqe=0.6070960516339151

Average: uiqm=0.578859200134847, uciqe=0.5401962552048705

