12433.png: NIQE=39.022270723914076  with dealing time: 110.62136554718018
149.png: NIQE=40.06933226970603  with dealing time: 127.86365509033203
161.png: NIQE=37.75267328458645  with dealing time: 118.82723259925842
264574_00031858.png: NIQE=38.38130331915765  with dealing time: 102.29169273376465
264734_00038535.png: NIQE=40.48987355419992  with dealing time: 83.53870391845703
265119_00013763.png: NIQE=41.113407343535  with dealing time: 88.76587557792664
265130_00031309.png: NIQE=36.90598294563995  with dealing time: 88.13971257209778
265344_00029330.png: NIQE=36.99200910844624  with dealing time: 87.79855966567993
306_img_.png: NIQE=44.174177223308064  with dealing time: 84.9778184890747
332_img_.png: NIQE=43.00995087443384  with dealing time: 88.79908275604248
3330.png: NIQE=48.831887149249816  with dealing time: 96.04522967338562
36.png: NIQE=42.10312747550582  with dealing time: 85.58930110931396
387_img_.png: NIQE=48.29662708635223  with dealing time: 84.9029643535614
757_img_.png: NIQE=40.91059169343019  with dealing time: 82.72064423561096
819_img_.png: NIQE=42.38657558290204  with dealing time: 88.07859086990356
96.png: NIQE=41.362502013153424  with dealing time: 95.93101024627686
GI_1.png: NIQE=45.041405735851214  with dealing time: 80.14297819137573
GI_16.png: NIQE=55.46656517039458  with dealing time: 92.13785195350647
GI_2.png: NIQE=56.86454443937338  with dealing time: 80.60720229148865
GI_22.png: NIQE=46.01400745707105  with dealing time: 90.1954174041748
GI_29.png: NIQE=87.77219010158124  with dealing time: 84.15857028961182
GI_33.png: NIQE=40.22325781032523  with dealing time: 87.22914457321167
GI_35.png: NIQE=38.70763455788555  with dealing time: 96.32624411582947
GI_43.png: NIQE=39.87643145011677  with dealing time: 94.53135657310486
GI_7.png: NIQE=38.538768218255925  with dealing time: 83.2477056980133
GI_78.png: NIQE=37.337933147008215  with dealing time: 89.57856249809265
GI_8.png: NIQE=46.77378889809648  with dealing time: 81.0599455833435
GI_95.png: NIQE=41.808796850603144  with dealing time: 86.33485412597656
gmn_5017up.png: NIQE=37.60871014259885  with dealing time: 91.9604697227478
gmn_5029up.png: NIQE=40.404012640956395  with dealing time: 87.44670176506042
gmn_5148up.png: NIQE=46.99481163228796  with dealing time: 96.71027684211731
gmn_5183up.png: NIQE=36.2784476502165  with dealing time: 101.17310500144958
gmn_5185up.png: NIQE=40.49295266403081  with dealing time: 101.62382984161377
gmn_5228up.png: NIQE=33.76194267401767  with dealing time: 85.3169436454773
gmn_7856up.png: NIQE=37.49658874227664  with dealing time: 81.36917734146118
gmn_7919up.png: NIQE=41.235016336357674  with dealing time: 84.60439324378967
im_f1582_.png: NIQE=41.62318910989434  with dealing time: 87.12491726875305
im_f2253_.png: NIQE=50.18581136790643  with dealing time: 85.16951990127563
n01496331_1010.png: NIQE=48.94386063285359  with dealing time: 88.43687915802002
n01496331_2044.png: NIQE=48.05702305842705  with dealing time: 84.54859137535095
n01914609_1112.png: NIQE=51.65394798344511  with dealing time: 95.64075565338135
n01914609_11380.png: NIQE=43.85374654465232  with dealing time: 98.07726573944092
n01914609_13222.png: NIQE=43.67658819989474  with dealing time: 105.1075222492218
n01914609_13909.png: NIQE=47.015218538538626  with dealing time: 85.49191451072693
n01914609_1437.png: NIQE=54.26241864655452  with dealing time: 86.7417573928833
n01914609_1980.png: NIQE=45.59283403130868  with dealing time: 85.2495505809784
n01914609_2054.png: NIQE=47.298125495967334  with dealing time: 77.60354161262512
n01914609_7919.png: NIQE=46.98239434393445  with dealing time: 76.80110549926758
n02607072_2382.png: NIQE=52.567476882478616  with dealing time: 82.86818599700928
n02607072_5845.png: NIQE=41.058933735088324  with dealing time: 80.5175371170044
n02607072_931.png: NIQE=50.64355661738234  with dealing time: 83.11751770973206
NF_1.png: NIQE=50.6854392526536  with dealing time: 78.06026601791382
NF_10.png: NIQE=66.37679939601466  with dealing time: 83.18174028396606
NF_100.png: NIQE=45.31692786800065  with dealing time: 75.30291390419006
NF_110.png: NIQE=45.12984231822457  with dealing time: 84.63486862182617
NF_116.png: NIQE=44.90436811881339  with dealing time: 76.88434147834778
NF_123.png: NIQE=44.51519954021912  with dealing time: 81.36968946456909
NF_124.png: NIQE=38.9669660072436  with dealing time: 77.79889059066772
NF_13.png: NIQE=91.36976612869006  with dealing time: 65.21269655227661
NF_14.png: NIQE=80.96556090222194  with dealing time: 65.92865943908691
NF_141.png: NIQE=41.14317518114178  with dealing time: 70.0905213356018
NF_147.png: NIQE=43.71104022136084  with dealing time: 71.43545961380005
NF_148.png: NIQE=43.57267593215815  with dealing time: 67.61441111564636
NF_166.png: NIQE=49.53509930698323  with dealing time: 66.29035592079163
NF_171.png: NIQE=40.1433710970519  with dealing time: 69.26439666748047
NF_172.png: NIQE=45.252856863930624  with dealing time: 65.56061744689941
NF_174.png: NIQE=44.07291137867973  with dealing time: 66.80398178100586
NF_177.png: NIQE=40.57071542620138  with dealing time: 71.70980834960938
NF_194.png: NIQE=92.24273887194343  with dealing time: 70.48015642166138
NF_195.png: NIQE=42.539226891247274  with dealing time: 67.99494767189026
NF_2.png: NIQE=65.71886767209637  with dealing time: 67.68013167381287
NF_201.png: NIQE=43.146808345966846  with dealing time: 65.21561479568481
NF_209.png: NIQE=40.81858520480117  with dealing time: 65.01668405532837
NF_213.png: NIQE=43.27117328859743  with dealing time: 64.64621806144714
NF_215.png: NIQE=45.27134466633133  with dealing time: 64.02611017227173
NF_218.png: NIQE=46.32579211958087  with dealing time: 63.76720190048218
NF_231.png: NIQE=40.16784118697723  with dealing time: 72.36315655708313
NF_241.png: NIQE=38.82120558878936  with dealing time: 69.94636988639832
NF_242.png: NIQE=40.43476189035843  with dealing time: 68.90141582489014
