1.jpg: uiqm=0.5261719921739437, uciqe=0.5246439056979441
10.jpg: uiqm=0.4851888927414031, uciqe=0.5591787576004934
100.jpg: uiqm=0.5781020362492708, uciqe=0.4770103949516469
101.jpg: uiqm=0.5504914532731476, uciqe=0.5597017562445195
102.jpg: uiqm=0.7061682453965934, uciqe=0.5593186101812122
103.jpg: uiqm=0.857102871357491, uciqe=0.5555217867010722
104.jpg: uiqm=0.8430890269076383, uciqe=0.5457154740642529
105.jpg: uiqm=0.5362218621070208, uciqe=0.569215075354452
106.jpg: uiqm=0.5437363974275533, uciqe=0.5654737556365805
107.jpg: uiqm=0.7899376686482307, uciqe=0.5105404026597372
108.jpg: uiqm=0.6425852626752967, uciqe=0.4931388331040888
109.jpg: uiqm=0.6097381760492498, uciqe=0.5114715771381113
11.jpg: uiqm=0.46669750811520694, uciqe=0.5600414623546214
110.jpg: uiqm=0.5901975595645886, uciqe=0.5128291329421314
111.jpg: uiqm=0.5624697311009719, uciqe=0.5582905241491873
112.jpg: uiqm=0.5360972669441314, uciqe=0.5043728535289906
113.jpg: uiqm=0.5773374514851584, uciqe=0.49563494101430866
114.jpg: uiqm=0.43156741310774915, uciqe=0.5031261516637718
115.jpg: uiqm=0.6457094622007191, uciqe=0.5387470680423476
116.jpg: uiqm=0.7989842995966845, uciqe=0.5167015528261111
117.jpg: uiqm=0.8002531177430008, uciqe=0.5253825656352316
118.jpg: uiqm=0.14146340170729388, uciqe=0.44306466727962096
119.jpg: uiqm=0.5755935985566417, uciqe=0.5371919997652487
12.jpg: uiqm=0.4895958403042414, uciqe=0.5600101083808386
120.jpg: uiqm=0.5551066324957835, uciqe=0.5133576540564433
121.jpg: uiqm=0.6736932597043136, uciqe=0.513086233744961
122.jpg: uiqm=0.6868858087491327, uciqe=0.5199905352138161
123.jpg: uiqm=0.5750257718488755, uciqe=0.5161707664938966
124.jpg: uiqm=0.529356338851875, uciqe=0.5176289050455796
125.jpg: uiqm=0.4964887198573381, uciqe=0.5145032951796225
126.jpg: uiqm=0.5331870666430029, uciqe=0.5213804278317926
127.jpg: uiqm=0.7380554300345864, uciqe=0.48799280953477
128.jpg: uiqm=0.5837581777362615, uciqe=0.4576549468487359
129.jpg: uiqm=0.6063367886956574, uciqe=0.5436772387425494
13.jpg: uiqm=0.41061958517454433, uciqe=0.5551523027943401
130.jpg: uiqm=0.6994526990668908, uciqe=0.5387628822218019
131.jpg: uiqm=0.6832758068749468, uciqe=0.5157121905938669
132.jpg: uiqm=0.612067129972169, uciqe=0.5104315649020477
133.jpg: uiqm=0.216312361173565, uciqe=0.5450053115408229
134.jpg: uiqm=0.7544843635168466, uciqe=0.5275341501814997
135.jpg: uiqm=0.7979038832926304, uciqe=0.5476676008944645
136.jpg: uiqm=0.7600556192834177, uciqe=0.5324857071117641
137.jpg: uiqm=0.6675729547605445, uciqe=0.5247206362022983
138.jpg: uiqm=0.596358565042728, uciqe=0.5277008353014703
139.jpg: uiqm=0.4659188656369704, uciqe=0.5468685390418675
14.jpg: uiqm=0.38086067816014246, uciqe=0.5445337483413794
140.jpg: uiqm=0.6362595364684361, uciqe=0.5385687150303181
141.jpg: uiqm=0.49792715073412375, uciqe=0.5261995844461118
142.jpg: uiqm=0.3346328809586957, uciqe=0.5488009341970803
143.jpg: uiqm=0.6180213808962773, uciqe=0.5207132771072469
144.jpg: uiqm=0.6376075988823376, uciqe=0.5209328871194169
145.jpg: uiqm=0.7466431213962298, uciqe=0.5486584617665442
146.jpg: uiqm=0.5317318696355181, uciqe=0.4703193974157386
147.jpg: uiqm=0.5126764973588589, uciqe=0.47609387627578514
148.jpg: uiqm=0.4800498038391231, uciqe=0.5325420202171592
149.jpg: uiqm=0.07419716539146437, uciqe=0.5414360310243154
15.jpg: uiqm=0.4679021171468286, uciqe=0.5454134526569628
150.jpg: uiqm=-0.11688967973808395, uciqe=0.5380125128611565
151.jpg: uiqm=0.48625596855359066, uciqe=0.5388431846945043
152.jpg: uiqm=-0.12254451120491872, uciqe=0.5317921157410248
153.jpg: uiqm=0.561990315812665, uciqe=0.5173611688273019
154.jpg: uiqm=0.4933992998768306, uciqe=0.5252554074596327
155.jpg: uiqm=-0.5340454931005609, uciqe=0.4442341777188735
156.jpg: uiqm=0.6016609547810832, uciqe=0.5376716082644022
157.jpg: uiqm=0.14644091436999285, uciqe=0.5736356798199063
158.jpg: uiqm=0.1812263007542998, uciqe=0.5733357165769671
159.jpg: uiqm=0.2875890232712931, uciqe=0.5637385030906568
16.jpg: uiqm=0.6305126703159285, uciqe=0.5119031295167212
160.jpg: uiqm=0.053144012975748445, uciqe=0.541599828259677
161.jpg: uiqm=0.3887220475294222, uciqe=0.5633934706802517
162.jpg: uiqm=0.3939094718442059, uciqe=0.5695286994233374
163.jpg: uiqm=0.6154310042685045, uciqe=0.5071695231275298
164.jpg: uiqm=0.42020354126617854, uciqe=0.5625013410946982
165.jpg: uiqm=0.42586779249204376, uciqe=0.5639762245069204
166.jpg: uiqm=0.5098286685367114, uciqe=0.5470199495610055
167.jpg: uiqm=0.46581510657753056, uciqe=0.5667738712371857
168.jpg: uiqm=0.4232971204837449, uciqe=0.566413220195941
169.jpg: uiqm=0.4017216659349516, uciqe=0.5571537081068114
17.jpg: uiqm=0.4678553188103569, uciqe=0.5160824961092909
170.jpg: uiqm=0.38789879719968423, uciqe=0.5633236358841501
171.jpg: uiqm=0.3909603932842649, uciqe=0.5619831876150981
172.jpg: uiqm=0.7189905483578949, uciqe=0.5011734830542209
173.jpg: uiqm=0.39208480814864843, uciqe=0.5612048208078749
174.jpg: uiqm=0.4047063470403175, uciqe=0.5639671348822801
175.jpg: uiqm=0.41398869264659965, uciqe=0.5644516994757278
176.jpg: uiqm=0.7767093621008923, uciqe=0.5411085505040508
177.jpg: uiqm=0.4017318843941855, uciqe=0.5638563122985496
178.jpg: uiqm=0.40055770136284363, uciqe=0.5605340797131538
179.jpg: uiqm=0.6264878844544165, uciqe=0.5376534283500447
18.jpg: uiqm=0.5185029605664162, uciqe=0.56543701911001
180.jpg: uiqm=0.42185525524556977, uciqe=0.5525844570771533
181.jpg: uiqm=0.15667461762764257, uciqe=0.46316989362165445
182.jpg: uiqm=0.14752535971015912, uciqe=0.4560913952452257
183.jpg: uiqm=-0.2517822156220967, uciqe=0.4449685230187783
19.jpg: uiqm=0.4970875947558596, uciqe=0.5401751095896327
2.jpg: uiqm=0.7339947945968098, uciqe=0.528070438086514
20.jpg: uiqm=0.5367186031865091, uciqe=0.5235846500583289
21.jpg: uiqm=0.2450091725584258, uciqe=0.49787750129221586
22.jpg: uiqm=0.6158616532412484, uciqe=0.5337240402127148
23.jpg: uiqm=0.720034876588506, uciqe=0.5531910310446734
24.jpg: uiqm=0.7059784592780358, uciqe=0.5544693299161235
25.jpg: uiqm=0.6532295217035646, uciqe=0.517398341137547
26.jpg: uiqm=0.760192103221929, uciqe=0.545142251798239
27.jpg: uiqm=0.8474854744845072, uciqe=0.5105960410782736
28.jpg: uiqm=0.7845597250501325, uciqe=0.4923804895513122
29.jpg: uiqm=0.628201775092674, uciqe=0.5580986066311433
3.jpg: uiqm=-0.5198376417577801, uciqe=0.40600536697218137
30.jpg: uiqm=0.5575594681385381, uciqe=0.5600735835426479
31.jpg: uiqm=0.5247969777689254, uciqe=0.4991927673036195
32.jpg: uiqm=0.6440660282905564, uciqe=0.5640425547322736
33.jpg: uiqm=0.35693303566937373, uciqe=0.5251800892663672
34.jpg: uiqm=0.31376092809976464, uciqe=0.5194350172907084
35.jpg: uiqm=-0.045731072352938495, uciqe=0.49048101462646765
36.jpg: uiqm=0.15981136621958802, uciqe=0.5043776411488318
37.jpg: uiqm=0.2628706244657344, uciqe=0.5205886460616795
38.jpg: uiqm=0.42582398091124696, uciqe=0.559547758008692
39.jpg: uiqm=0.4769065286327666, uciqe=0.5376991860186818
4.jpg: uiqm=0.39127984849242115, uciqe=0.5204910132853786
40.jpg: uiqm=0.13675230149495754, uciqe=0.5143093883439347
41.jpg: uiqm=0.07509310998099417, uciqe=0.5098014825022366
42.jpg: uiqm=0.22399712926219384, uciqe=0.5324598132852474
43.jpg: uiqm=0.018629870217364508, uciqe=0.513867712440256
44.jpg: uiqm=0.11658444590665129, uciqe=0.5073529235549146
45.jpg: uiqm=0.19441998027672536, uciqe=0.504381867530217
46.jpg: uiqm=0.16288385055215537, uciqe=0.49552038265385984
47.jpg: uiqm=0.15977933165929936, uciqe=0.5048219990490375
48.jpg: uiqm=-0.004461684162719082, uciqe=0.5299610510358028
49.jpg: uiqm=0.3828826537574528, uciqe=0.5278420692087267
5.jpg: uiqm=0.2248898219128187, uciqe=0.49402036508145564
50.jpg: uiqm=0.4368206964871346, uciqe=0.5377761567318263
51.jpg: uiqm=0.4832296471077159, uciqe=0.4981510510698347
52.jpg: uiqm=0.3900612511628039, uciqe=0.5162519203442926
53.jpg: uiqm=0.5319154290057981, uciqe=0.5060865697047594
54.jpg: uiqm=0.13899678778192892, uciqe=0.4972012021457106
55.jpg: uiqm=0.37078331768228334, uciqe=0.5179626834100703
56.jpg: uiqm=0.18113770200031154, uciqe=0.5039017303060822
57.jpg: uiqm=0.2074544994945111, uciqe=0.5052966808700275
58.jpg: uiqm=0.46117203946399377, uciqe=0.5218155204276516
59.jpg: uiqm=0.3203571509057751, uciqe=0.5068305728389374
6.jpg: uiqm=0.18724534928878933, uciqe=0.502518484960644
60.jpg: uiqm=0.09886355240327849, uciqe=0.5277548685938318
61.jpg: uiqm=0.18297227365300872, uciqe=0.540840558126033
62.jpg: uiqm=0.2771766847583166, uciqe=0.544608350907857
63.jpg: uiqm=0.28273807102876747, uciqe=0.5423179784232248
64.jpg: uiqm=0.42405513322990285, uciqe=0.5540584045159335
65.jpg: uiqm=0.5735045312774034, uciqe=0.5432452739520831
66.jpg: uiqm=0.30982186630411623, uciqe=0.5192363963930862
67.jpg: uiqm=-0.2411749814791997, uciqe=0.45533929965819453
68.jpg: uiqm=0.06967361456049204, uciqe=0.512297992708069
69.jpg: uiqm=0.03978782176173601, uciqe=0.5032499829013292
7.jpg: uiqm=0.3333159029754089, uciqe=0.4956994961550011
70.jpg: uiqm=0.23783346488936352, uciqe=0.5313829841744161
71.jpg: uiqm=0.269270540432181, uciqe=0.5229489554925038
72.jpg: uiqm=0.27949811690759285, uciqe=0.5248513745122939
73.jpg: uiqm=0.33752627826970993, uciqe=0.5294919969802199
74.jpg: uiqm=0.34098208036151023, uciqe=0.5203794042542269
75.jpg: uiqm=0.2984612896888833, uciqe=0.5274043068041315
76.jpg: uiqm=0.2802880683775598, uciqe=0.527101486179163
77.jpg: uiqm=0.48159367187986746, uciqe=0.5461644708886124
78.jpg: uiqm=0.43897656886810255, uciqe=0.5388611123316175
79.jpg: uiqm=0.19527487401349497, uciqe=0.4929051697259314
8.jpg: uiqm=0.2860122668785917, uciqe=0.5046244923147319
80.jpg: uiqm=0.2989341025755131, uciqe=0.538473989362516
81.jpg: uiqm=0.21763598874011092, uciqe=0.5045792448033573
82.jpg: uiqm=0.3162965936171592, uciqe=0.5132763021899094
83.jpg: uiqm=0.457630622546665, uciqe=0.5619051613337769
84.jpg: uiqm=0.5855252855538252, uciqe=0.558011025230744
85.jpg: uiqm=0.4208268751918465, uciqe=0.549651479731845
86.jpg: uiqm=-0.07639560887806018, uciqe=0.47448866851898563
87.jpg: uiqm=0.38364335171329067, uciqe=0.520226484161161
88.jpg: uiqm=0.2902052201052683, uciqe=0.5312060737397484
89.jpg: uiqm=0.3020387746212688, uciqe=0.5197300867562705
9.jpg: uiqm=0.4899169445221382, uciqe=0.559035112785094
90.jpg: uiqm=0.8169458572347545, uciqe=0.5392312780720174
91.jpg: uiqm=0.9156584035343873, uciqe=0.5306284095278416
92.jpg: uiqm=0.8024572220996948, uciqe=0.5203875355640641
93.jpg: uiqm=0.9398162738197771, uciqe=0.5269403496935128
94.jpg: uiqm=0.8306169690974485, uciqe=0.4962477203073041
95.jpg: uiqm=0.7968096654205152, uciqe=0.5357110410792941
96.jpg: uiqm=0.8144196267612551, uciqe=0.5285986931665505
97.jpg: uiqm=0.8011947637629383, uciqe=0.525904427360295
98.jpg: uiqm=0.6314787826436906, uciqe=0.48665339144472375
99.jpg: uiqm=0.5101683651221556, uciqe=0.5281804081024541

Average: uiqm=0.4369000237926957, uciqe=0.5260148020141997

