1.jpg: NIQE=48.35587408095347  with dealing time: 115.31409215927124
10.jpg: NIQE=36.329653171808424  with dealing time: 93.55742573738098
100.jpg: NIQE=41.279028414127076  with dealing time: 88.83794355392456
101.jpg: NIQE=35.56254053191911  with dealing time: 88.54870891571045
102.jpg: NIQE=39.70620396827837  with dealing time: 93.58866858482361
103.jpg: NIQE=45.77937967514726  with dealing time: 95.05639600753784
104.jpg: NIQE=42.4958469036142  with dealing time: 90.61191296577454
105.jpg: NIQE=44.01961938882614  with dealing time: 92.55244445800781
106.jpg: NIQE=45.32768052798615  with dealing time: 92.52485775947571
107.jpg: NIQE=37.05042887354039  with dealing time: 88.33417344093323
108.jpg: NIQE=44.6007850464082  with dealing time: 89.69623064994812
109.jpg: NIQE=46.12594362755577  with dealing time: 89.06910729408264
11.jpg: NIQE=35.204152809330296  with dealing time: 88.08792066574097
110.jpg: NIQE=56.662301550703056  with dealing time: 89.68672680854797
111.jpg: NIQE=51.78138001868439  with dealing time: 89.06251120567322
112.jpg: NIQE=42.47668268031705  with dealing time: 88.64930963516235
113.jpg: NIQE=44.255483430137055  with dealing time: 91.691153049469
114.jpg: NIQE=49.853411324182986  with dealing time: 87.71142554283142
115.jpg: NIQE=51.89807789176734  with dealing time: 88.78704857826233
116.jpg: NIQE=38.927572668762316  with dealing time: 86.91910219192505
117.jpg: NIQE=40.678667144238105  with dealing time: 90.54000973701477
118.jpg: NIQE=42.719717203398694  with dealing time: 87.15013241767883
119.jpg: NIQE=46.34670005674699  with dealing time: 88.30986094474792
12.jpg: NIQE=36.42025481093286  with dealing time: 88.76111030578613
120.jpg: NIQE=40.856010956944154  with dealing time: 86.55073714256287
121.jpg: NIQE=45.536595606738686  with dealing time: 87.17260646820068
122.jpg: NIQE=46.514981914807485  with dealing time: 88.3323061466217
123.jpg: NIQE=41.13384302578903  with dealing time: 88.74512982368469
124.jpg: NIQE=45.91734914283638  with dealing time: 87.45495295524597
125.jpg: NIQE=46.27723133603447  with dealing time: 87.36237597465515
126.jpg: NIQE=43.859735653393045  with dealing time: 91.61193609237671
127.jpg: NIQE=39.71795865574987  with dealing time: 87.71152591705322
128.jpg: NIQE=44.415370321310874  with dealing time: 87.77724528312683
129.jpg: NIQE=43.10455259937473  with dealing time: 88.77044105529785
13.jpg: NIQE=38.671657850787476  with dealing time: 94.9320125579834
130.jpg: NIQE=42.60787331233872  with dealing time: 88.54342007637024
131.jpg: NIQE=45.786933951038584  with dealing time: 87.05749201774597
132.jpg: NIQE=46.004495915992  with dealing time: 86.8813865184784
133.jpg: NIQE=40.09056156447132  with dealing time: 91.73451113700867
134.jpg: NIQE=41.41344084044558  with dealing time: 86.42996573448181
135.jpg: NIQE=47.5863225604926  with dealing time: 91.41419649124146
136.jpg: NIQE=42.44748640359442  with dealing time: 88.01078200340271
137.jpg: NIQE=43.93386467362888  with dealing time: 88.05570077896118
138.jpg: NIQE=55.75283378543925  with dealing time: 90.32690858840942
139.jpg: NIQE=40.165309921852995  with dealing time: 94.36899328231812
14.jpg: NIQE=38.32032974362341  with dealing time: 83.8226866722107
140.jpg: NIQE=52.63537316679396  with dealing time: 79.89889025688171
141.jpg: NIQE=41.20637639312429  with dealing time: 84.86816811561584
142.jpg: NIQE=52.130452922144954  with dealing time: 94.47168827056885
143.jpg: NIQE=58.76882552690002  with dealing time: 85.09952521324158
144.jpg: NIQE=54.850498904860046  with dealing time: 88.19472742080688
145.jpg: NIQE=53.56712250926574  with dealing time: 80.6629478931427
146.jpg: NIQE=39.854927238144555  with dealing time: 79.38472366333008
147.jpg: NIQE=40.14492768166304  with dealing time: 79.09608244895935
148.jpg: NIQE=43.35780264866922  with dealing time: 80.51157259941101
149.jpg: NIQE=41.69918875455117  with dealing time: 81.10123896598816
15.jpg: NIQE=38.93476915798481  with dealing time: 76.96897530555725
150.jpg: NIQE=45.49205301594679  with dealing time: 75.29458165168762
151.jpg: NIQE=48.20970315714559  with dealing time: 72.40035009384155
152.jpg: NIQE=49.576050060523556  with dealing time: 72.09182977676392
153.jpg: NIQE=43.87602517064057  with dealing time: 66.42499804496765
154.jpg: NIQE=45.248026308587626  with dealing time: 65.69630217552185
155.jpg: NIQE=56.93463012778991  with dealing time: 69.67305755615234
156.jpg: NIQE=40.45608478489546  with dealing time: 67.89583253860474
157.jpg: NIQE=48.70000149556553  with dealing time: 69.18291449546814
158.jpg: NIQE=47.3843901580886  with dealing time: 69.53204822540283
159.jpg: NIQE=51.200695693448324  with dealing time: 70.77575540542603
16.jpg: NIQE=40.93816352480486  with dealing time: 67.39209938049316
160.jpg: NIQE=42.937270451136236  with dealing time: 70.72546553611755
161.jpg: NIQE=35.96507107032727  with dealing time: 68.94422698020935
162.jpg: NIQE=36.40902531028545  with dealing time: 69.31853723526001
163.jpg: NIQE=43.42818870407125  with dealing time: 68.69229173660278
164.jpg: NIQE=36.11703046863936  with dealing time: 69.35465264320374
165.jpg: NIQE=35.34776481765587  with dealing time: 69.40999174118042
166.jpg: NIQE=37.07026032232656  with dealing time: 70.41719961166382
167.jpg: NIQE=35.737899023204044  with dealing time: 70.5162570476532
168.jpg: NIQE=35.16480077473456  with dealing time: 69.28870344161987
169.jpg: NIQE=36.78304991454007  with dealing time: 69.34363436698914
17.jpg: NIQE=42.64305155877607  with dealing time: 65.40289330482483
170.jpg: NIQE=36.53758110799653  with dealing time: 69.1762900352478
171.jpg: NIQE=35.98230828572233  with dealing time: 69.75373482704163
172.jpg: NIQE=39.33182689879372  with dealing time: 67.49375128746033
173.jpg: NIQE=36.76231464518328  with dealing time: 69.29617261886597
174.jpg: NIQE=36.02835797192103  with dealing time: 67.75539922714233
175.jpg: NIQE=36.79334366968472  with dealing time: 69.27177119255066
176.jpg: NIQE=46.08450383070853  with dealing time: 65.79985308647156
177.jpg: NIQE=34.03748755379058  with dealing time: 68.89505958557129
178.jpg: NIQE=37.414032108058905  with dealing time: 68.35038900375366
179.jpg: NIQE=44.81635376672984  with dealing time: 65.02498698234558
18.jpg: NIQE=44.501913409342144  with dealing time: 66.92882061004639
180.jpg: NIQE=38.85091561617155  with dealing time: 68.59726405143738
181.jpg: NIQE=39.18696935737999  with dealing time: 67.35963797569275
182.jpg: NIQE=39.70335079689955  with dealing time: 66.58821821212769
183.jpg: NIQE=42.390986466244335  with dealing time: 71.00942063331604
19.jpg: NIQE=43.92484432189443  with dealing time: 66.18551588058472
2.jpg: NIQE=41.636103656508325  with dealing time: 65.3624496459961
20.jpg: NIQE=46.89338575534559  with dealing time: 65.39303135871887
21.jpg: NIQE=40.8120514290507  with dealing time: 67.1445779800415
22.jpg: NIQE=44.899724713623584  with dealing time: 65.72925329208374
23.jpg: NIQE=46.47758094131517  with dealing time: 66.81436657905579
24.jpg: NIQE=44.90374627178345  with dealing time: 66.37207269668579
25.jpg: NIQE=43.20651236969734  with dealing time: 66.27825689315796
26.jpg: NIQE=46.10602340755873  with dealing time: 69.39397358894348
27.jpg: NIQE=46.4104833849271  with dealing time: 66.18316626548767
28.jpg: NIQE=37.813464900589445  with dealing time: 69.39268827438354
29.jpg: NIQE=57.25872191800273  with dealing time: 65.77404713630676
3.jpg: NIQE=48.76762027448354  with dealing time: 69.72985792160034
30.jpg: NIQE=61.909356862215795  with dealing time: 69.1393609046936
31.jpg: NIQE=48.560691697324536  with dealing time: 63.871196031570435
32.jpg: NIQE=61.349601237254014  with dealing time: 63.95997405052185
33.jpg: NIQE=37.27421901843842  with dealing time: 58.40908861160278
34.jpg: NIQE=38.75019083466271  with dealing time: 57.758464097976685
35.jpg: NIQE=39.85145294460176  with dealing time: 56.47464680671692
36.jpg: NIQE=39.68473410377487  with dealing time: 56.306535959243774
37.jpg: NIQE=38.91979848284601  with dealing time: 55.862099170684814
38.jpg: NIQE=39.5840441083995  with dealing time: 56.04497456550598
39.jpg: NIQE=44.85454020373068  with dealing time: 58.48941707611084
4.jpg: NIQE=40.03359078337386  with dealing time: 60.16761016845703
40.jpg: NIQE=44.9437428123718  with dealing time: 55.53022241592407
41.jpg: NIQE=43.96005885409531  with dealing time: 55.41798138618469
42.jpg: NIQE=46.294828227814726  with dealing time: 56.60667014122009
43.jpg: NIQE=46.00105680094108  with dealing time: 56.97198557853699
44.jpg: NIQE=42.54808762397047  with dealing time: 56.61762571334839
45.jpg: NIQE=44.662581309119744  with dealing time: 55.848453998565674
46.jpg: NIQE=44.68888076399566  with dealing time: 55.93391275405884
47.jpg: NIQE=42.69626479342739  with dealing time: 57.14809989929199
48.jpg: NIQE=46.6721959183395  with dealing time: 59.749139070510864
49.jpg: NIQE=46.81890397049512  with dealing time: 60.67518615722656
5.jpg: NIQE=40.35346290792081  with dealing time: 58.75158166885376
50.jpg: NIQE=44.078587761990455  with dealing time: 57.92843699455261
51.jpg: NIQE=46.85586074552367  with dealing time: 55.30125713348389
52.jpg: NIQE=46.30361423730571  with dealing time: 56.93679332733154
53.jpg: NIQE=44.63833593375517  with dealing time: 57.05279040336609
54.jpg: NIQE=47.30050831586831  with dealing time: 58.205339431762695
55.jpg: NIQE=45.58707723767256  with dealing time: 56.99411153793335
56.jpg: NIQE=45.55592338940758  with dealing time: 57.133198738098145
57.jpg: NIQE=45.31725038975573  with dealing time: 55.635387897491455
58.jpg: NIQE=45.88454611757514  with dealing time: 55.23650598526001
59.jpg: NIQE=46.02116053122899  with dealing time: 56.9540114402771
6.jpg: NIQE=41.94919316389458  with dealing time: 59.7088680267334
60.jpg: NIQE=44.409831538375464  with dealing time: 58.06732249259949
61.jpg: NIQE=42.3607392305694  with dealing time: 56.26093363761902
62.jpg: NIQE=48.05717158993918  with dealing time: 60.16253423690796
63.jpg: NIQE=47.02696724472631  with dealing time: 58.581441164016724
64.jpg: NIQE=43.06230267616872  with dealing time: 56.136921405792236
65.jpg: NIQE=44.54608202908362  with dealing time: 53.712605237960815
66.jpg: NIQE=41.85776383540627  with dealing time: 52.97784447669983
67.jpg: NIQE=42.36407085625097  with dealing time: 46.03687763214111
68.jpg: NIQE=42.226158289180276  with dealing time: 46.19114065170288
69.jpg: NIQE=40.428526993108456  with dealing time: 45.954676151275635
7.jpg: NIQE=39.963741421871454  with dealing time: 47.634910345077515
70.jpg: NIQE=42.409511068710444  with dealing time: 46.140864849090576
71.jpg: NIQE=41.25960616326002  with dealing time: 50.02345657348633
72.jpg: NIQE=47.54853074039737  with dealing time: 50.868590354919434
73.jpg: NIQE=40.84609161668718  with dealing time: 45.45654630661011
74.jpg: NIQE=40.247668071108734  with dealing time: 45.09304141998291
75.jpg: NIQE=38.11871883694237  with dealing time: 44.88261604309082
76.jpg: NIQE=41.026171287233666  with dealing time: 48.81079316139221
77.jpg: NIQE=39.47323024117523  with dealing time: 62.30961608886719
78.jpg: NIQE=39.55049483991344  with dealing time: 48.10138130187988
79.jpg: NIQE=38.42216242935298  with dealing time: 47.07257604598999
8.jpg: NIQE=36.438295884119334  with dealing time: 47.69936227798462
80.jpg: NIQE=41.14347265491914  with dealing time: 48.34366536140442
81.jpg: NIQE=36.85051031552613  with dealing time: 49.48198127746582
82.jpg: NIQE=40.53900869047068  with dealing time: 48.36868906021118
83.jpg: NIQE=42.54248831365544  with dealing time: 47.64155149459839
84.jpg: NIQE=41.110324731366994  with dealing time: 47.000478744506836
85.jpg: NIQE=39.406992058578616  with dealing time: 46.668370485305786
86.jpg: NIQE=38.26801852361843  with dealing time: 46.77836346626282
87.jpg: NIQE=44.51516373316301  with dealing time: 45.48615097999573
88.jpg: NIQE=38.763012080773905  with dealing time: 47.299572706222534
89.jpg: NIQE=40.318050253139994  with dealing time: 46.19086694717407
9.jpg: NIQE=37.107545443403616  with dealing time: 47.65016460418701
90.jpg: NIQE=37.08935306947535  with dealing time: 48.363951444625854
91.jpg: NIQE=36.58296839001577  with dealing time: 47.76264548301697
92.jpg: NIQE=40.34691641120984  with dealing time: 46.840874433517456
93.jpg: NIQE=40.627428576397  with dealing time: 47.65561604499817
94.jpg: NIQE=37.5069405891959  with dealing time: 47.82344031333923
95.jpg: NIQE=41.18898874776882  with dealing time: 48.38585186004639
96.jpg: NIQE=46.98363296273843  with dealing time: 47.81570291519165
97.jpg: NIQE=51.413351920867036  with dealing time: 48.07664203643799
98.jpg: NIQE=40.576597638833455  with dealing time: 48.04044032096863
99.jpg: NIQE=44.541189298006636  with dealing time: 48.17069053649902

183 Image Average: NIQE=43.13248234181689, TimePerImage=68.28439598265892, SumTime = 12496.044464826584s

