100001.png: uiqm=0.24761781070088706, uciqe=0.5321892825076189
10091.png: uiqm=0.48223578871676687, uciqe=0.5628647345133946
10103.png: uiqm=1.005583431063951, uciqe=0.5797872267650224
10167.png: uiqm=0.19501814744019152, uciqe=0.5398159787902761
102.png: uiqm=0.331989065762153, uciqe=0.5449817698508854
10226.png: uiqm=0.5360487878447077, uciqe=0.6055211450398876
10475.png: uiqm=0.3930816997939415, uciqe=0.5355990117008547
10488.png: uiqm=0.36068730192151977, uciqe=0.48700117271628
12191.png: uiqm=0.6592200689876127, uciqe=0.43233912382467143
12203.png: uiqm=0.5356481252816645, uciqe=0.502457866716208
12228.png: uiqm=-0.15703782649702153, uciqe=0.3549420137882383
12565.png: uiqm=0.5214615606278572, uciqe=0.4148275641427418
12577.png: uiqm=0.5868082822216476, uciqe=0.4223274779106676
12625.png: uiqm=-0.07125441047079129, uciqe=0.4577395066947558
12709.png: uiqm=-0.03192317136510048, uciqe=0.47561750059568
12753.png: uiqm=-0.09081683083027026, uciqe=0.46218425071987596
12960.png: uiqm=0.18379577762635263, uciqe=0.5250826986021563
12972.png: uiqm=0.21408875195833277, uciqe=0.6109600800803074
13252.png: uiqm=0.1579402666239495, uciqe=0.5650503905640004
13259.png: uiqm=0.7923985466422806, uciqe=0.5070754458931839
15603.png: uiqm=-0.12585433770365761, uciqe=0.45267098626308866
15735.png: uiqm=0.09470413592184712, uciqe=0.4615706474345914
15738.png: uiqm=0.1452676503537088, uciqe=0.49608968099455786
15740.png: uiqm=0.2717179815339187, uciqe=0.49365248439792814
15774.png: uiqm=0.803087729882008, uciqe=0.5790408117093155
15775.png: uiqm=-0.025621730405445575, uciqe=0.4606597721187944
2.png: uiqm=0.8941842439532711, uciqe=0.5760222908153767
2575.png: uiqm=0.6249063607391592, uciqe=0.6046296615826435
2583.png: uiqm=0.4542371230847171, uciqe=0.647077123598058
2856.png: uiqm=0.5378413247185216, uciqe=0.5541867728413983
3027.png: uiqm=0.7462709264158555, uciqe=0.5858033970249867
3051.png: uiqm=0.5354050420647856, uciqe=0.5426162376557877
3087.png: uiqm=0.8314390111852379, uciqe=0.5681704454648291
3175.png: uiqm=-0.14263049037666595, uciqe=0.4198835472003732
3201.png: uiqm=0.5938403858634536, uciqe=0.5695337168929671
3279.png: uiqm=0.4261515900476819, uciqe=0.4799623237786922
34.png: uiqm=0.4528293615662366, uciqe=0.6494926294113974
3494.png: uiqm=0.3604470740305154, uciqe=0.5533019815960708
3519.png: uiqm=0.3447127880635733, uciqe=0.5393290813610115
358_img_.png: uiqm=0.7113739453859164, uciqe=0.613380320638526
432.png: uiqm=0.017496976517716534, uciqe=0.4593744597618745
5.png: uiqm=0.14580171663182317, uciqe=0.5776011437464835
52.png: uiqm=0.556302119691793, uciqe=0.6296722480971129
579.png: uiqm=0.2789349356498388, uciqe=0.5488246105584544
605.png: uiqm=0.5682085869753055, uciqe=0.6272806322764223
616.png: uiqm=0.6033405694304415, uciqe=0.5499773988788941
627.png: uiqm=0.6341175708032267, uciqe=0.5688286759234752
6333.png: uiqm=0.4593035315939745, uciqe=0.5623453418789176
6340.png: uiqm=0.35002007567187765, uciqe=0.5725359889403223
643_img_.png: uiqm=0.7607724637528384, uciqe=0.6097425755782585
6527.png: uiqm=0.5734816398619799, uciqe=0.5245869074797063
7277.png: uiqm=0.6781900009887326, uciqe=0.5276546031251323
7291.png: uiqm=0.5941848085230006, uciqe=0.5861113619684336
770.png: uiqm=0.846709690125168, uciqe=0.567501037218375
866.png: uiqm=0.8055506635591698, uciqe=0.5464069238071267
880.png: uiqm=0.7550778239736564, uciqe=0.5946693919417764
9553.png: uiqm=0.7525816969257075, uciqe=0.6225166652292597
9602.png: uiqm=0.60586337307895, uciqe=0.5756238338756923
9607.png: uiqm=0.6250599805339068, uciqe=0.5358403919149896
9618.png: uiqm=0.5949503330475839, uciqe=0.6069491339173241

Average: uiqm=0.4432141641285328, uciqe=0.5393246913385855

