1.jpg: NIQE=46.028441171311954  with dealing time: 122.34501457214355
10.jpg: NIQE=33.93135211976874  with dealing time: 115.85337924957275
100.jpg: NIQE=41.43854268736131  with dealing time: 101.87221693992615
101.jpg: NIQE=34.46185888711934  with dealing time: 98.6973352432251
102.jpg: NIQE=38.699386287276155  with dealing time: 90.98572850227356
103.jpg: NIQE=42.725577224815844  with dealing time: 90.69509625434875
104.jpg: NIQE=40.09686268217685  with dealing time: 89.0932834148407
105.jpg: NIQE=43.667275120210114  with dealing time: 93.23559617996216
106.jpg: NIQE=42.4005304285748  with dealing time: 91.83556270599365
107.jpg: NIQE=35.64565182657031  with dealing time: 90.68777680397034
108.jpg: NIQE=43.18363120047436  with dealing time: 85.6751561164856
109.jpg: NIQE=43.89070787925271  with dealing time: 87.26963639259338
11.jpg: NIQE=32.994617828245204  with dealing time: 86.84395742416382
110.jpg: NIQE=53.7810461243115  with dealing time: 86.77850365638733
111.jpg: NIQE=49.67630746019146  with dealing time: 92.64051270484924
112.jpg: NIQE=40.45362836147952  with dealing time: 86.80497455596924
113.jpg: NIQE=43.592367791061584  with dealing time: 86.40942311286926
114.jpg: NIQE=47.93273043971669  with dealing time: 88.638010263443
115.jpg: NIQE=48.418572237741905  with dealing time: 86.82998323440552
116.jpg: NIQE=38.2101253097559  with dealing time: 89.52831220626831
117.jpg: NIQE=38.44102852169505  with dealing time: 88.24415111541748
118.jpg: NIQE=39.757913685221176  with dealing time: 88.0408067703247
119.jpg: NIQE=43.9733873229727  with dealing time: 87.39748740196228
12.jpg: NIQE=33.81925326736257  with dealing time: 87.13924217224121
120.jpg: NIQE=39.11086458390543  with dealing time: 85.28208112716675
121.jpg: NIQE=43.399214958386274  with dealing time: 88.12160515785217
122.jpg: NIQE=43.61593521923666  with dealing time: 89.60308003425598
123.jpg: NIQE=39.31791896409283  with dealing time: 89.1723222732544
124.jpg: NIQE=44.44900892096878  with dealing time: 87.41859197616577
125.jpg: NIQE=43.985993907892066  with dealing time: 93.94831657409668
