104_img_: PSNR=19.100777137287178 SSIM=0.8315071442478748 UIQM=0.8929312965604642 UCIQE=0.5643585717877105
10_img_: PSNR=13.153691300654078 SSIM=0.10626427112776533 UIQM=0.7110302682568267 UCIQE=0.6187402071997029
111_img_: PSNR=13.886765560077425 SSIM=0.6252289553224993 UIQM=0.4568165038163845 UCIQE=0.5958822091515078
112_img_: PSNR=16.304722756767262 SSIM=0.34992531749711536 UIQM=1.1153596738104354 UCIQE=0.5234596924253652
11_img_: PSNR=12.959376477958273 SSIM=0.44305615565746115 UIQM=1.3070986176630583 UCIQE=0.6227586473923231
13_img_: PSNR=13.706471333711562 SSIM=0.583792016488185 UIQM=1.1532857626630153 UCIQE=0.5794302417032893
14_img_: PSNR=19.35617032297546 SSIM=0.741882963338744 UIQM=1.1533681529497959 UCIQE=0.6374006463538874
15003: PSNR=21.570985099563575 SSIM=0.8538676732822562 UIQM=0.26441342092879244 UCIQE=0.44315918961900186
150_img_: PSNR=19.558749167994776 SSIM=0.7692660014027937 UIQM=1.0609862092550095 UCIQE=0.5917181833332781
15544: PSNR=16.802169601423685 SSIM=0.5324454351028952 UIQM=0.6676061434842503 UCIQE=0.5081247845119718
15_img_: PSNR=14.598262910815178 SSIM=0.4282349826880412 UIQM=1.4346646806267662 UCIQE=0.6082452417445612
169_img_: PSNR=13.877159337604589 SSIM=0.3543110570759507 UIQM=1.8204450445181624 UCIQE=0.5689701661815889
16_img_: PSNR=18.35258573723427 SSIM=0.6317644796427868 UIQM=1.1985465259621297 UCIQE=0.5998360303184269
17_img_: PSNR=13.644048438632447 SSIM=0.41369534925881385 UIQM=1.4933266420741131 UCIQE=0.6358307148143624
18_img_: PSNR=13.137827042601957 SSIM=0.18641841134369433 UIQM=0.944655658469582 UCIQE=0.520337775364191
19_img_: PSNR=15.538097718879047 SSIM=0.43311583546845045 UIQM=1.4517624686830535 UCIQE=0.5822742436097367
20: PSNR=13.746327469667213 SSIM=0.3993082505272928 UIQM=1.5878726895321524 UCIQE=0.6009620381961132
22_img_: PSNR=20.481714456221084 SSIM=0.7917706263566548 UIQM=1.0296356831436742 UCIQE=0.6329541643866063
23_img_: PSNR=20.94248223569724 SSIM=0.7106847259247608 UIQM=1.143577512371409 UCIQE=0.6409477870814586
24_img_: PSNR=19.99894195758135 SSIM=0.7136135671900457 UIQM=0.8517080437908462 UCIQE=0.6180372811358997
282_img_: PSNR=15.901640834303194 SSIM=0.4960703400266675 UIQM=1.1225821978246242 UCIQE=0.6122486170920294
284_img_: PSNR=13.806807468926278 SSIM=0.5988432352016471 UIQM=1.0547589662411998 UCIQE=0.6487742955769398
288_img_: PSNR=18.50637561244332 SSIM=0.5794627264738668 UIQM=0.8769502547667478 UCIQE=0.5771469282700804
290_img_: PSNR=15.15274662746717 SSIM=0.6146249482287506 UIQM=0.8851470909492364 UCIQE=0.5738089274608311
292_img_: PSNR=20.901448983582647 SSIM=0.7740978229387504 UIQM=0.8768285652237049 UCIQE=0.6483076302458678
293_img_: PSNR=12.984660382590587 SSIM=0.3118327903058087 UIQM=0.6616500505696444 UCIQE=0.5533585689977073
294_img_: PSNR=14.115334179470429 SSIM=0.1430779969520655 UIQM=0.520596309403484 UCIQE=0.4738418275635633
295_img_: PSNR=14.30341260348915 SSIM=0.5613218347313705 UIQM=1.0519614185332622 UCIQE=0.6578952983016464
299_img_: PSNR=12.275793656079795 SSIM=0.5055626012245009 UIQM=0.6945994168540753 UCIQE=0.5835095869614364
2_img_: PSNR=15.25327565741376 SSIM=0.6080734614613423 UIQM=1.245881090359572 UCIQE=0.6520827357088259
300_img_: PSNR=13.72957643462042 SSIM=0.4243733688039447 UIQM=0.6946061027785522 UCIQE=0.6051638644433832
301_img_: PSNR=18.00580730705702 SSIM=0.6408410552364214 UIQM=0.7169244676318601 UCIQE=0.6155884029930516
302_img_: PSNR=17.97367642345272 SSIM=0.7344372828001732 UIQM=0.7559652491406669 UCIQE=0.5661212378361917
303_img_: PSNR=15.468859088453451 SSIM=0.6342668956423034 UIQM=0.9642267712284351 UCIQE=0.6317439696987537
304_img_: PSNR=13.957117325935759 SSIM=0.3452357998683304 UIQM=0.7336068593334887 UCIQE=0.49760555299764453
305_img_: PSNR=14.192711515299878 SSIM=0.6421024945209732 UIQM=0.8272185952679771 UCIQE=0.5834798076320483
306_img_: PSNR=17.60591615537359 SSIM=0.3940811360269823 UIQM=0.5620748143412261 UCIQE=0.5512692609240113
307_img_: PSNR=16.262308876577872 SSIM=0.3866092003546129 UIQM=0.8466139929843559 UCIQE=0.5857072427748399
30_img_: PSNR=13.59380167329241 SSIM=0.5570621504952225 UIQM=1.4180200027700547 UCIQE=0.630105591424435
311_img_: PSNR=13.465848195181437 SSIM=0.3657760542096055 UIQM=0.9144223480633729 UCIQE=0.5706371596794265
312_img_: PSNR=12.95978016795723 SSIM=0.5087793891942873 UIQM=1.02315418378194 UCIQE=0.6627739446044216
313_img_: PSNR=16.37354551186825 SSIM=0.5487865929342663 UIQM=0.9774749776909963 UCIQE=0.592024962912173
314_img_: PSNR=15.856839050325517 SSIM=0.6334572187963671 UIQM=0.8335856669459403 UCIQE=0.596222925760703
315_img_: PSNR=13.496425033623336 SSIM=0.3941748965088091 UIQM=1.0853373183294974 UCIQE=0.5827906677464307
316_img_: PSNR=14.590101032454179 SSIM=0.5369415024141952 UIQM=1.0209925424998787 UCIQE=0.6411571878011033
317_img_: PSNR=13.194638211301989 SSIM=0.5882728740290176 UIQM=1.0137242576230492 UCIQE=0.6495467095558709
318_img_: PSNR=14.494577563699169 SSIM=0.575715688697322 UIQM=0.8191771749329319 UCIQE=0.6173946893839175
319_img_: PSNR=19.686637299882882 SSIM=0.7968250494990124 UIQM=0.8282258896152923 UCIQE=0.5951356856748242
320_img_: PSNR=12.400937130370904 SSIM=0.563742959491217 UIQM=1.1638647432281508 UCIQE=0.6319343044972959
322_img_: PSNR=16.277301530085257 SSIM=0.5171542861316197 UIQM=1.0824220988975868 UCIQE=0.5995783559935554
323_img_: PSNR=15.189914311257306 SSIM=0.6305044721406028 UIQM=0.6062458993277471 UCIQE=0.5786511075427476
324_img_: PSNR=15.927500209448933 SSIM=0.6276679406443553 UIQM=0.8882648618532277 UCIQE=0.592038664008197
325_img_: PSNR=14.32181117425166 SSIM=0.5869824144039396 UIQM=0.8707600619469358 UCIQE=0.6178880270572625
326_img_: PSNR=15.359817795168333 SSIM=0.6621402388580283 UIQM=0.9808464581248604 UCIQE=0.6360848071558423
327_img_: PSNR=18.6445753832318 SSIM=0.7377403928465599 UIQM=0.4735145290923556 UCIQE=0.6272138842119476
330_img_: PSNR=21.067642341339514 SSIM=0.7663988097747605 UIQM=0.1411568925458887 UCIQE=0.5924491479302403
332_img_: PSNR=14.648778587459228 SSIM=0.5815175459363309 UIQM=0.39421281243689155 UCIQE=0.5430490547490763
334_img_: PSNR=13.610161825183521 SSIM=0.4580359740326935 UIQM=1.3658168589780855 UCIQE=0.6674256041733813
336_img_: PSNR=17.077283626171884 SSIM=0.564438038829238 UIQM=1.0788418414300658 UCIQE=0.6644372942703136
337_img_: PSNR=13.74386758616044 SSIM=0.41952261576352645 UIQM=0.530056873865983 UCIQE=0.583601926445918
338_img_: PSNR=15.457809276454064 SSIM=0.5990809862882911 UIQM=0.3176728338839486 UCIQE=0.5829091603012845
340_img_: PSNR=18.706072381483946 SSIM=0.6926578686187252 UIQM=0.7682922726033966 UCIQE=0.6286632163118065
341_img_: PSNR=15.9771537545905 SSIM=0.6825856443043676 UIQM=0.49835982284161684 UCIQE=0.6196161139349734
342_img_: PSNR=15.4802264224751 SSIM=0.4361633806721159 UIQM=0.8583745021925904 UCIQE=0.5146288417590448
343_img_: PSNR=14.592706710341954 SSIM=0.5861107489031578 UIQM=0.9831503510012671 UCIQE=0.5980889797121962
346_img_: PSNR=12.479419519287301 SSIM=0.440088830557141 UIQM=1.1013709843183963 UCIQE=0.5952539816029274
347_img_: PSNR=15.110756122542215 SSIM=0.4645264740132131 UIQM=0.9393467270546602 UCIQE=0.6036044942765066
348_img_: PSNR=17.758041037825507 SSIM=0.6978156093613515 UIQM=0.7446201712925616 UCIQE=0.5996577117866435
350_img_: PSNR=15.85512471183443 SSIM=0.49766848415517356 UIQM=1.052778129111583 UCIQE=0.6375066717493134
351_img_: PSNR=17.40754087318675 SSIM=0.6207080953961289 UIQM=0.956659434715801 UCIQE=0.5735759635186066
353_img_: PSNR=11.353292415280158 SSIM=0.25343860657339706 UIQM=1.1413136002858115 UCIQE=0.5691883409075488
355_img_: PSNR=13.935680805117812 SSIM=0.57645699193027 UIQM=0.4597153286507264 UCIQE=0.5340478745506263
356_img_: PSNR=19.527616959938076 SSIM=0.7331971235318495 UIQM=0.8701354127944753 UCIQE=0.6438661247056956
359_img_: PSNR=14.629266731084838 SSIM=0.6273879917597186 UIQM=0.7181486923978546 UCIQE=0.6318828201669725
360_img_: PSNR=20.060773196392244 SSIM=0.7580193136397131 UIQM=0.3422735021220493 UCIQE=0.5853917018962347
361_img_: PSNR=18.8046338595747 SSIM=0.6045549580365497 UIQM=0.43956451862779045 UCIQE=0.6267247447829959
362_img_: PSNR=15.394937159477058 SSIM=0.6841018899532864 UIQM=0.40640760932347064 UCIQE=0.5525878207083157
363_img_: PSNR=22.6880045087983 SSIM=0.8270751953828872 UIQM=0.15884253187244302 UCIQE=0.5530011653961465
364_img_: PSNR=20.09174356946012 SSIM=0.8559841547413138 UIQM=0.20378165092255196 UCIQE=0.6432608395562285
366_img_: PSNR=14.463946899851619 SSIM=0.4968035791096975 UIQM=0.7883064982096168 UCIQE=0.6340632018754607
367_img_: PSNR=17.94257257987796 SSIM=0.5776340309754255 UIQM=0.8982213916812852 UCIQE=0.6276777758149122
3_img_: PSNR=14.8755058149116 SSIM=0.5646676974630822 UIQM=1.234650139435161 UCIQE=0.6197769405846122
4: PSNR=16.37919599533004 SSIM=0.5837759505118723 UIQM=0.8911522430878647 UCIQE=0.6634210393061342
406_img_: PSNR=16.779688913390984 SSIM=0.8201101780075 UIQM=0.7778705484172165 UCIQE=0.5887107623492761
419_img_: PSNR=17.96808281791789 SSIM=0.8194059083663157 UIQM=0.6002564306005463 UCIQE=0.5653906933590217
41_img_: PSNR=12.782121738021344 SSIM=0.25117692312313505 UIQM=1.353119898602683 UCIQE=0.582347633146048
421_img_: PSNR=21.314466040764177 SSIM=0.6980863087157746 UIQM=0.5955271492350088 UCIQE=0.651767232788797
460_img_: PSNR=13.443809055751874 SSIM=0.46664596418286486 UIQM=0.8850437560146369 UCIQE=0.6304614582658437
466_img_: PSNR=14.815759902167638 SSIM=0.6364112507299738 UIQM=0.9390974074265679 UCIQE=0.6327774771429558
471_img_: PSNR=12.745972737669963 SSIM=0.02503954300292935 UIQM=0.40049388622253357 UCIQE=0.4774711079569985
472_img_: PSNR=13.699376105875299 SSIM=0.12503338781731924 UIQM=0.5717677428513572 UCIQE=0.4650873194749707
476_img_: PSNR=14.588192071497998 SSIM=0.40477296341848534 UIQM=0.8041791618749857 UCIQE=0.5742686615678637
48_img_: PSNR=18.41712391855158 SSIM=0.7373538876104263 UIQM=0.9407182793929877 UCIQE=0.5910991005495934
495_img_: PSNR=18.018031329264126 SSIM=0.6889045174544375 UIQM=0.587200067612804 UCIQE=0.5592509832688874
4_img_: PSNR=21.50550809520695 SSIM=0.6732912332582615 UIQM=1.3000606755036692 UCIQE=0.5789075889118437
550_img_: PSNR=16.06562718376132 SSIM=0.5548393023055362 UIQM=1.0369503452392663 UCIQE=0.5482841731792494
557: PSNR=13.291158161960126 SSIM=0.4555599995141607 UIQM=0.9149953296876658 UCIQE=0.5478614606252803
55_img_: PSNR=19.28816842083283 SSIM=0.6572335138899955 UIQM=1.3619585728819457 UCIQE=0.570919394813159
61_img_: PSNR=20.510993090516664 SSIM=0.7975149361902271 UIQM=0.9952677579037067 UCIQE=0.6407189255994364
629_img_: PSNR=14.975957292167658 SSIM=0.3036467119221277 UIQM=1.2389356302404064 UCIQE=0.5386712213618523
70_img_: PSNR=15.534611403360847 SSIM=0.5186396506584495 UIQM=1.1730485156361923 UCIQE=0.5493166639074156
747_img_: PSNR=14.92331096161312 SSIM=0.30095189894047264 UIQM=0.9454406381925446 UCIQE=0.5158550514529684
7_img_: PSNR=16.779736240467326 SSIM=0.6646445886098782 UIQM=0.9855544899399877 UCIQE=0.5697738882659849
849_img_: PSNR=13.008119550971418 SSIM=0.4459190417807811 UIQM=1.1850730637625344 UCIQE=0.6817965977702554
856_img_: PSNR=14.069384325960137 SSIM=0.34603532185736297 UIQM=1.1368627835343927 UCIQE=0.6369646189317969
8_img_: PSNR=18.698313601644823 SSIM=0.6149968273563808 UIQM=0.9086964771178284 UCIQE=0.5190337442911599
901_img_: PSNR=19.022235322131454 SSIM=0.6866092557184619 UIQM=0.6874260406553723 UCIQE=0.5794038824210209
906_img_: PSNR=16.76382918128896 SSIM=0.3536170004864455 UIQM=0.7901593500125683 UCIQE=0.48618888321877785
97_img_: PSNR=19.630761665927526 SSIM=0.7313169513592855 UIQM=1.25481945983391 UCIQE=0.5794929662214916
9_img_: PSNR=16.718111040345306 SSIM=0.7314915997369347 UIQM=0.9998387528602669 UCIQE=0.5694565743895307

Average: PSNR=16.103882290088595 SSIM=0.5571496144296929 UIQM=0.8953172915059389 UCIQE=0.5913899714982328

