100001.png: uiqm=0.5999240920030894, uciqe=0.47731802176136384
10091.png: uiqm=0.9103451790458321, uciqe=0.5636038035222466
10103.png: uiqm=1.1305996149419957, uciqe=0.5584105918365901
10167.png: uiqm=0.5859461836319966, uciqe=0.562007314530923
102.png: uiqm=0.5690676969130577, uciqe=0.5463764817315038
10226.png: uiqm=0.6189849755820439, uciqe=0.5613977510752517
10475.png: uiqm=0.4129299151343422, uciqe=0.5319694048289081
10488.png: uiqm=0.3893765967281271, uciqe=0.49283785879882436
12191.png: uiqm=0.9849027737473077, uciqe=0.44380931870803764
12203.png: uiqm=0.8681557259035624, uciqe=0.5148074775046948
12228.png: uiqm=-0.3232620066819193, uciqe=0.32884446225857455
12565.png: uiqm=0.813800203537083, uciqe=0.4226029002603069
12577.png: uiqm=1.1153364882521948, uciqe=0.48822634976699536
12625.png: uiqm=0.09083697787094014, uciqe=0.45694585213430294
12709.png: uiqm=-0.1156064643336353, uciqe=0.4368853454353334
12753.png: uiqm=0.05779301742398296, uciqe=0.4538566753406976
12960.png: uiqm=0.4608748432750759, uciqe=0.5221652674861301
12972.png: uiqm=0.6048031074513158, uciqe=0.602052618985037
13252.png: uiqm=0.416449008049579, uciqe=0.5284249302032492
13259.png: uiqm=1.1446518480672068, uciqe=0.5147806258704747
15603.png: uiqm=0.09060674511119415, uciqe=0.430203636315618
15735.png: uiqm=0.26016455165899566, uciqe=0.4010086553147309
15738.png: uiqm=0.3822224185739524, uciqe=0.48776655947101333
15740.png: uiqm=0.4773968537187538, uciqe=0.45819766324884525
15774.png: uiqm=0.8978174723269016, uciqe=0.5595107095525058
15775.png: uiqm=0.2963757791228781, uciqe=0.41688205335311007
2.png: uiqm=1.5364656942884662, uciqe=0.5482573305461775
2575.png: uiqm=0.9446764390492637, uciqe=0.6104607829018961
2583.png: uiqm=0.752716488413867, uciqe=0.6209139453685443
2856.png: uiqm=0.9441800112741454, uciqe=0.5396292714484986
3027.png: uiqm=1.203422109380558, uciqe=0.574430161132736
3051.png: uiqm=0.8112434294803874, uciqe=0.5454282174662988
3087.png: uiqm=1.4248277753640497, uciqe=0.5782146976166291
3175.png: uiqm=-0.14881543443413905, uciqe=0.3972744819750431
3201.png: uiqm=0.9359041009137385, uciqe=0.5419720218513124
3279.png: uiqm=0.67829495250798, uciqe=0.44158263440708756
34.png: uiqm=0.8258033144213568, uciqe=0.663928551771813
3494.png: uiqm=0.5650609606724097, uciqe=0.5397557535707647
3519.png: uiqm=0.5103117501756425, uciqe=0.5135688204965624
358_img_.png: uiqm=0.7157221915743607, uciqe=0.6235814722608607
432.png: uiqm=0.2715290733842588, uciqe=0.42361267079976184
5.png: uiqm=0.4150675056195019, uciqe=0.5395175367729681
52.png: uiqm=0.8947682144574666, uciqe=0.6760962685304217
579.png: uiqm=0.6078088502251456, uciqe=0.5762038753525351
605.png: uiqm=0.8815281597542033, uciqe=0.6159750438133199
616.png: uiqm=0.9562259824154089, uciqe=0.6015387951990142
627.png: uiqm=1.0279227651927436, uciqe=0.5813770109669957
6333.png: uiqm=0.6537896348419041, uciqe=0.5052767874838978
6340.png: uiqm=0.5945700088117893, uciqe=0.5441903189508912
643_img_.png: uiqm=1.2142441251851577, uciqe=0.6197340090231687
6527.png: uiqm=0.723417735187036, uciqe=0.5148668283859608
7277.png: uiqm=0.9740067659588718, uciqe=0.5407359089382291
7291.png: uiqm=0.8804069388407493, uciqe=0.5559161437913098
770.png: uiqm=1.173034367660157, uciqe=0.5265443042223021
866.png: uiqm=1.1546742511723518, uciqe=0.5157107819727943
880.png: uiqm=0.9767265832225265, uciqe=0.5448177779978739
9553.png: uiqm=0.9694457388178862, uciqe=0.582122677944692
9602.png: uiqm=0.9709448194783759, uciqe=0.5564624843250334
9607.png: uiqm=1.0008504781018321, uciqe=0.5227925902894135
9618.png: uiqm=0.8479995373401004, uciqe=0.6133229240068861

Average: uiqm=0.7104878152634234, uciqe=0.5276117535146162

