12433.png: uiqm=1.0708219384682593, uciqe=0.5507427595902864
149.png: uiqm=0.5772159432840909, uciqe=0.5076310227980572
161.png: uiqm=0.4834889495714203, uciqe=0.5434075104343778
264574_00031858.png: uiqm=1.231983804698558, uciqe=0.5344132472390669
264734_00038535.png: uiqm=0.6390863086580643, uciqe=0.5323578326583598
265119_00013763.png: uiqm=0.3582650972271275, uciqe=0.5796405752700965
265130_00031309.png: uiqm=0.5960806625356226, uciqe=0.5583354341793451
265344_00029330.png: uiqm=0.6353553587707323, uciqe=0.5271987845144981
306_img_.png: uiqm=0.5620747893382086, uciqe=0.5512693538568457
332_img_.png: uiqm=0.39421281243689155, uciqe=0.5430490547490763
3330.png: uiqm=0.5473092259641539, uciqe=0.5893001510448361
36.png: uiqm=0.43022678544916687, uciqe=0.48486208774501094
387_img_.png: uiqm=1.1165901084329106, uciqe=0.5055754461703243
757_img_.png: uiqm=1.3114143282488464, uciqe=0.5753001952275101
819_img_.png: uiqm=0.8725430314472823, uciqe=0.5769941197724385
96.png: uiqm=1.1416300934902692, uciqe=0.506768510819975
GI_1.png: uiqm=1.1642091138888393, uciqe=0.4355950834387558
GI_16.png: uiqm=0.6285904606092376, uciqe=0.5202351522026601
GI_2.png: uiqm=1.2833419162433197, uciqe=0.43554610524473314
GI_22.png: uiqm=0.661745166582483, uciqe=0.5035074040250377
GI_29.png: uiqm=0.6679817367897878, uciqe=0.3777896733469452
GI_33.png: uiqm=1.2035256274057393, uciqe=0.5786683948029803
GI_35.png: uiqm=0.7622888906462217, uciqe=0.6622793896077
GI_43.png: uiqm=0.7164358598693608, uciqe=0.6358080043356935
GI_7.png: uiqm=1.1947034642354275, uciqe=0.48647539056699707
GI_78.png: uiqm=0.9093914910657867, uciqe=0.5511186396618498
GI_8.png: uiqm=1.3218326288154758, uciqe=0.48593157728870495
GI_95.png: uiqm=0.6547936918735905, uciqe=0.5069245440187387
gmn_5017up.png: uiqm=0.9110544094316253, uciqe=0.5568858507812985
gmn_5029up.png: uiqm=0.9859928654113307, uciqe=0.5857607901436677
gmn_5148up.png: uiqm=0.7037787940509246, uciqe=0.5758608887741636
gmn_5183up.png: uiqm=0.9854960826262981, uciqe=0.553497079879833
gmn_5185up.png: uiqm=0.8344011924931269, uciqe=0.6042059294331243
gmn_5228up.png: uiqm=1.0917536722109589, uciqe=0.546945504296223
gmn_7856up.png: uiqm=1.3334906428861149, uciqe=0.5894711408737998
gmn_7919up.png: uiqm=0.9475881003437705, uciqe=0.5154190311914795
im_f1582_.png: uiqm=1.4889013818260897, uciqe=0.5649993897164057
im_f2253_.png: uiqm=0.7147047650961403, uciqe=0.5405882970580205
n01496331_1010.png: uiqm=0.7532087070892054, uciqe=0.5465415456039746
n01496331_2044.png: uiqm=0.8348585545594673, uciqe=0.5712697798069073
n01914609_1112.png: uiqm=0.31501728999324863, uciqe=0.5637171259590839
n01914609_11380.png: uiqm=0.8404245230151957, uciqe=0.5135818209420318
n01914609_13222.png: uiqm=0.9143531569627722, uciqe=0.5331661866784559
n01914609_13909.png: uiqm=1.2002839957986984, uciqe=0.4972015337292136
n01914609_1437.png: uiqm=0.3697687656504597, uciqe=0.6047178902633177
n01914609_1980.png: uiqm=0.8579190243821079, uciqe=0.5760549354814295
n01914609_2054.png: uiqm=0.5892917818611535, uciqe=0.5498742845137097
n01914609_7919.png: uiqm=0.6415172769850631, uciqe=0.5723005834158835
n02607072_2382.png: uiqm=0.5257937465874439, uciqe=0.5651624115411344
n02607072_5845.png: uiqm=0.468465109586918, uciqe=0.5117346102146866
n02607072_931.png: uiqm=0.6840085344164507, uciqe=0.5640371970531625
NF_1.png: uiqm=0.8952257785514781, uciqe=0.49991024570039144
NF_10.png: uiqm=0.33185638322011674, uciqe=0.5139487939532063
NF_100.png: uiqm=0.3079014308618359, uciqe=0.4545189623577365
NF_110.png: uiqm=0.40896598223075525, uciqe=0.5069999462210721
NF_116.png: uiqm=0.72568044751425, uciqe=0.4573652404864056
NF_123.png: uiqm=-0.15742506863437497, uciqe=0.45297292014469254
NF_124.png: uiqm=0.8309447648543038, uciqe=0.48677315633336926
NF_13.png: uiqm=-0.25048345515219983, uciqe=0.35427491283783635
NF_14.png: uiqm=-0.4319862827889641, uciqe=0.3024290675200986
NF_141.png: uiqm=0.7002470988710229, uciqe=0.5114498137438855
NF_147.png: uiqm=0.28813859583963225, uciqe=0.43222956186017125
NF_148.png: uiqm=0.7913276761924679, uciqe=0.4819782441062054
NF_166.png: uiqm=0.7493667438918583, uciqe=0.49000448808479113
NF_171.png: uiqm=0.48281437653217457, uciqe=0.5202258577858017
NF_172.png: uiqm=-0.09358767153682207, uciqe=0.4259433959869642
NF_174.png: uiqm=0.7821521890369212, uciqe=0.4683195505788892
NF_177.png: uiqm=0.7151785961960315, uciqe=0.4877473146219504
NF_194.png: uiqm=0.3687485912411374, uciqe=0.579366561847635
NF_195.png: uiqm=0.32677970318749233, uciqe=0.5309238535049077
NF_2.png: uiqm=0.42242539411182295, uciqe=0.5696884049695065
NF_201.png: uiqm=0.13590840590016023, uciqe=0.4542803122438961
NF_209.png: uiqm=0.9264116501369525, uciqe=0.5739083933543112
NF_213.png: uiqm=0.9218830066265367, uciqe=0.48828656206265497
NF_215.png: uiqm=-0.04545738855665904, uciqe=0.40120013307027985
NF_218.png: uiqm=1.0479533276238653, uciqe=0.44516987528116003
NF_231.png: uiqm=0.7194502453167066, uciqe=0.5135513873682338
NF_241.png: uiqm=0.5684492869122926, uciqe=0.5226955004954367
NF_242.png: uiqm=0.4629309159066685, uciqe=0.5214387156933189
NF_252.png: uiqm=0.845407449446965, uciqe=0.5020585331882297
NF_26.png: uiqm=-0.15368329296272706, uciqe=0.45814388550636487
NF_280.png: uiqm=0.2811198160819407, uciqe=0.4705893126767995
NF_285.png: uiqm=0.7319187050751463, uciqe=0.6023164285260102
NF_287.png: uiqm=0.2674173488824325, uciqe=0.4619749835551653
NF_313.png: uiqm=0.7504657093307951, uciqe=0.6048946933046487
NF_32.png: uiqm=0.10082142788740267, uciqe=0.49942412427447735
NF_363.png: uiqm=-0.060590384280200194, uciqe=0.4091717228477312
NF_364.png: uiqm=0.11876999607710631, uciqe=0.4555607831744889
NF_387.png: uiqm=0.6848236039787972, uciqe=0.5114910998962063
NF_410.png: uiqm=0.7356749898755885, uciqe=0.5127501676094728
NF_417.png: uiqm=-0.07388305837901071, uciqe=0.4270356212662283
NF_466.png: uiqm=0.10831644524292583, uciqe=0.4933651794920661
NF_470.png: uiqm=0.7552527312543186, uciqe=0.5678498086852771
NF_507.png: uiqm=0.2682773683537399, uciqe=0.5219566001039859
NF_512.png: uiqm=0.47274054236143437, uciqe=0.4959230747774297
NF_518.png: uiqm=0.9133819330567827, uciqe=0.573498270688093
NF_52.png: uiqm=0.4911981817134126, uciqe=0.5272295811085275
NF_56.png: uiqm=0.3689929716578122, uciqe=0.4928220496059768
NF_57.png: uiqm=0.68379423205775, uciqe=0.5330535642793393
NF_60.png: uiqm=0.5277388560244888, uciqe=0.5400010753292073
NF_69.png: uiqm=0.684476922293487, uciqe=0.62442507930796
NF_7.png: uiqm=0.4110251203898918, uciqe=0.4185770336900872
NF_70.png: uiqm=0.6607329059784494, uciqe=0.6666903925193944
NF_75.png: uiqm=0.674679913965682, uciqe=0.5603197796277691
NF_78.png: uiqm=1.0877469421840187, uciqe=0.5187254936686299
NF_8.png: uiqm=0.25403713753342855, uciqe=0.44127919666100984
NF_81.png: uiqm=0.4642471246049415, uciqe=0.4945691290058781
NF_85.png: uiqm=1.2351849146764786, uciqe=0.5423099143259152
NF_94.png: uiqm=0.9892804285748229, uciqe=0.5234219226275253
NF_95.png: uiqm=1.1585706792852775, uciqe=0.5275890820069252

Average: uiqm=0.6499904549602027, uciqe=0.5188758000683049

