1.jpg: uiqm=0.9957337039035163, uciqe=0.5092502328788219
10.jpg: uiqm=0.6248054743019031, uciqe=0.5434254313907577
100.jpg: uiqm=1.1627484682858895, uciqe=0.47742092014404786
101.jpg: uiqm=0.719318463473313, uciqe=0.5418275594237414
102.jpg: uiqm=1.1187987430037407, uciqe=0.5178660994437438
103.jpg: uiqm=1.1230402223357507, uciqe=0.5233422543881023
104.jpg: uiqm=1.2184803906914228, uciqe=0.5310066827064694
105.jpg: uiqm=0.9224401554123397, uciqe=0.5384772039042095
106.jpg: uiqm=0.9237006278112136, uciqe=0.535230545043172
107.jpg: uiqm=1.2641540252084438, uciqe=0.4800508622225218
108.jpg: uiqm=0.974393106973509, uciqe=0.48261804065751457
109.jpg: uiqm=0.915976439913296, uciqe=0.484365117593891
11.jpg: uiqm=0.6148934066124745, uciqe=0.5454552632064705
110.jpg: uiqm=0.9759991935779799, uciqe=0.45003117298239736
111.jpg: uiqm=1.0852402270724182, uciqe=0.4897985569743944
112.jpg: uiqm=0.894207738215574, uciqe=0.4872734417081833
113.jpg: uiqm=0.9152285803227657, uciqe=0.4910843671694056
114.jpg: uiqm=1.005602812074991, uciqe=0.46116402263561185
115.jpg: uiqm=1.0668257573694697, uciqe=0.49446768728266244
116.jpg: uiqm=1.2233327296385246, uciqe=0.4964094832676317
117.jpg: uiqm=1.152638967415535, uciqe=0.4914085575926209
118.jpg: uiqm=0.5750496240075738, uciqe=0.4404643541098314
119.jpg: uiqm=0.9827352151971018, uciqe=0.5065533764017363
12.jpg: uiqm=0.6571513913976226, uciqe=0.5431648633359097
120.jpg: uiqm=0.9655069613262345, uciqe=0.4821592424620731
121.jpg: uiqm=1.0412111507668151, uciqe=0.49637005787182154
122.jpg: uiqm=1.0604761416595054, uciqe=0.5083658989734903
123.jpg: uiqm=0.98176598553418, uciqe=0.4997167792892385
124.jpg: uiqm=0.8899220691349814, uciqe=0.49145168301095593
125.jpg: uiqm=1.0333360796682247, uciqe=0.49400856191805476
126.jpg: uiqm=0.8352472866789105, uciqe=0.49063825250255855
127.jpg: uiqm=1.104708365530242, uciqe=0.4686496826326243
128.jpg: uiqm=0.9180380413841929, uciqe=0.4579917035276566
129.jpg: uiqm=0.9955559061654753, uciqe=0.5155304109834912
13.jpg: uiqm=0.6827242852079587, uciqe=0.5447343861309021
130.jpg: uiqm=0.9345295071877946, uciqe=0.5118389678517742
131.jpg: uiqm=0.9670716984090529, uciqe=0.4845122252592784
132.jpg: uiqm=1.0480792757443518, uciqe=0.4958556177784575
133.jpg: uiqm=0.4698129809221745, uciqe=0.5307303311573288
134.jpg: uiqm=0.9782658433507063, uciqe=0.5026400303091483
135.jpg: uiqm=1.0300664921242384, uciqe=0.533524251168058
136.jpg: uiqm=1.1404604483460443, uciqe=0.5122591977288715
137.jpg: uiqm=1.1254955363536636, uciqe=0.5054543954325207
138.jpg: uiqm=0.9803803003290679, uciqe=0.4632448094442995
139.jpg: uiqm=0.6803546751436726, uciqe=0.5263059103133483
14.jpg: uiqm=0.6542944040867751, uciqe=0.5391131148654583
140.jpg: uiqm=1.1132897537462385, uciqe=0.5057627872123025
141.jpg: uiqm=1.06108204773666, uciqe=0.48764245334353395
142.jpg: uiqm=0.8540398610780919, uciqe=0.5304205033457469
143.jpg: uiqm=1.0410076618014386, uciqe=0.46075814145498784
144.jpg: uiqm=1.0969816705832405, uciqe=0.4868994094263771
145.jpg: uiqm=1.1512853669361338, uciqe=0.49980899676767954
146.jpg: uiqm=1.0596628145946345, uciqe=0.46785371082540017
147.jpg: uiqm=1.0096077517468383, uciqe=0.4638225251010669
148.jpg: uiqm=1.0139502200954418, uciqe=0.4863636834072044
149.jpg: uiqm=0.5176017919429718, uciqe=0.506330413235407
15.jpg: uiqm=0.657253363515701, uciqe=0.5348837251213406
150.jpg: uiqm=0.4805501684323801, uciqe=0.4890556278310688
151.jpg: uiqm=1.0045817599798088, uciqe=0.4855034738445796
152.jpg: uiqm=0.5060375846549938, uciqe=0.4855653483201635
153.jpg: uiqm=1.1992919737186518, uciqe=0.5255146831170389
154.jpg: uiqm=0.9655193049908133, uciqe=0.4884765688151845
155.jpg: uiqm=-0.21185323293818845, uciqe=0.382095870879245
156.jpg: uiqm=1.2543623250551164, uciqe=0.5309886383553872
157.jpg: uiqm=0.6514587809530988, uciqe=0.5323224400851108
158.jpg: uiqm=0.6674849122552193, uciqe=0.5307773925693218
159.jpg: uiqm=0.6420555063641464, uciqe=0.5406057692863501
16.jpg: uiqm=1.3013571763057903, uciqe=0.47957103145816227
160.jpg: uiqm=0.614940026379861, uciqe=0.5259086595341111
161.jpg: uiqm=0.38859897563336127, uciqe=0.5434571571180887
162.jpg: uiqm=0.40470978974807875, uciqe=0.5403056378042046
163.jpg: uiqm=1.1517573822301022, uciqe=0.49428047288166604
164.jpg: uiqm=0.4241677123357216, uciqe=0.5441300214850329
165.jpg: uiqm=0.4385587331333167, uciqe=0.5390977536632418
166.jpg: uiqm=0.7881254910510378, uciqe=0.5420857424328827
167.jpg: uiqm=0.471192696170069, uciqe=0.5379890645039314
168.jpg: uiqm=0.4389497266564319, uciqe=0.5375247217758078
169.jpg: uiqm=0.3809664214245513, uciqe=0.5359918154034559
17.jpg: uiqm=1.1361802038722477, uciqe=0.4893309180021965
170.jpg: uiqm=0.29564031968976606, uciqe=0.5380777742232307
171.jpg: uiqm=0.3663811635599269, uciqe=0.5389821644287102
172.jpg: uiqm=1.1950502092831874, uciqe=0.48841585919557917
173.jpg: uiqm=0.29819184179713987, uciqe=0.5371180013086381
174.jpg: uiqm=0.2634957583839708, uciqe=0.53640155547626
175.jpg: uiqm=0.25009820300438307, uciqe=0.5364695544505196
176.jpg: uiqm=1.2900517400769114, uciqe=0.49486910680831825
177.jpg: uiqm=0.27171785178692237, uciqe=0.5372487537046897
178.jpg: uiqm=0.6245805581249038, uciqe=0.5488119284751174
179.jpg: uiqm=1.280795411266405, uciqe=0.49298926419103895
18.jpg: uiqm=1.064181862640491, uciqe=0.5178811366566141
180.jpg: uiqm=0.6501091601232938, uciqe=0.5537116492486035
181.jpg: uiqm=0.8788209934486658, uciqe=0.4636054876089555
182.jpg: uiqm=0.8836499061842853, uciqe=0.45991981010611427
183.jpg: uiqm=0.23301424355621736, uciqe=0.42631900573075965
19.jpg: uiqm=1.1043596968577605, uciqe=0.5375430190891586
2.jpg: uiqm=1.255894875229561, uciqe=0.5031481805250171
20.jpg: uiqm=1.0525078772399945, uciqe=0.5122268512380105
21.jpg: uiqm=0.8293647080235482, uciqe=0.4865950306638799
22.jpg: uiqm=1.3197720251408689, uciqe=0.4871005510444206
23.jpg: uiqm=1.3421116187363338, uciqe=0.49121780713792773
24.jpg: uiqm=1.2782763364240473, uciqe=0.5018539894634753
25.jpg: uiqm=1.2970458834463283, uciqe=0.48028300489406633
26.jpg: uiqm=1.2651629346079816, uciqe=0.5269443865501477
27.jpg: uiqm=1.2507452074046557, uciqe=0.504306820189566
28.jpg: uiqm=1.1959097967927907, uciqe=0.4838088727352139
29.jpg: uiqm=1.1671293472813664, uciqe=0.488803934914557
3.jpg: uiqm=-0.22690112335452342, uciqe=0.36252796069470594
30.jpg: uiqm=0.7993278148302018, uciqe=0.5276444124791126
31.jpg: uiqm=1.2574760668958744, uciqe=0.47642478289039997
32.jpg: uiqm=0.8310277599229214, uciqe=0.530831508128929
33.jpg: uiqm=0.8212276098975066, uciqe=0.499966340649066
34.jpg: uiqm=0.7286979540884494, uciqe=0.48842188357664945
35.jpg: uiqm=0.20863410524430298, uciqe=0.45846033408449466
