1.png: NIQE=59.89522226449003  with dealing time: 118.05216002464294
10.png: NIQE=47.925040132275434  with dealing time: 90.60947513580322
11.png: NIQE=50.343829850772195  with dealing time: 94.55767750740051
12.png: NIQE=44.39925406167574  with dealing time: 85.72240996360779
13.png: NIQE=45.97979882108834  with dealing time: 89.54909873008728
14.png: NIQE=44.27080190154826  with dealing time: 100.36900591850281
15.png: NIQE=41.10229303697014  with dealing time: 87.12591195106506
16.png: NIQE=47.074107929812364  with dealing time: 84.15180850028992
17.png: NIQE=39.856807570094205  with dealing time: 94.0366907119751
18.png: NIQE=41.668158467806  with dealing time: 94.58482789993286
19.png: NIQE=43.25084922370502  with dealing time: 98.819162607193
2.png: NIQE=51.69101871304067  with dealing time: 90.66925549507141
20.png: NIQE=44.238459606689226  with dealing time: 87.1749849319458
21.png: NIQE=36.13434383924762  with dealing time: 94.18903684616089
22.png: NIQE=40.16848384830941  with dealing time: 95.3423810005188
23.png: NIQE=39.342601092916716  with dealing time: 93.10707116127014
24.png: NIQE=38.46323671975133  with dealing time: 95.40459060668945
25.png: NIQE=40.75472907043716  with dealing time: 92.81346201896667
26.png: NIQE=45.19796679621459  with dealing time: 90.68043565750122
27.png: NIQE=38.8430866179587  with dealing time: 93.68361139297485
28.png: NIQE=42.462470957088534  with dealing time: 92.6089825630188
29.png: NIQE=52.88734768248018  with dealing time: 84.46580386161804
3.png: NIQE=45.75375357777515  with dealing time: 85.88119506835938
30.png: NIQE=50.55554333918924  with dealing time: 91.98149752616882
31.png: NIQE=46.278528565612554  with dealing time: 85.98820161819458
32.png: NIQE=41.39519476725369  with dealing time: 86.34320950508118
33.png: NIQE=39.48055790371991  with dealing time: 84.19474005699158
34.png: NIQE=45.23118758708896  with dealing time: 84.1975827217102
35.png: NIQE=45.79325812453249  with dealing time: 86.10056018829346
36.png: NIQE=43.574083203845014  with dealing time: 85.52915835380554
37.png: NIQE=41.02520078168184  with dealing time: 91.21714472770691
38.png: NIQE=40.179416760647364  with dealing time: 89.69555401802063
39.png: NIQE=41.91657565010453  with dealing time: 84.28680062294006
4.png: NIQE=56.77641654470648  with dealing time: 89.49888396263123
40.png: NIQE=39.09007472362781  with dealing time: 85.3598210811615
41.png: NIQE=41.48851328557312  with dealing time: 83.90307211875916
42.png: NIQE=45.024272752868065  with dealing time: 87.6833610534668
43.png: NIQE=40.27856663731923  with dealing time: 87.66374850273132
44.png: NIQE=39.688219232530386  with dealing time: 90.14787316322327
45.png: NIQE=38.426606747721024  with dealing time: 89.69710779190063
5.png: NIQE=49.52989471901068  with dealing time: 89.20358991622925
6.png: NIQE=53.78291738248314  with dealing time: 88.39180016517639
7.png: NIQE=43.55838314981806  with dealing time: 88.50260329246521
8.png: NIQE=73.41556717034173  with dealing time: 98.19307136535645
9.png: NIQE=43.036629466702074  with dealing time: 88.27151441574097

45 Image Average: NIQE=44.91620600618944, TimePerImage=90.43666523827447, SumTime = 4069.649935722351s

