104_img_.png: NIQE=24.31538759599963  with dealing time: 71.2566568851471
10_img_.png: NIQE=67.16720111444741  with dealing time: 68.77489066123962
111_img_.png: NIQE=34.37178465357189  with dealing time: 66.98936653137207
112_img_.png: NIQE=22.70453792223588  with dealing time: 77.746817111969
11_img_.png: NIQE=32.330084204357334  with dealing time: 76.84847021102905
13_img_.png: NIQE=19.33271553266002  with dealing time: 69.82566118240356
14_img_.png: NIQE=46.594051449070925  with dealing time: 72.6497528553009
15003.png: NIQE=25.78040135535143  with dealing time: 70.44552183151245
150_img_.png: NIQE=20.51299201589855  with dealing time: 68.37943887710571
15544.png: NIQE=24.510454275177928  with dealing time: 72.99618315696716
15_img_.png: NIQE=24.006232243352127  with dealing time: 72.60217308998108
169_img_.png: NIQE=27.521847197133102  with dealing time: 71.03998112678528
16_img_.png: NIQE=20.696642260857388  with dealing time: 72.06942319869995
17_img_.png: NIQE=21.475028264214096  with dealing time: 69.04988431930542
18_img_.png: NIQE=27.06894130963998  with dealing time: 70.72029113769531
19_img_.png: NIQE=18.341024320248405  with dealing time: 71.37541961669922
20.png: NIQE=20.416113564782815  with dealing time: 69.95999312400818
22_img_.png: NIQE=21.11275581863571  with dealing time: 72.59923076629639
23_img_.png: NIQE=16.84650408019548  with dealing time: 72.39296460151672
24_img_.png: NIQE=28.61624287990893  with dealing time: 74.07092380523682
282_img_.png: NIQE=39.16526258142179  with dealing time: 68.1419460773468
284_img_.png: NIQE=41.20515145202944  with dealing time: 68.62317323684692
288_img_.png: NIQE=46.26528415578683  with dealing time: 72.93815207481384
290_img_.png: NIQE=38.986338602910514  with dealing time: 77.62946677207947
292_img_.png: NIQE=40.78957640674602  with dealing time: 70.14535856246948
293_img_.png: NIQE=41.25604304459169  with dealing time: 66.06644010543823
294_img_.png: NIQE=38.21716927549876  with dealing time: 71.50639629364014
295_img_.png: NIQE=37.07508851879879  with dealing time: 70.63723635673523
299_img_.png: NIQE=45.30249215496591  with dealing time: 70.54024195671082
2_img_.png: NIQE=25.495352235282898  with dealing time: 71.28185033798218
300_img_.png: NIQE=41.1031419964931  with dealing time: 70.07056498527527
301_img_.png: NIQE=38.96870448517663  with dealing time: 68.91371440887451
302_img_.png: NIQE=43.68452231752478  with dealing time: 68.18133640289307
303_img_.png: NIQE=37.04922298433754  with dealing time: 71.13902735710144
