104_img_: PSNR=19.330909312954304 SSIM=0.7593319399586699 UIQM=1.0291867614650108 UCIQE=0.6464268614451507
10_img_: PSNR=11.553597418652156 SSIM=0.248073692167811 UIQM=1.290233318758423 UCIQE=0.6916511391110023
111_img_: PSNR=21.648956010541063 SSIM=0.8544178416638621 UIQM=0.3158678758589514 UCIQE=0.5563203062767611
112_img_: PSNR=37.84915029149491 SSIM=0.9928894207438234 UIQM=1.1199025716361197 UCIQE=0.6491868296037564
11_img_: PSNR=18.25312138376128 SSIM=0.865946544280867 UIQM=1.2584075442947489 UCIQE=0.7146027716970583
13_img_: PSNR=25.435147489504114 SSIM=0.9159722144377984 UIQM=1.1601921686515306 UCIQE=0.6949912370994342
14_img_: PSNR=19.716010245820186 SSIM=0.8142811808999945 UIQM=1.116692358371187 UCIQE=0.6884186298585767
15003: PSNR=11.756770940551991 SSIM=-0.1596314174910003 UIQM=0.686190298173693 UCIQE=0.6122255717906069
150_img_: PSNR=19.404458446525233 SSIM=0.7400047351156486 UIQM=1.2951970112238542 UCIQE=0.6589485360223835
15544: PSNR=79.75077137618254 SSIM=0.9999973891070694 UIQM=0.4363790813516851 UCIQE=0.5393557938765785
15_img_: PSNR=71.94543773985845 SSIM=0.99999421886703 UIQM=1.579488232932406 UCIQE=0.693079253368388
169_img_: PSNR=21.236790912136378 SSIM=0.740110996805252 UIQM=1.8474230806517098 UCIQE=0.5960248129207564
16_img_: PSNR=18.17064109165324 SSIM=0.5888978736578661 UIQM=1.2484683010139892 UCIQE=0.5985891440014864
17_img_: PSNR=23.524075233142455 SSIM=0.8203826278185116 UIQM=1.5952976938884913 UCIQE=0.6453522714198497
18_img_: PSNR=18.105435666226338 SSIM=0.3954640240975263 UIQM=1.2971263466454324 UCIQE=0.6572352852766321
19_img_: PSNR=19.813902157892883 SSIM=0.6841060432513868 UIQM=1.4411639561475826 UCIQE=0.6514942474888545
20: PSNR=18.385534024989173 SSIM=0.6461165703295219 UIQM=1.438174438890048 UCIQE=0.6241136460946888
22_img_: PSNR=71.63992392021807 SSIM=0.9999945301996082 UIQM=1.1924439224442103 UCIQE=0.6562420988726957
23_img_: PSNR=71.61883138327892 SSIM=0.9999841158172659 UIQM=1.3095418320014705 UCIQE=0.64058568469549
24_img_: PSNR=70.18635280079428 SSIM=0.9999883258830226 UIQM=1.0169179607001793 UCIQE=0.657662549512781
282_img_: PSNR=17.76065141651503 SSIM=0.7221734777757388 UIQM=1.3748861276873832 UCIQE=0.6731849491782131
284_img_: PSNR=21.722858237025825 SSIM=0.8556622990382747 UIQM=1.232884303199004 UCIQE=0.6799604142655988
288_img_: PSNR=20.636257585782225 SSIM=0.8672629719099854 UIQM=1.2274318678361027 UCIQE=0.674129399850415
290_img_: PSNR=68.78806498113218 SSIM=0.9999916846710215 UIQM=1.0883839333278544 UCIQE=0.5911841735677473
