100001.png: NIQE=39.444410365906364  with dealing time: 56.65717816352844
10091.png: NIQE=18.468148979686305  with dealing time: 52.43053150177002
10103.png: NIQE=29.721467461258072  with dealing time: 55.50606822967529
10167.png: NIQE=28.22317582460474  with dealing time: 54.73983311653137
102.png: NIQE=26.96858487760162  with dealing time: 77.09276556968689
10226.png: NIQE=25.25192496199629  with dealing time: 70.6211748123169
10475.png: NIQE=33.44562575947072  with dealing time: 54.18740105628967
10488.png: NIQE=29.424450934897212  with dealing time: 59.53522562980652
12191.png: NIQE=24.694882999328872  with dealing time: 73.93573927879333
12203.png: NIQE=21.32102388098688  with dealing time: 60.77122402191162
12228.png: NIQE=31.164750579093315  with dealing time: 52.33402180671692
12565.png: NIQE=24.459023463766464  with dealing time: 52.0779070854187
12577.png: NIQE=25.267055915663086  with dealing time: 48.483365058898926
12625.png: NIQE=36.73268219805774  with dealing time: 49.56724500656128
12709.png: NIQE=22.22171870248053  with dealing time: 46.82203006744385
12753.png: NIQE=39.169652520010686  with dealing time: 41.51038074493408
12960.png: NIQE=43.11153630825879  with dealing time: 49.32285952568054
12972.png: NIQE=32.031604240239616  with dealing time: 50.51676106452942
13252.png: NIQE=31.4946151690711  with dealing time: 48.93247151374817
13259.png: NIQE=24.986470175758928  with dealing time: 47.0842490196228
15603.png: NIQE=25.456045107213985  with dealing time: 49.825220584869385
15735.png: NIQE=29.549730234503404  with dealing time: 45.372971057891846
15738.png: NIQE=23.576045930672507  with dealing time: 47.35726523399353
15740.png: NIQE=42.6357492939974  with dealing time: 45.68188762664795
15774.png: NIQE=33.30307475951878  with dealing time: 44.21485686302185
15775.png: NIQE=49.005532788988916  with dealing time: 43.97208857536316
2.png: NIQE=21.907690340463066  with dealing time: 50.381391286849976
2575.png: NIQE=24.27338205690666  with dealing time: 48.91513180732727
2583.png: NIQE=31.099834888393463  with dealing time: 41.436224937438965
2856.png: NIQE=22.690865787614307  with dealing time: 42.29302787780762
3027.png: NIQE=18.735347120606676  with dealing time: 41.40198755264282
3051.png: NIQE=18.7443049908431  with dealing time: 42.56932210922241
3087.png: NIQE=21.763604543233686  with dealing time: 40.959803342819214
3175.png: NIQE=42.298708347640776  with dealing time: 40.957237005233765
3201.png: NIQE=31.968516926344755  with dealing time: 41.43490791320801
3279.png: NIQE=22.134271395026282  with dealing time: 42.91419172286987
34.png: NIQE=22.898389635491707  with dealing time: 43.15329623222351
3494.png: NIQE=30.91143413410534  with dealing time: 42.2124342918396
3519.png: NIQE=24.816273080816682  with dealing time: 44.436275243759155
358_img_.png: NIQE=43.064262996188994  with dealing time: 42.88016128540039
432.png: NIQE=53.45164227399107  with dealing time: 43.77277731895447
5.png: NIQE=29.476429201030754  with dealing time: 45.53360176086426
52.png: NIQE=20.04536624767856  with dealing time: 43.65886878967285
579.png: NIQE=26.269689081200738  with dealing time: 43.5252251625061
605.png: NIQE=28.22479184765095  with dealing time: 41.684475898742676
616.png: NIQE=32.97047222749342  with dealing time: 39.394511222839355
627.png: NIQE=21.26047670883058  with dealing time: 39.53341197967529
6333.png: NIQE=57.49288763891435  with dealing time: 42.26960253715515
6340.png: NIQE=46.552786731850254  with dealing time: 40.75490617752075
643_img_.png: NIQE=19.043901436593128  with dealing time: 41.858739614486694
6527.png: NIQE=38.97529982826791  with dealing time: 40.33552312850952
7277.png: NIQE=30.92192396694456  with dealing time: 39.675687074661255
7291.png: NIQE=33.91392719906314  with dealing time: 39.77400255203247
770.png: NIQE=20.898729597262196  with dealing time: 41.20363783836365
866.png: NIQE=27.170926851077013  with dealing time: 40.93810772895813
880.png: NIQE=29.652691450343497  with dealing time: 41.767045736312866
9553.png: NIQE=26.867352947003784  with dealing time: 41.03827214241028
9602.png: NIQE=21.785627084278442  with dealing time: 40.07975172996521
9607.png: NIQE=20.13284656513861  with dealing time: 40.699265003204346
9618.png: NIQE=22.933378782804734  with dealing time: 41.61047315597534

60 Image Average: NIQE=29.607950289068768, TimePerImage=46.893433356285094, SumTime = 2813.6060013771057s

