100001.png: uiqm=0.9056489420857263, uciqe=0.5588147438491643
10091.png: uiqm=1.0823073548645668, uciqe=0.6151199019969303
10103.png: uiqm=1.171541265567218, uciqe=0.6397466148829293
10167.png: uiqm=0.9596740264238917, uciqe=0.5825190455472247
102.png: uiqm=0.8498700427655698, uciqe=0.6467126214864461
10226.png: uiqm=0.5716096371103052, uciqe=0.6279465374682666
10475.png: uiqm=0.694317934238876, uciqe=0.5892046484486416
10488.png: uiqm=0.6585315221486515, uciqe=0.5766626312068309
12191.png: uiqm=1.3325474832524569, uciqe=0.5551259267548838
12203.png: uiqm=1.1276489420692182, uciqe=0.5204293339457149
12228.png: uiqm=0.6788732292867325, uciqe=0.5870168084205358
12565.png: uiqm=1.1870490578025938, uciqe=0.5712526252469593
12577.png: uiqm=1.4378248913699176, uciqe=0.5427982942671321
12625.png: uiqm=0.4009228469153233, uciqe=0.519906337205919
12709.png: uiqm=0.17498255610443525, uciqe=0.5183467302894234
12753.png: uiqm=0.4453809221960825, uciqe=0.5189665940430975
12960.png: uiqm=0.6491499814815, uciqe=0.6446639533801344
12972.png: uiqm=0.6333718891215763, uciqe=0.6783358702963371
13252.png: uiqm=0.7711196069983168, uciqe=0.6500172193978629
13259.png: uiqm=1.4938746341692162, uciqe=0.6394800155972881
15603.png: uiqm=0.6703952272867428, uciqe=0.5839475104304173
15735.png: uiqm=0.6263078185442237, uciqe=0.5553041705711084
15738.png: uiqm=0.4668973874499422, uciqe=0.5444200073164958
15740.png: uiqm=0.4684816909577674, uciqe=0.5797936385581045
15774.png: uiqm=0.8101684930176491, uciqe=0.5799631892673789
15775.png: uiqm=0.28187168836907417, uciqe=0.4725725990322349
2.png: uiqm=1.6857124375176769, uciqe=0.6024784741225275
2575.png: uiqm=0.8921283957083084, uciqe=0.6330913912526672
2583.png: uiqm=0.5880514458336525, uciqe=0.6459558230948075
2856.png: uiqm=0.6610778285992756, uciqe=0.5809396162853212
3027.png: uiqm=1.2975831703206349, uciqe=0.6385733608892439
3051.png: uiqm=0.6174633749219407, uciqe=0.5947330337105297
3087.png: uiqm=1.4519460201309518, uciqe=0.6119404123049149
3175.png: uiqm=0.06744163511611706, uciqe=0.5394529947333127
3201.png: uiqm=1.0785135065572942, uciqe=0.6217357183896731
3279.png: uiqm=1.0136910948006144, uciqe=0.5952026276564734
34.png: uiqm=0.8231843338754029, uciqe=0.6810323948843131
3494.png: uiqm=0.10627288416110242, uciqe=0.5439336509233671
3519.png: uiqm=0.5248589273596889, uciqe=0.5789092905951867
358_img_.png: uiqm=0.7471370487187189, uciqe=0.6464466536737214
432.png: uiqm=0.6833824721194367, uciqe=0.6237183449465225
5.png: uiqm=0.4023645842589367, uciqe=0.6324573389533866
52.png: uiqm=0.9184004471136544, uciqe=0.6965946378956062
579.png: uiqm=0.7960687591119942, uciqe=0.6147687634450925
605.png: uiqm=0.9281510152480221, uciqe=0.6259144706185183
616.png: uiqm=1.0842533348306949, uciqe=0.6487373897160205
627.png: uiqm=1.0144420334820723, uciqe=0.6242943502790828
6333.png: uiqm=0.5430853486698554, uciqe=0.5222319315663242
6340.png: uiqm=0.49988826183484747, uciqe=0.5396452897013699
643_img_.png: uiqm=1.3128266965819797, uciqe=0.6710418448349986
6527.png: uiqm=0.5266580777397901, uciqe=0.5355339313708994
7277.png: uiqm=1.0609917272773832, uciqe=0.7336785359611727
7291.png: uiqm=1.1753496785982112, uciqe=0.7766026617487165
770.png: uiqm=1.2060442378907277, uciqe=0.6326046650652584
866.png: uiqm=1.1739902041676844, uciqe=0.596567842431927
880.png: uiqm=1.0925081384586286, uciqe=0.6521071420500637
9553.png: uiqm=1.2197618694566157, uciqe=0.6356975526771721
9602.png: uiqm=0.9313302568954958, uciqe=0.5893441434382662
9607.png: uiqm=1.0742439659623837, uciqe=0.5609448304068245
9618.png: uiqm=0.43175803819405717, uciqe=0.6602232246317925

Average: uiqm=0.8363488387185234, uciqe=0.6031033650527089

