1.jpg: NIQE=22.6646208261037  with dealing time: 71.85792326927185
10.jpg: NIQE=22.88490078054318  with dealing time: 93.71744513511658
100.jpg: NIQE=22.230573782967966  with dealing time: 81.78958654403687
101.jpg: NIQE=21.571628320674044  with dealing time: 80.67922353744507
102.jpg: NIQE=24.159089880043027  with dealing time: 72.80053639411926
103.jpg: NIQE=25.344159507399556  with dealing time: 72.6715624332428
104.jpg: NIQE=24.01253353842527  with dealing time: 79.03880262374878
105.jpg: NIQE=25.022579678021593  with dealing time: 81.12294006347656
106.jpg: NIQE=25.62266776579319  with dealing time: 82.97468209266663
107.jpg: NIQE=21.19805902655077  with dealing time: 82.8211088180542
108.jpg: NIQE=22.825308953310586  with dealing time: 77.00450086593628
109.jpg: NIQE=23.935619978817336  with dealing time: 76.84404301643372
11.jpg: NIQE=23.609386485236524  with dealing time: 75.52549982070923
110.jpg: NIQE=26.62927053660823  with dealing time: 85.09410619735718
111.jpg: NIQE=26.799646596382537  with dealing time: 83.58752465248108
112.jpg: NIQE=23.3083349025802  with dealing time: 82.87378931045532
113.jpg: NIQE=24.147402920524097  with dealing time: 78.71933603286743
114.jpg: NIQE=26.45930998394082  with dealing time: 90.6479377746582
115.jpg: NIQE=26.185777967678064  with dealing time: 78.86635065078735
116.jpg: NIQE=21.028779750992342  with dealing time: 74.77612805366516
117.jpg: NIQE=21.28942589990529  with dealing time: 81.51141309738159
118.jpg: NIQE=27.250713961711345  with dealing time: 71.72874426841736
119.jpg: NIQE=24.73062404355404  with dealing time: 71.98430490493774
12.jpg: NIQE=22.79099734230276  with dealing time: 73.26266694068909
120.jpg: NIQE=23.52517494321537  with dealing time: 71.65892243385315
121.jpg: NIQE=20.50157030941869  with dealing time: 73.31927561759949
122.jpg: NIQE=19.390457714086292  with dealing time: 72.5055730342865
123.jpg: NIQE=20.43474422047209  with dealing time: 74.42696237564087
124.jpg: NIQE=20.10800398946117  with dealing time: 73.92678809165955
125.jpg: NIQE=20.40017024467081  with dealing time: 72.7685055732727
126.jpg: NIQE=21.45314923686467  with dealing time: 72.99289894104004
127.jpg: NIQE=20.35465795034733  with dealing time: 72.43803691864014
128.jpg: NIQE=24.46261277942086  with dealing time: 73.08842658996582
129.jpg: NIQE=21.34526831669953  with dealing time: 71.03024172782898
13.jpg: NIQE=25.10802100634271  with dealing time: 76.10813093185425
130.jpg: NIQE=19.74853503711084  with dealing time: 71.62564039230347
131.jpg: NIQE=21.877411050545224  with dealing time: 71.20690202713013
132.jpg: NIQE=19.78407060309193  with dealing time: 72.57939553260803
133.jpg: NIQE=23.72928618311045  with dealing time: 76.3514940738678
134.jpg: NIQE=18.759858377614368  with dealing time: 73.26775693893433
135.jpg: NIQE=19.64479697116534  with dealing time: 72.79371309280396
136.jpg: NIQE=18.02267365687408  with dealing time: 73.18478608131409
137.jpg: NIQE=18.770854912854674  with dealing time: 66.4442548751831
138.jpg: NIQE=28.1665210537628  with dealing time: 66.83223986625671
139.jpg: NIQE=24.965655098664165  with dealing time: 68.49560284614563
14.jpg: NIQE=22.611225022841015  with dealing time: 67.91924571990967
140.jpg: NIQE=27.376738038023518  with dealing time: 69.10588431358337
141.jpg: NIQE=24.64755519609331  with dealing time: 64.21783757209778
142.jpg: NIQE=25.65914198864291  with dealing time: 66.02997541427612
143.jpg: NIQE=31.072838985286864  with dealing time: 65.5940465927124
144.jpg: NIQE=31.55037539188821  with dealing time: 65.42382955551147
145.jpg: NIQE=30.61593619321968  with dealing time: 68.13499140739441
146.jpg: NIQE=20.1988943635176  with dealing time: 66.0763030052185
147.jpg: NIQE=20.507101659728626  with dealing time: 66.394939661026
148.jpg: NIQE=22.836405156989944  with dealing time: 59.76047945022583
149.jpg: NIQE=21.936956224129823  with dealing time: 61.884472608566284
