1.png: NIQE=50.27637146959802  with dealing time: 59.09442067146301
10.png: NIQE=42.08648095048234  with dealing time: 51.87185525894165
11.png: NIQE=49.482265322209145  with dealing time: 54.82186579704285
12.png: NIQE=48.134691976656136  with dealing time: 52.497740030288696
13.png: NIQE=34.100908689176826  with dealing time: 72.3071699142456
14.png: NIQE=51.18900491157974  with dealing time: 68.97565007209778
15.png: NIQE=36.95266221609006  with dealing time: 52.75111246109009
16.png: NIQE=132.32710385982875  with dealing time: 57.48263955116272
17.png: NIQE=64.7149113800925  with dealing time: 71.40293097496033
18.png: NIQE=35.45932402056701  with dealing time: 63.53011894226074
19.png: NIQE=39.568884818098816  with dealing time: 61.33963441848755
2.png: NIQE=48.85355071562693  with dealing time: 52.36793041229248
20.png: NIQE=54.833669619571715  with dealing time: 46.20997428894043
21.png: NIQE=36.031809512931886  with dealing time: 48.01608347892761
22.png: NIQE=48.988894197771614  with dealing time: 49.74680161476135
23.png: NIQE=38.38569376527742  with dealing time: 49.008944034576416
24.png: NIQE=44.37480992837545  with dealing time: 49.776790142059326
25.png: NIQE=41.109097800275684  with dealing time: 47.738966941833496
26.png: NIQE=61.61872245380846  with dealing time: 47.18372416496277
27.png: NIQE=36.73901144183743  with dealing time: 49.10799479484558
28.png: NIQE=38.592264777937686  with dealing time: 47.219995737075806
29.png: NIQE=89.21352306653733  with dealing time: 44.628135204315186
3.png: NIQE=164.41222414153904  with dealing time: 41.67389249801636
30.png: NIQE=55.901197883986555  with dealing time: 44.10228729248047
31.png: NIQE=35.70589003260482  with dealing time: 42.1574547290802
32.png: NIQE=35.00450801812369  with dealing time: 41.80962133407593
33.png: NIQE=33.18054720249479  with dealing time: 47.3561475276947
34.png: NIQE=37.2846938336187  with dealing time: 46.20010995864868
35.png: NIQE=35.40443659191684  with dealing time: 40.30967855453491
36.png: NIQE=35.9457844610695  with dealing time: 40.310367584228516
37.png: NIQE=31.056024455029405  with dealing time: 41.34964847564697
38.png: NIQE=33.90263414662756  with dealing time: 42.94740557670593
39.png: NIQE=38.56550232410556  with dealing time: 40.8802695274353
4.png: NIQE=64.45866805629421  with dealing time: 40.96081280708313
40.png: NIQE=32.03520514125479  with dealing time: 41.236141204833984
41.png: NIQE=32.758583820674986  with dealing time: 40.2680139541626
42.png: NIQE=36.003006176047464  with dealing time: 40.98483967781067
43.png: NIQE=31.612416416708633  with dealing time: 42.10486912727356
44.png: NIQE=32.28545574170468  with dealing time: 41.11172914505005
45.png: NIQE=34.330341985879954  with dealing time: 41.392510175704956
5.png: NIQE=39.24236061066336  with dealing time: 41.184348344802856
6.png: NIQE=43.67817586924736  with dealing time: 40.42164134979248
7.png: NIQE=44.4180359518317  with dealing time: 41.011733055114746
8.png: NIQE=46.729277631589774  with dealing time: 44.285979986190796
9.png: NIQE=41.33388580258717  with dealing time: 40.43688774108887

45 Image Average: NIQE=47.5173891819985, TimePerImage=48.03504152297974, SumTime = 2161.576868534088s

