100001.png: NIQE=55.37816162704144  with dealing time: 72.52595090866089
10091.png: NIQE=35.73554454694688  with dealing time: 80.84241223335266
10103.png: NIQE=33.34705045414182  with dealing time: 84.83152389526367
10167.png: NIQE=34.60478094140242  with dealing time: 74.2406210899353
102.png: NIQE=46.24886896870204  with dealing time: 79.56830143928528
10226.png: NIQE=45.31321795703215  with dealing time: 79.25748872756958
10475.png: NIQE=52.49385781923502  with dealing time: 72.10823392868042
10488.png: NIQE=47.32523700863635  with dealing time: 72.02954173088074
12191.png: NIQE=36.20508660798104  with dealing time: 73.04381489753723
12203.png: NIQE=34.27946225988161  with dealing time: 74.99741077423096
12228.png: NIQE=47.50401213720516  with dealing time: 65.62317657470703
12565.png: NIQE=33.95717072444752  with dealing time: 72.97694826126099
12577.png: NIQE=37.52081745039143  with dealing time: 72.89501714706421
12625.png: NIQE=44.91722562220464  with dealing time: 74.99536943435669
12709.png: NIQE=44.28260616839043  with dealing time: 71.49257445335388
12753.png: NIQE=48.9615569940106  with dealing time: 64.45417308807373
12960.png: NIQE=56.45699308700041  with dealing time: 74.81650018692017
12972.png: NIQE=48.57323512165147  with dealing time: 77.60924530029297
13252.png: NIQE=47.980580576782714  with dealing time: 72.97797513008118
13259.png: NIQE=45.176928931075  with dealing time: 72.49720430374146
15603.png: NIQE=38.521521021661336  with dealing time: 78.76675510406494
15735.png: NIQE=37.860512338334225  with dealing time: 72.99171090126038
15738.png: NIQE=33.789947878881094  with dealing time: 76.9569947719574
15740.png: NIQE=64.76033418412808  with dealing time: 74.3063428401947
15774.png: NIQE=47.86356668592485  with dealing time: 73.06073188781738
15775.png: NIQE=64.15115405180285  with dealing time: 72.41370797157288
2.png: NIQE=40.03725152249173  with dealing time: 72.96041321754456
2575.png: NIQE=43.49532734284814  with dealing time: 75.93769025802612
2583.png: NIQE=44.91499358686273  with dealing time: 71.87256646156311
2856.png: NIQE=38.101624907474395  with dealing time: 73.13252806663513
3027.png: NIQE=34.162668251914816  with dealing time: 71.7952892780304
3051.png: NIQE=38.31419286456976  with dealing time: 73.42250990867615
3087.png: NIQE=33.37220306898054  with dealing time: 71.46665573120117
3175.png: NIQE=62.481048433895275  with dealing time: 71.62813520431519
3201.png: NIQE=55.16303179535232  with dealing time: 70.89876365661621
3279.png: NIQE=44.40482591653334  with dealing time: 73.72841835021973
34.png: NIQE=39.813867626022905  with dealing time: 74.84139657020569
3494.png: NIQE=45.54480162158689  with dealing time: 74.0193862915039
3519.png: NIQE=41.06455180104189  with dealing time: 78.26117587089539
358_img_.png: NIQE=43.9184850131849  with dealing time: 77.33405447006226
432.png: NIQE=65.34984147897808  with dealing time: 79.18436646461487
5.png: NIQE=48.22324125800905  with dealing time: 79.28397035598755
52.png: NIQE=39.973905294486386  with dealing time: 77.31900763511658
579.png: NIQE=40.715128888586044  with dealing time: 76.77168416976929
605.png: NIQE=50.99838800292485  with dealing time: 74.2201280593872
616.png: NIQE=50.047777314670164  with dealing time: 64.2411515712738
627.png: NIQE=34.440159106089695  with dealing time: 66.54143929481506
6333.png: NIQE=66.58610831432601  with dealing time: 70.5865490436554
6340.png: NIQE=52.73943271848981  with dealing time: 68.81168580055237
643_img_.png: NIQE=42.35844462449131  with dealing time: 69.25502681732178
6527.png: NIQE=55.16345608660682  with dealing time: 67.42936611175537
7277.png: NIQE=48.90000680212041  with dealing time: 63.30319571495056
7291.png: NIQE=41.09986867319869  with dealing time: 66.60652422904968
770.png: NIQE=37.21128456134741  with dealing time: 68.51829695701599
866.png: NIQE=38.78580828446749  with dealing time: 70.10932183265686
880.png: NIQE=43.405787547716145  with dealing time: 69.67990350723267
9553.png: NIQE=42.38540050227482  with dealing time: 69.18018102645874
9602.png: NIQE=40.07392356966752  with dealing time: 64.79500579833984
9607.png: NIQE=39.81260558929342  with dealing time: 61.841593980789185
9618.png: NIQE=42.9395390827497  with dealing time: 62.40115475654602

60 Image Average: NIQE=44.820140210302434, TimePerImage=72.560971057415, SumTime = 4353.6582634449005s

