1.jpg: NIQE=43.4670313506739  with dealing time: 75.11888766288757
10.jpg: NIQE=35.264965666195806  with dealing time: 74.90355086326599
100.jpg: NIQE=40.79294528439246  with dealing time: 74.74775075912476
101.jpg: NIQE=36.416312093654966  with dealing time: 74.845632314682
102.jpg: NIQE=39.3055578252046  with dealing time: 76.8095703125
103.jpg: NIQE=38.36970461363999  with dealing time: 76.75110960006714
104.jpg: NIQE=39.128034379603044  with dealing time: 77.53178572654724
105.jpg: NIQE=52.50736404397835  with dealing time: 77.36561393737793
106.jpg: NIQE=50.6089343480402  with dealing time: 77.27493929862976
107.jpg: NIQE=35.50052797266386  with dealing time: 74.79077100753784
108.jpg: NIQE=42.96803147048922  with dealing time: 74.83514261245728
109.jpg: NIQE=43.01910186276244  with dealing time: 74.18316602706909
11.jpg: NIQE=34.44716717671717  with dealing time: 74.06146097183228
110.jpg: NIQE=55.47325759399262  with dealing time: 74.83890914916992
111.jpg: NIQE=47.92440006231796  with dealing time: 75.12615418434143
112.jpg: NIQE=42.727804330643785  with dealing time: 76.15624785423279
113.jpg: NIQE=43.51344973468466  with dealing time: 76.12648868560791
114.jpg: NIQE=51.0367493332375  with dealing time: 74.14072251319885
115.jpg: NIQE=57.439707726311674  with dealing time: 74.44850707054138
116.jpg: NIQE=38.85345328892857  with dealing time: 73.87468910217285
117.jpg: NIQE=38.886987891456094  with dealing time: 73.46590566635132
118.jpg: NIQE=48.34931119449154  with dealing time: 74.33093762397766
119.jpg: NIQE=40.51611106576026  with dealing time: 75.51906633377075
12.jpg: NIQE=33.907956173036986  with dealing time: 74.75255846977234
120.jpg: NIQE=42.44519133911296  with dealing time: 75.92675614356995
121.jpg: NIQE=42.60912489345658  with dealing time: 76.34627747535706
122.jpg: NIQE=41.89295061894318  with dealing time: 75.56307911872864
123.jpg: NIQE=37.88020165605452  with dealing time: 76.2359471321106
124.jpg: NIQE=39.7716086263151  with dealing time: 74.68711304664612
125.jpg: NIQE=41.490197495411685  with dealing time: 74.12719678878784
126.jpg: NIQE=41.150611158085184  with dealing time: 76.57083654403687
127.jpg: NIQE=42.92225620034843  with dealing time: 75.30358219146729
128.jpg: NIQE=42.88032235386932  with dealing time: 75.9877302646637
129.jpg: NIQE=40.790363966198946  with dealing time: 75.01249837875366
13.jpg: NIQE=32.85410526636726  with dealing time: 77.64226365089417
130.jpg: NIQE=42.40502065290535  with dealing time: 76.73255562782288
131.jpg: NIQE=43.21250148125051  with dealing time: 74.90352177619934
132.jpg: NIQE=39.565263170031365  with dealing time: 75.879310131073
133.jpg: NIQE=36.37008617682559  with dealing time: 78.97478675842285
134.jpg: NIQE=41.16447500536614  with dealing time: 77.93952131271362
135.jpg: NIQE=41.279859801334936  with dealing time: 76.94511198997498
136.jpg: NIQE=41.048000528788414  with dealing time: 70.35806727409363
137.jpg: NIQE=41.587492057163146  with dealing time: 68.71526527404785
138.jpg: NIQE=51.33735256515176  with dealing time: 69.69935917854309
139.jpg: NIQE=38.02112984755217  with dealing time: 70.9008252620697
14.jpg: NIQE=34.9072809877919  with dealing time: 70.58848571777344
140.jpg: NIQE=45.32551050706283  with dealing time: 70.26564049720764
141.jpg: NIQE=48.899677248987196  with dealing time: 66.59790754318237
142.jpg: NIQE=45.473391236228494  with dealing time: 68.74146938323975
143.jpg: NIQE=45.39031484780663  with dealing time: 68.83642625808716
144.jpg: NIQE=45.010499151982295  with dealing time: 69.74755573272705
145.jpg: NIQE=48.23286349262326  with dealing time: 69.23968458175659
146.jpg: NIQE=46.057316784427165  with dealing time: 68.47409272193909
147.jpg: NIQE=42.543389027839375  with dealing time: 66.73601984977722
148.jpg: NIQE=55.74126065476594  with dealing time: 61.37766361236572
149.jpg: NIQE=41.359327245366025  with dealing time: 66.26619052886963
15.jpg: NIQE=35.05919183793831  with dealing time: 61.142698764801025
150.jpg: NIQE=45.01760814674522  with dealing time: 60.846617221832275
151.jpg: NIQE=54.98047900815707  with dealing time: 57.19337224960327
152.jpg: NIQE=46.75286751185145  with dealing time: 60.316094398498535
153.jpg: NIQE=42.84159149452313  with dealing time: 58.48035478591919
154.jpg: NIQE=47.52954546576454  with dealing time: 57.2572135925293
155.jpg: NIQE=50.71507809516745  with dealing time: 59.14534258842468
156.jpg: NIQE=43.19875552339973  with dealing time: 61.19179725646973
157.jpg: NIQE=45.89119442922717  with dealing time: 69.83972096443176
158.jpg: NIQE=48.073271575058065  with dealing time: 66.99516701698303
159.jpg: NIQE=48.11028189456513  with dealing time: 71.23297142982483
16.jpg: NIQE=43.835459667917036  with dealing time: 68.00029063224792
160.jpg: NIQE=40.760018996663895  with dealing time: 61.50558137893677
161.jpg: NIQE=33.20930696635068  with dealing time: 67.22287464141846
162.jpg: NIQE=34.89864933068732  with dealing time: 65.42287969589233
163.jpg: NIQE=44.356722531219866  with dealing time: 60.09444856643677
164.jpg: NIQE=32.73178575444089  with dealing time: 64.86980652809143
165.jpg: NIQE=32.44184906668699  with dealing time: 69.37396955490112
166.jpg: NIQE=35.97089750954216  with dealing time: 68.4157361984253
167.jpg: NIQE=32.09051008281872  with dealing time: 62.10192537307739
168.jpg: NIQE=32.110918158651955  with dealing time: 61.51982116699219
169.jpg: NIQE=31.06544598719249  with dealing time: 63.08666658401489
17.jpg: NIQE=44.74738359088036  with dealing time: 66.15558981895447
170.jpg: NIQE=31.705433569000206  with dealing time: 71.7172782421112
171.jpg: NIQE=32.19707226237884  with dealing time: 64.09116792678833
172.jpg: NIQE=43.032460274491434  with dealing time: 59.93812108039856
173.jpg: NIQE=33.693398687673636  with dealing time: 61.9426109790802
174.jpg: NIQE=31.831193148149033  with dealing time: 61.60261130332947
