1.jpg: uiqm=0.7565729810538651, uciqe=0.5580191832689793
10.jpg: uiqm=0.9654886958702031, uciqe=0.5882967948977971
100.jpg: uiqm=1.1081506806413786, uciqe=0.5907521267927032
101.jpg: uiqm=1.0098551922077568, uciqe=0.5850039983466389
102.jpg: uiqm=0.8418958107053294, uciqe=0.6085047389707585
103.jpg: uiqm=1.1025344084358164, uciqe=0.5823355851621552
104.jpg: uiqm=1.1366900350918314, uciqe=0.5850741655531003
105.jpg: uiqm=0.7697023295450834, uciqe=0.5976792782494752
106.jpg: uiqm=0.7823523059481687, uciqe=0.5706666819933953
107.jpg: uiqm=1.0384582621235219, uciqe=0.5960492884875295
108.jpg: uiqm=0.9031799089086374, uciqe=0.5942968936116638
109.jpg: uiqm=0.990939914370292, uciqe=0.5928306594575019
11.jpg: uiqm=0.9978086238872145, uciqe=0.5911372135928872
110.jpg: uiqm=0.7821498436590291, uciqe=0.5962794005559069
111.jpg: uiqm=0.8312482741366605, uciqe=0.6097288923413045
112.jpg: uiqm=0.9876156985757049, uciqe=0.5896743417641346
113.jpg: uiqm=1.1014885817990625, uciqe=0.5935392079502214
114.jpg: uiqm=0.7101760725202223, uciqe=0.5959492718585438
115.jpg: uiqm=0.7383771996810257, uciqe=0.6022198731361327
116.jpg: uiqm=0.8906803854997045, uciqe=0.5785510744064968
117.jpg: uiqm=0.7773960808360754, uciqe=0.5824123231139152
118.jpg: uiqm=0.7520081187040679, uciqe=0.6497298102906752
119.jpg: uiqm=0.9554195989287569, uciqe=0.5890305985204679
12.jpg: uiqm=0.9897003710874654, uciqe=0.5917244593451796
120.jpg: uiqm=0.7822330607083244, uciqe=0.6024091424833712
121.jpg: uiqm=0.9327217630273996, uciqe=0.597391539215431
122.jpg: uiqm=1.03294072251914, uciqe=0.598628981075722
123.jpg: uiqm=0.8334221641955248, uciqe=0.5814414649412777
124.jpg: uiqm=0.8551788537518928, uciqe=0.5969304037718071
125.jpg: uiqm=0.8888618686526687, uciqe=0.600401198652675
126.jpg: uiqm=0.959579018264123, uciqe=0.5918824159972685
127.jpg: uiqm=1.1199974814831561, uciqe=0.5879482476038949
