1.png: uiqm=-0.14652400743874106, uciqe=0.6138618711145221
10.png: uiqm=1.372676605441641, uciqe=0.6110107053768344
11.png: uiqm=0.21482611738509627, uciqe=0.4882938448319868
12.png: uiqm=1.0483990500589673, uciqe=0.6050886352204689
13.png: uiqm=1.3452119899920434, uciqe=0.6870539964938653
14.png: uiqm=0.6913659358557366, uciqe=0.547600725931747
15.png: uiqm=0.9576722354590226, uciqe=0.5944557751873532
16.png: uiqm=1.1633068604987993, uciqe=0.4875525883827304
17.png: uiqm=0.9544993162511292, uciqe=0.5795399143944231
18.png: uiqm=0.9997916066223421, uciqe=0.6994170151802179
19.png: uiqm=0.8907862594015856, uciqe=0.7048432333828103
2.png: uiqm=0.7898501288251051, uciqe=0.5343849017537452
20.png: uiqm=0.49624745256075053, uciqe=0.5927268238837735
21.png: uiqm=1.0875683208430895, uciqe=0.738215177536093
22.png: uiqm=0.6155734948542214, uciqe=0.7074611844510308
23.png: uiqm=0.9871095566891235, uciqe=0.648287755080078
24.png: uiqm=1.0437222030472189, uciqe=0.5715778204382801
25.png: uiqm=0.8434532626652016, uciqe=0.7464985032531295
26.png: uiqm=0.4423844788186704, uciqe=0.5625908887916304
27.png: uiqm=1.0690183665056745, uciqe=0.6883098002369501
28.png: uiqm=0.8641477544576356, uciqe=0.6129311068346759
29.png: uiqm=1.00895412021777, uciqe=0.7453141692083568
3.png: uiqm=0.6813021243401776, uciqe=0.5375529110429422
30.png: uiqm=0.32203028744899165, uciqe=0.5588742174005357
31.png: uiqm=1.1597737110993853, uciqe=0.6219507672059038
32.png: uiqm=0.7880934136576979, uciqe=0.5668093772004774
33.png: uiqm=1.4150391052454498, uciqe=0.5952078328697226
34.png: uiqm=1.1988668726937803, uciqe=0.5853357512853199
35.png: uiqm=0.9126807555222831, uciqe=0.5685218771343117
36.png: uiqm=0.9995052522257913, uciqe=0.5673992769671956
37.png: uiqm=1.2783223962747412, uciqe=0.7024204797284482
38.png: uiqm=0.9353622379390262, uciqe=0.6094541217872862
39.png: uiqm=0.8400864039446372, uciqe=0.547475002791608
4.png: uiqm=-0.28476408906121775, uciqe=0.4498986229159705
40.png: uiqm=1.1692645983260666, uciqe=0.5354877403312726
41.png: uiqm=0.9266975985622729, uciqe=0.5514443303851264
42.png: uiqm=0.20515223686027162, uciqe=0.4761286534774626
43.png: uiqm=0.9681229191963278, uciqe=0.5390235873397637
44.png: uiqm=1.1448044537961097, uciqe=0.6103650761504962
45.png: uiqm=1.3320073230317513, uciqe=0.620123113153573
5.png: uiqm=0.152645498770282, uciqe=0.5072683685174189
6.png: uiqm=0.36344484177381353, uciqe=0.5710155438455562
7.png: uiqm=0.5071485606675475, uciqe=0.57685232798324
8.png: uiqm=0.44121990226093166, uciqe=0.4078465514314228
9.png: uiqm=0.9258568120569477, uciqe=0.5655521684836327

Average: uiqm=0.8249489850143369, uciqe=0.5919783141420752

