1.jpg: NIQE=24.218833799371996  with dealing time: 64.3668303489685
10.jpg: NIQE=22.77624570349221  with dealing time: 79.34158325195312
100.jpg: NIQE=22.89972116961873  with dealing time: 77.8537015914917
101.jpg: NIQE=21.300044501353145  with dealing time: 74.69625473022461
102.jpg: NIQE=26.55195384577409  with dealing time: 86.21984362602234
103.jpg: NIQE=26.191433367424974  with dealing time: 101.69849038124084
104.jpg: NIQE=26.82874623420848  with dealing time: 97.74762916564941
105.jpg: NIQE=30.57132483947622  with dealing time: 99.42305326461792
106.jpg: NIQE=29.21724160494296  with dealing time: 103.26013731956482
107.jpg: NIQE=23.768438523705495  with dealing time: 105.04165983200073
108.jpg: NIQE=24.252763432930053  with dealing time: 95.7175829410553
109.jpg: NIQE=26.871633618552124  with dealing time: 91.39445424079895
11.jpg: NIQE=24.360267599936865  with dealing time: 95.4429657459259
110.jpg: NIQE=31.74910871939941  with dealing time: 96.72767043113708
111.jpg: NIQE=29.78501545172634  with dealing time: 96.70719122886658
112.jpg: NIQE=26.764884292072523  with dealing time: 92.04455590248108
113.jpg: NIQE=24.97012371437039  with dealing time: 89.6601333618164
114.jpg: NIQE=30.63387414357017  with dealing time: 95.73594641685486
115.jpg: NIQE=31.865478062068544  with dealing time: 106.27365565299988
116.jpg: NIQE=22.004062468957166  with dealing time: 104.62930870056152
117.jpg: NIQE=23.05044425976499  with dealing time: 95.52858281135559
118.jpg: NIQE=35.35908065482561  with dealing time: 95.76594805717468
119.jpg: NIQE=24.58004757893691  with dealing time: 93.16457486152649
12.jpg: NIQE=23.956057168125216  with dealing time: 91.22542786598206
120.jpg: NIQE=25.31999814074821  with dealing time: 77.5420310497284
121.jpg: NIQE=20.665469861394286  with dealing time: 77.68673181533813
122.jpg: NIQE=21.613691699129276  with dealing time: 76.20710825920105
123.jpg: NIQE=21.894609403834185  with dealing time: 71.75164031982422
124.jpg: NIQE=22.32832177325821  with dealing time: 74.08178377151489
125.jpg: NIQE=25.00550320251752  with dealing time: 80.83866500854492
126.jpg: NIQE=22.8383974328033  with dealing time: 75.57805037498474
127.jpg: NIQE=22.277073214197035  with dealing time: 75.69637107849121
128.jpg: NIQE=22.851027531623338  with dealing time: 74.61494302749634
129.jpg: NIQE=22.25145745702417  with dealing time: 74.15336728096008
13.jpg: NIQE=23.52592369331453  with dealing time: 78.97385549545288
130.jpg: NIQE=20.705257483646367  with dealing time: 82.4583170413971
131.jpg: NIQE=26.12786991679606  with dealing time: 81.21876835823059
132.jpg: NIQE=22.11934758635599  with dealing time: 79.36508226394653
133.jpg: NIQE=24.933354025031566  with dealing time: 84.98221588134766
134.jpg: NIQE=20.342936823176064  with dealing time: 78.47084188461304
135.jpg: NIQE=22.39468645792052  with dealing time: 75.83921313285828
136.jpg: NIQE=22.909417041363877  with dealing time: 77.54622602462769
137.jpg: NIQE=23.20893414340319  with dealing time: 75.18435001373291
138.jpg: NIQE=31.810173328994107  with dealing time: 105.40897989273071
139.jpg: NIQE=23.64399317452902  with dealing time: 100.72106266021729
14.jpg: NIQE=21.53658413387078  with dealing time: 112.33420634269714
140.jpg: NIQE=28.619630861945556  with dealing time: 98.65804481506348
141.jpg: NIQE=29.60660712921139  with dealing time: 104.35858154296875
142.jpg: NIQE=28.74693630086105  with dealing time: 107.79734110832214
143.jpg: NIQE=34.149772323113275  with dealing time: 107.72601532936096
144.jpg: NIQE=32.67397906674447  with dealing time: 126.25072908401489
145.jpg: NIQE=37.025477955800916  with dealing time: 99.93460965156555
146.jpg: NIQE=22.640943226191265  with dealing time: 109.0805299282074
147.jpg: NIQE=21.51852877817594  with dealing time: 117.07318425178528
148.jpg: NIQE=29.373869837325362  with dealing time: 103.1279513835907
149.jpg: NIQE=21.397384938365498  with dealing time: 90.73379325866699
15.jpg: NIQE=21.089773421786155  with dealing time: 84.82927060127258
150.jpg: NIQE=25.340257855291693  with dealing time: 78.45572757720947
151.jpg: NIQE=29.960492939563245  with dealing time: 77.84393405914307
152.jpg: NIQE=25.03475013371249  with dealing time: 83.25632977485657
153.jpg: NIQE=24.80742048762905  with dealing time: 84.74898338317871
154.jpg: NIQE=29.12545261159326  with dealing time: 93.06954860687256
155.jpg: NIQE=38.848096670528925  with dealing time: 103.2372477054596
156.jpg: NIQE=27.50875629070839  with dealing time: 116.03675246238708
157.jpg: NIQE=27.029331437164245  with dealing time: 88.94125270843506
158.jpg: NIQE=26.33061439667413  with dealing time: 94.32286643981934
159.jpg: NIQE=26.03188682813199  with dealing time: 109.75344061851501
16.jpg: NIQE=26.6393089126352  with dealing time: 89.06984114646912
160.jpg: NIQE=22.8925622139844  with dealing time: 75.68644833564758
161.jpg: NIQE=25.259235038927358  with dealing time: 103.12363910675049
162.jpg: NIQE=24.958503160406696  with dealing time: 93.37291359901428
163.jpg: NIQE=26.78391439182293  with dealing time: 68.63585424423218
164.jpg: NIQE=24.02437464592918  with dealing time: 101.33774709701538
165.jpg: NIQE=21.30190944534532  with dealing time: 112.81433153152466
166.jpg: NIQE=24.097898491644695  with dealing time: 110.09619855880737
167.jpg: NIQE=22.76116069331479  with dealing time: 97.01910138130188
168.jpg: NIQE=23.61361576193413  with dealing time: 110.86484122276306
169.jpg: NIQE=24.18789257604382  with dealing time: 122.8003420829773
17.jpg: NIQE=25.175431269901548  with dealing time: 112.02220869064331
