1.jpg: uiqm=0.755607447152346, uciqe=0.5534569679710932
10.jpg: uiqm=0.9528406164180462, uciqe=0.5945945427318696
100.jpg: uiqm=1.2054043975048592, uciqe=0.5803971731511581
101.jpg: uiqm=1.0246858612884302, uciqe=0.5898115967675501
102.jpg: uiqm=0.8898254986162228, uciqe=0.611569581999452
103.jpg: uiqm=1.069701798980803, uciqe=0.5852779190529841
104.jpg: uiqm=1.1192773995074288, uciqe=0.5844196652087971
105.jpg: uiqm=0.7935323894814832, uciqe=0.592713236016108
106.jpg: uiqm=0.7745423404994787, uciqe=0.5670039976557096
107.jpg: uiqm=1.1438733381974973, uciqe=0.5865180832380206
108.jpg: uiqm=0.9547761203503489, uciqe=0.5923239329236919
109.jpg: uiqm=1.0801001995643638, uciqe=0.5901215725647883
11.jpg: uiqm=0.955029531762206, uciqe=0.5953250840954258
110.jpg: uiqm=0.7859946659960872, uciqe=0.5843576127050493
111.jpg: uiqm=0.8097949702889646, uciqe=0.602916722238847
112.jpg: uiqm=1.0879953178780997, uciqe=0.5876486417204729
113.jpg: uiqm=1.1663974081166244, uciqe=0.591113722127635
114.jpg: uiqm=0.7634294541950364, uciqe=0.5925788328097251
115.jpg: uiqm=0.7003942938986985, uciqe=0.6001426851274267
116.jpg: uiqm=1.0792927649642186, uciqe=0.5690892218491326
117.jpg: uiqm=0.9860568490723055, uciqe=0.5719528416626527
118.jpg: uiqm=0.7749083722069244, uciqe=0.6399388491110923
119.jpg: uiqm=0.9797823167622499, uciqe=0.583951975875059
12.jpg: uiqm=0.967708980410063, uciqe=0.5977228853907232
120.jpg: uiqm=0.9157308355724147, uciqe=0.6017621285641993
121.jpg: uiqm=1.0105249669558436, uciqe=0.5999880965739114
122.jpg: uiqm=1.1225215029107742, uciqe=0.6013922055582057
123.jpg: uiqm=0.9301344838071102, uciqe=0.5836198450258111
124.jpg: uiqm=0.8845383939057305, uciqe=0.5955648932830431
125.jpg: uiqm=0.9750242680175658, uciqe=0.598356889464628
126.jpg: uiqm=0.9877960275868405, uciqe=0.5901939835422297
127.jpg: uiqm=1.1394684681240277, uciqe=0.5733445829015724
128.jpg: uiqm=1.100990778331112, uciqe=0.5962616988623931
129.jpg: uiqm=1.097142363177027, uciqe=0.6013639252487752
13.jpg: uiqm=0.9635208440328547, uciqe=0.5963374313976875
130.jpg: uiqm=1.0957749040013813, uciqe=0.5977210683937868
131.jpg: uiqm=1.047036589859335, uciqe=0.6054757874895271
132.jpg: uiqm=1.0842731673516366, uciqe=0.5924724523621399
133.jpg: uiqm=0.7999724937122785, uciqe=0.5832544525822076
134.jpg: uiqm=1.1455327519353729, uciqe=0.5783723199545807
135.jpg: uiqm=1.2188448085654073, uciqe=0.5965810467968726
136.jpg: uiqm=1.1927383486774725, uciqe=0.5949772927469914
137.jpg: uiqm=1.0915729683558681, uciqe=0.6042691765958155
138.jpg: uiqm=0.7639900635091559, uciqe=0.5855580124352311
139.jpg: uiqm=0.7974490559932914, uciqe=0.5806696679883306
14.jpg: uiqm=0.8861722601902151, uciqe=0.5926609241212495
140.jpg: uiqm=0.8777074094266026, uciqe=0.6076925020071086
141.jpg: uiqm=0.9514382106079765, uciqe=0.5648008733955789
142.jpg: uiqm=0.9378238134296384, uciqe=0.5933305169816634
143.jpg: uiqm=0.7681767228627825, uciqe=0.5796297396874229
144.jpg: uiqm=0.8035079261209143, uciqe=0.5999224236039397
145.jpg: uiqm=0.7703577847663755, uciqe=0.601508960191308
146.jpg: uiqm=0.8222345988012604, uciqe=0.5891656941550121
147.jpg: uiqm=0.7215061885865076, uciqe=0.5840983811183138
148.jpg: uiqm=0.9552867445349482, uciqe=0.5644220297113025
149.jpg: uiqm=0.5204665094528049, uciqe=0.5416785808524107
15.jpg: uiqm=0.911106801531738, uciqe=0.5863363326087714
150.jpg: uiqm=0.524391944701128, uciqe=0.543109227538092
151.jpg: uiqm=0.9185316392164486, uciqe=0.5661938313640549
152.jpg: uiqm=0.5181446172096114, uciqe=0.5432943584664298
153.jpg: uiqm=0.9076580224296393, uciqe=0.5652641983246445
154.jpg: uiqm=0.9194342167876945, uciqe=0.5693414574320592
155.jpg: uiqm=0.4323580508282817, uciqe=0.5131534069797621
156.jpg: uiqm=0.9263926165926428, uciqe=0.589735259430101
157.jpg: uiqm=0.5051356054966047, uciqe=0.5608863344502273
158.jpg: uiqm=0.520419238248148, uciqe=0.5650668188069042
159.jpg: uiqm=0.7925236394886079, uciqe=0.5843215009145529
16.jpg: uiqm=0.9818868658100856, uciqe=0.5480963441991087
160.jpg: uiqm=0.577428012494756, uciqe=0.5556014175193821
161.jpg: uiqm=0.8703910922447717, uciqe=0.5957789314341904
162.jpg: uiqm=0.88138481923427, uciqe=0.5967369078668425
163.jpg: uiqm=0.9409358908900507, uciqe=0.597560904750593
164.jpg: uiqm=0.8812224795701199, uciqe=0.5865405497035816
165.jpg: uiqm=0.8685875810260877, uciqe=0.5811278139671778
166.jpg: uiqm=0.8929351739240963, uciqe=0.5822993531110595
167.jpg: uiqm=0.8982831018872433, uciqe=0.5800818310950747
168.jpg: uiqm=0.8721504489384675, uciqe=0.5776366334950763
