1.png: NIQE=57.28498990193687  with dealing time: 82.52505087852478
10.png: NIQE=49.69090894861767  with dealing time: 75.30893874168396
11.png: NIQE=54.57311065109995  with dealing time: 79.50293684005737
12.png: NIQE=47.49235950292291  with dealing time: 69.87020874023438
13.png: NIQE=35.12035968315413  with dealing time: 75.76386713981628
14.png: NIQE=49.728424588450764  with dealing time: 86.52787327766418
15.png: NIQE=42.817838324941135  with dealing time: 69.34373807907104
16.png: NIQE=49.318797979340964  with dealing time: 67.38569235801697
17.png: NIQE=33.7802262597594  with dealing time: 76.75600790977478
18.png: NIQE=49.307154335724896  with dealing time: 78.56854557991028
19.png: NIQE=43.346805800470044  with dealing time: 79.0576331615448
2.png: NIQE=52.78016967122816  with dealing time: 71.1573235988617
20.png: NIQE=46.05251102937334  with dealing time: 73.7733736038208
21.png: NIQE=39.32821815157387  with dealing time: 77.86413359642029
22.png: NIQE=37.76683252229375  with dealing time: 79.11890006065369
23.png: NIQE=42.120753200681754  with dealing time: 77.08733606338501
24.png: NIQE=43.246738321191756  with dealing time: 90.16202664375305
25.png: NIQE=61.52508175256485  with dealing time: 80.54250431060791
26.png: NIQE=48.22358892476317  with dealing time: 76.61189532279968
27.png: NIQE=38.123115530370775  with dealing time: 85.4643006324768
28.png: NIQE=41.66672705661912  with dealing time: 77.90398645401001
29.png: NIQE=97.43177283010631  with dealing time: 69.41362023353577
3.png: NIQE=47.64148375398129  with dealing time: 73.03456354141235
30.png: NIQE=62.0314333435784  with dealing time: 74.87641215324402
31.png: NIQE=37.531433511304435  with dealing time: 69.34074664115906
32.png: NIQE=33.65459391387954  with dealing time: 65.73501300811768
33.png: NIQE=38.37140997853881  with dealing time: 65.64494013786316
34.png: NIQE=36.496017331839326  with dealing time: 65.11371779441833
35.png: NIQE=36.2465223905678  with dealing time: 64.53560733795166
36.png: NIQE=37.58238895378941  with dealing time: 64.03121280670166
37.png: NIQE=31.918333467441155  with dealing time: 68.70699334144592
38.png: NIQE=36.63536465578498  with dealing time: 71.01620173454285
39.png: NIQE=36.545331304461236  with dealing time: 66.58089280128479
4.png: NIQE=51.33263263073306  with dealing time: 70.96905589103699
40.png: NIQE=33.95995837801213  with dealing time: 66.25362014770508
41.png: NIQE=35.787587453422475  with dealing time: 66.51108479499817
42.png: NIQE=39.497569806602286  with dealing time: 69.02852511405945
43.png: NIQE=33.863229455083705  with dealing time: 68.09547829627991
44.png: NIQE=32.55230308343493  with dealing time: 69.61561870574951
45.png: NIQE=33.24514487397031  with dealing time: 67.4767119884491
5.png: NIQE=45.06671826199303  with dealing time: 69.00987505912781
6.png: NIQE=52.50267229728514  with dealing time: 70.35290360450745
7.png: NIQE=44.25151797711541  with dealing time: 64.80966114997864
8.png: NIQE=71.05782696411516  with dealing time: 65.48510217666626
9.png: NIQE=41.95941262250937  with dealing time: 65.26911520957947

45 Image Average: NIQE=44.6768304750362, TimePerImage=72.47117659250895, SumTime = 3261.202946662903s

