12433.png: uiqm=0.7472676676466943, uciqe=0.5726085280720457
149.png: uiqm=-0.0827587534048827, uciqe=0.538807699030554
161.png: uiqm=0.3527108014973467, uciqe=0.5612823511630878
264574_00031858.png: uiqm=1.4473828591749114, uciqe=0.5842333604933785
264734_00038535.png: uiqm=0.6969537528401175, uciqe=0.6156993687453183
265119_00013763.png: uiqm=0.16310767753296607, uciqe=0.5700745648435591
265130_00031309.png: uiqm=0.6667001306997257, uciqe=0.5773069815589403
265344_00029330.png: uiqm=0.6522727079814264, uciqe=0.5722501546773248
306_img_.png: uiqm=0.22051734137642443, uciqe=0.5571903098612475
332_img_.png: uiqm=0.4834924492263969, uciqe=0.6070217623009766
3330.png: uiqm=0.5696517910096394, uciqe=0.6507614802379391
36.png: uiqm=0.40952190221356644, uciqe=0.538312033796897
387_img_.png: uiqm=0.8421074777705421, uciqe=0.620168140755275
757_img_.png: uiqm=1.0864945426920056, uciqe=0.5974185602480198
819_img_.png: uiqm=0.9995543036544459, uciqe=0.5842481990770877
96.png: uiqm=0.9077788007098082, uciqe=0.5428699892048503
GI_1.png: uiqm=0.5769620606687937, uciqe=0.4854269278265003
GI_16.png: uiqm=0.18918603892539376, uciqe=0.5622927211939297
GI_2.png: uiqm=0.9663139804321585, uciqe=0.5217172660833401
GI_22.png: uiqm=0.28867513653050647, uciqe=0.5597384454871414
GI_29.png: uiqm=0.41908427168027884, uciqe=0.5033604369549415
GI_33.png: uiqm=0.9945833748898987, uciqe=0.6305870577331915
GI_35.png: uiqm=0.5697126640050167, uciqe=0.681157351430919
GI_43.png: uiqm=0.5990919791889987, uciqe=0.6443603884725448
GI_7.png: uiqm=1.3392159599098301, uciqe=0.537051296433247
GI_78.png: uiqm=0.34033777189649794, uciqe=0.5414287937528625
GI_8.png: uiqm=1.3818498560365606, uciqe=0.526028823831205
GI_95.png: uiqm=0.3528538107702639, uciqe=0.5198327864945079
gmn_5017up.png: uiqm=1.0300438249820263, uciqe=0.594951900259261
gmn_5029up.png: uiqm=0.5279181350685546, uciqe=0.6270890622042637
gmn_5148up.png: uiqm=0.46293328011247403, uciqe=0.652621752897153
gmn_5183up.png: uiqm=0.668312700995352, uciqe=0.5671777396345932
gmn_5185up.png: uiqm=0.9848939614244899, uciqe=0.6326897473473542
gmn_5228up.png: uiqm=0.9881911132769478, uciqe=0.5642155111148681
gmn_7856up.png: uiqm=1.127189444600233, uciqe=0.6151488582544926
gmn_7919up.png: uiqm=0.5749849680680083, uciqe=0.5430698895151019
im_f1582_.png: uiqm=1.4580413015298712, uciqe=0.5929686361100572
im_f2253_.png: uiqm=0.8342272507832373, uciqe=0.558298702969478
n01496331_1010.png: uiqm=0.6122387966475703, uciqe=0.5353751191704521
n01496331_2044.png: uiqm=0.7429205054737155, uciqe=0.5908409000273571
n01914609_1112.png: uiqm=0.7217290963427482, uciqe=0.595392231506061
n01914609_11380.png: uiqm=0.8736612890619169, uciqe=0.552450180516762
n01914609_13222.png: uiqm=1.1288465589670957, uciqe=0.5531531767246878
n01914609_13909.png: uiqm=1.4936685940982497, uciqe=0.5724275566946252
n01914609_1437.png: uiqm=0.5385400857319493, uciqe=0.6252009746045215
n01914609_1980.png: uiqm=0.9274623432702684, uciqe=0.5786887199272885
n01914609_2054.png: uiqm=0.6574236408284166, uciqe=0.5555157253588827
n01914609_7919.png: uiqm=0.761186331673393, uciqe=0.5805936040863651
n02607072_2382.png: uiqm=0.492658736899908, uciqe=0.5593661492947819
n02607072_5845.png: uiqm=0.6186248060889982, uciqe=0.5427394826654068
n02607072_931.png: uiqm=0.7367739971691476, uciqe=0.5605994999464674
NF_1.png: uiqm=0.3325747568196853, uciqe=0.6190433219597932
NF_10.png: uiqm=0.37184020244743554, uciqe=0.5572745949600478
NF_100.png: uiqm=0.8416975715419333, uciqe=0.5219036610732462
NF_110.png: uiqm=0.11376311592911226, uciqe=0.5373545236229001
NF_116.png: uiqm=0.2476086063197076, uciqe=0.4937447548701933
NF_123.png: uiqm=-0.10169795562965134, uciqe=0.5072530238441854
NF_124.png: uiqm=0.7163432521491588, uciqe=0.5360185250133935
NF_13.png: uiqm=0.22036854153584717, uciqe=0.3955769156439326
NF_14.png: uiqm=-0.2656327278763685, uciqe=0.3882603340681135
NF_141.png: uiqm=0.976333372953407, uciqe=0.5505769331464634
NF_147.png: uiqm=0.575773698782386, uciqe=0.5486320323758774
NF_148.png: uiqm=0.5083649125902812, uciqe=0.5740076370528261
NF_166.png: uiqm=0.587587513994984, uciqe=0.5084532841463142
NF_171.png: uiqm=0.7891574916009246, uciqe=0.5462113447849056
NF_172.png: uiqm=0.23360632838695405, uciqe=0.5251562071568091
NF_174.png: uiqm=0.7238705417259509, uciqe=0.5313815114728935
NF_177.png: uiqm=0.6151471694164908, uciqe=0.5493085094047463
NF_194.png: uiqm=-0.2504161336489974, uciqe=0.6303343144273229
NF_195.png: uiqm=-0.12811071505091576, uciqe=0.5501448614483649
NF_2.png: uiqm=0.001652241487691164, uciqe=0.5789939936234679
NF_201.png: uiqm=0.2360559169594354, uciqe=0.561931505138145
NF_209.png: uiqm=0.7573937506720062, uciqe=0.6141959142611959
NF_213.png: uiqm=0.7131053564697087, uciqe=0.568992526270789
NF_215.png: uiqm=0.3921330932694922, uciqe=0.5274930714803719
NF_218.png: uiqm=0.7573685223671349, uciqe=0.4977969603360508
NF_231.png: uiqm=0.7795105026290443, uciqe=0.5317394213156021
NF_241.png: uiqm=0.8401663227417225, uciqe=0.5123897007390441
NF_242.png: uiqm=0.3885887283203098, uciqe=0.5339187136162842
NF_252.png: uiqm=0.007079038236352031, uciqe=0.5199652994954717
NF_26.png: uiqm=-0.14845663697408418, uciqe=0.45219718305362944
NF_280.png: uiqm=0.3667824990795002, uciqe=0.652910466300961
NF_285.png: uiqm=0.7660545533408754, uciqe=0.622286971038434
NF_287.png: uiqm=0.25278973676367866, uciqe=0.5523662825354376
NF_313.png: uiqm=0.5452324231101361, uciqe=0.5669720726862776
NF_32.png: uiqm=0.22060802114801303, uciqe=0.4791343623132982
NF_363.png: uiqm=0.5640505841011301, uciqe=0.4815349373738477
NF_364.png: uiqm=0.7871543469729925, uciqe=0.5464626048909559
NF_387.png: uiqm=0.45817798831040435, uciqe=0.5236901471431934
NF_410.png: uiqm=0.37665398837480624, uciqe=0.5370338366271662
NF_417.png: uiqm=0.20670428943824914, uciqe=0.5277309860718222
NF_466.png: uiqm=0.737967203015456, uciqe=0.5468109136022281
NF_470.png: uiqm=0.7279137931210097, uciqe=0.5603777823454585
NF_507.png: uiqm=-0.07533294265129786, uciqe=0.6147375952133244
NF_512.png: uiqm=0.6957347200634043, uciqe=0.6113455990433649
NF_518.png: uiqm=0.7810926902474503, uciqe=0.5928817601474264
NF_52.png: uiqm=0.23178965434979593, uciqe=0.5286318005854598
NF_56.png: uiqm=-0.23397433279170565, uciqe=0.547328421711789
NF_57.png: uiqm=0.7723335155029785, uciqe=0.5417797645493521
NF_60.png: uiqm=-0.007035442192676711, uciqe=0.5640943024669101
