104_img_: PSNR=27.674226704850135 SSIM=0.9281612130764682 UIQM=0.24593582821472926 UCIQE=0.5995680079706658
10_img_: PSNR=15.950064444893945 SSIM=0.2900149131712682 UIQM=0.08184489628248365 UCIQE=0.6401947621172539
111_img_: PSNR=27.570083263843298 SSIM=0.9470860518039903 UIQM=0.13993160460916365 UCIQE=0.5636165412637364
112_img_: PSNR=23.466971621235786 SSIM=0.8178075683921862 UIQM=0.3642568307316699 UCIQE=0.6188048912237025
11_img_: PSNR=18.980594155393636 SSIM=0.7513306204264003 UIQM=0.5909688934200181 UCIQE=0.6402756894232194
13_img_: PSNR=19.937399645078614 SSIM=0.7827354515241709 UIQM=0.599993318513783 UCIQE=0.6140333189126955
14_img_: PSNR=26.365642010817805 SSIM=0.8831163912512899 UIQM=0.6880418115412921 UCIQE=0.6704503847011332
15003: PSNR=24.493850937804535 SSIM=0.9300374571824424 UIQM=-0.1160040567624756 UCIQE=0.4503180560745105
150_img_: PSNR=25.269120325451944 SSIM=0.8703791826524959 UIQM=0.6196099227422236 UCIQE=0.6328022035737522
15544: PSNR=24.882315835844906 SSIM=0.8564456087283769 UIQM=0.19956318301874543 UCIQE=0.535520836115597
15_img_: PSNR=19.122460089561617 SSIM=0.6970038501167701 UIQM=0.9348636566644306 UCIQE=0.6685137319485568
169_img_: PSNR=18.070994018182454 SSIM=0.49576112614406564 UIQM=1.3004063161264232 UCIQE=0.5810037279947856
16_img_: PSNR=20.197288098196115 SSIM=0.6238531395541368 UIQM=0.9034636008334508 UCIQE=0.6154049438143435
17_img_: PSNR=21.290806673802606 SSIM=0.7840764249794826 UIQM=1.1551215480486825 UCIQE=0.6095175943493739
18_img_: PSNR=19.741669472599554 SSIM=0.5204863096871128 UIQM=0.7328194374239393 UCIQE=0.55280643864673
19_img_: PSNR=18.995115695763527 SSIM=0.6925568148350351 UIQM=0.8618131355454726 UCIQE=0.6243269350663028
20: PSNR=20.848394543877674 SSIM=0.6863984809778068 UIQM=0.9696247947826122 UCIQE=0.6226105936502238
22_img_: PSNR=22.83971852638284 SSIM=0.8859348222447714 UIQM=0.8460173004456447 UCIQE=0.6500360189022916
