100001.png: NIQE=58.30526245234024  with dealing time: 85.71778225898743
10091.png: NIQE=33.10480942319946  with dealing time: 81.71819710731506
10103.png: NIQE=41.44141892140763  with dealing time: 107.80980134010315
10167.png: NIQE=38.92543141935688  with dealing time: 116.6637830734253
102.png: NIQE=35.742161119446656  with dealing time: 108.30292320251465
10226.png: NIQE=35.22013047673334  with dealing time: 105.2233567237854
10475.png: NIQE=51.724558503300614  with dealing time: 97.28651571273804
10488.png: NIQE=45.9246111551518  with dealing time: 96.67801451683044
12191.png: NIQE=37.304720478909644  with dealing time: 86.37543439865112
12203.png: NIQE=35.452998896497334  with dealing time: 98.74513387680054
12228.png: NIQE=41.00398093718166  with dealing time: 93.47298812866211
12565.png: NIQE=41.5206300626925  with dealing time: 96.5388126373291
12577.png: NIQE=36.9274696997053  with dealing time: 93.13419008255005
12625.png: NIQE=43.86657738146077  with dealing time: 104.39946484565735
12709.png: NIQE=42.045376760734534  with dealing time: 93.38504719734192
12753.png: NIQE=43.841295713908266  with dealing time: 88.55784845352173
12960.png: NIQE=61.17404980597742  with dealing time: 94.4265627861023
12972.png: NIQE=46.01475025511527  with dealing time: 101.92746877670288
13252.png: NIQE=49.39324068921286  with dealing time: 94.90831232070923
13259.png: NIQE=44.18648344865845  with dealing time: 85.68933534622192
15603.png: NIQE=35.961741735856215  with dealing time: 91.81901597976685
15735.png: NIQE=37.948103406499314  with dealing time: 89.72264885902405
15738.png: NIQE=38.055566974124034  with dealing time: 96.75850129127502
15740.png: NIQE=56.429773426204974  with dealing time: 98.86377763748169
15774.png: NIQE=56.469602037386565  with dealing time: 89.16820096969604
15775.png: NIQE=52.94234352742046  with dealing time: 91.53274154663086
2.png: NIQE=42.57935931428883  with dealing time: 85.6176245212555
2575.png: NIQE=39.148588412676084  with dealing time: 88.50465369224548
2583.png: NIQE=43.2665394588901  with dealing time: 86.1757652759552
2856.png: NIQE=37.37139505421718  with dealing time: 84.11664009094238
3027.png: NIQE=35.46555100479068  with dealing time: 81.02267384529114
3051.png: NIQE=35.96447081494773  with dealing time: 88.43561625480652
3087.png: NIQE=37.11929041121822  with dealing time: 85.99464917182922
3175.png: NIQE=48.87077288662427  with dealing time: 96.75776505470276
3201.png: NIQE=42.724307575317454  with dealing time: 98.28255128860474
3279.png: NIQE=44.67444647706464  with dealing time: 94.09338021278381
34.png: NIQE=36.6992225970557  with dealing time: 86.73187947273254
3494.png: NIQE=38.61373434204312  with dealing time: 89.29269862174988
3519.png: NIQE=42.24070140606387  with dealing time: 94.72802495956421
358_img_.png: NIQE=47.12409120527213  with dealing time: 91.67307329177856
432.png: NIQE=61.16853251303711  with dealing time: 94.82332801818848
5.png: NIQE=51.086627079327315  with dealing time: 93.85658645629883
52.png: NIQE=34.98347825652146  with dealing time: 87.8030800819397
579.png: NIQE=36.259858470659196  with dealing time: 85.98317241668701
605.png: NIQE=38.917842663282  with dealing time: 79.8243453502655
616.png: NIQE=34.58152678099556  with dealing time: 73.79237341880798
627.png: NIQE=33.56834236921728  with dealing time: 77.1226966381073
6333.png: NIQE=75.0034696004876  with dealing time: 82.88264179229736
6340.png: NIQE=51.789911623740494  with dealing time: 84.84247279167175
643_img_.png: NIQE=34.55673501689322  with dealing time: 83.49316716194153
6527.png: NIQE=45.21588588340735  with dealing time: 88.10269927978516
7277.png: NIQE=44.16841379794002  with dealing time: 74.12731528282166
7291.png: NIQE=40.48073327390682  with dealing time: 75.04768919944763
770.png: NIQE=39.306351391042135  with dealing time: 89.13255643844604
866.png: NIQE=47.681225791988034  with dealing time: 88.0353147983551
880.png: NIQE=42.740158915552236  with dealing time: 89.71295857429504
9553.png: NIQE=45.57244669007449  with dealing time: 87.20786261558533
9602.png: NIQE=39.87571502883178  with dealing time: 82.55792784690857
9607.png: NIQE=35.80639086791477  with dealing time: 78.17232179641724
9618.png: NIQE=37.215734123073794  with dealing time: 72.09493947029114

60 Image Average: NIQE=43.04614899678075, TimePerImage=90.14780507087707, SumTime = 5408.8683042526245s

