100001.png: uiqm=0.0274579350559489, uciqe=0.540960768971851
10091.png: uiqm=0.5166822852797047, uciqe=0.5845968891785154
10103.png: uiqm=0.8649814688530445, uciqe=0.6060165955272799
10167.png: uiqm=0.2635389619986623, uciqe=0.6460304839796848
102.png: uiqm=0.23980937523930912, uciqe=0.5419072349563638
10226.png: uiqm=0.4318243865621151, uciqe=0.5896350863725641
10475.png: uiqm=0.416087667432512, uciqe=0.5600140244543388
10488.png: uiqm=0.6012088075691635, uciqe=0.5967235815353613
12191.png: uiqm=0.9079204126495999, uciqe=0.5460356864472788
12203.png: uiqm=0.6901957805012717, uciqe=0.5528264084172269
12228.png: uiqm=0.3571547676259949, uciqe=0.4736035807480725
12565.png: uiqm=0.7799641803542665, uciqe=0.5527465075822832
12577.png: uiqm=0.9301106925684551, uciqe=0.5304204683688271
12625.png: uiqm=0.3095219717005653, uciqe=0.5012213362357433
12709.png: uiqm=0.4926638541393773, uciqe=0.5500948701426013
12753.png: uiqm=-0.12905556194350062, uciqe=0.48784960847087583
12960.png: uiqm=0.24573840750518233, uciqe=0.569015155147284
12972.png: uiqm=0.37872642427218267, uciqe=0.6385916591023952
13252.png: uiqm=0.10616638774000131, uciqe=0.5890773817609304
13259.png: uiqm=0.7808829522561819, uciqe=0.5949175984291687
15603.png: uiqm=-0.05253893673033311, uciqe=0.49535666489628677
15735.png: uiqm=-0.16551412546873304, uciqe=0.44040358526643975
15738.png: uiqm=0.008260054868809208, uciqe=0.5161078550939284
15740.png: uiqm=0.2898204685605768, uciqe=0.5207091616025847
15774.png: uiqm=0.648391523272777, uciqe=0.592642023778799
15775.png: uiqm=0.1364180200483282, uciqe=0.4210272880881246
2.png: uiqm=0.7415487101833784, uciqe=0.5799752762353699
2575.png: uiqm=0.535130806738509, uciqe=0.6366256140232942
2583.png: uiqm=0.3704344192239773, uciqe=0.642808528796386
2856.png: uiqm=0.39001302380745, uciqe=0.5798464902482985
3027.png: uiqm=0.48538646013249437, uciqe=0.5787041967843429
3051.png: uiqm=0.48466154158903474, uciqe=0.5906657294851934
3087.png: uiqm=0.7476773443824439, uciqe=0.5986031070311653
3175.png: uiqm=0.24053454365279342, uciqe=0.5009898993904671
3201.png: uiqm=0.44520472057882543, uciqe=0.5637553958134347
3279.png: uiqm=0.5696932635273685, uciqe=0.5479840294773479
34.png: uiqm=0.3610939017598037, uciqe=0.6588114555031573
3494.png: uiqm=0.22512706544262795, uciqe=0.5822694235284354
3519.png: uiqm=0.3563465075998408, uciqe=0.5753384364221563
358_img_.png: uiqm=0.5151846037260458, uciqe=0.6206495816829443
432.png: uiqm=0.07124737647555582, uciqe=0.5390475080931295
5.png: uiqm=0.00812109525647553, uciqe=0.5954473492756547
52.png: uiqm=0.48293700802398304, uciqe=0.6760211319603566
579.png: uiqm=0.3747979732156549, uciqe=0.6232073051876286
605.png: uiqm=0.49995799972638827, uciqe=0.6285353167833806
616.png: uiqm=0.5006372878348644, uciqe=0.6305293900694465
627.png: uiqm=0.554120022494509, uciqe=0.5909918587521639
6333.png: uiqm=0.0802752460040268, uciqe=0.5440814065764322
6340.png: uiqm=-0.0838272070280851, uciqe=0.5563412269866431
643_img_.png: uiqm=0.4261124795700377, uciqe=0.6435573342088206
6527.png: uiqm=0.04817682867639794, uciqe=0.5194105711757229
7277.png: uiqm=0.7518031937376026, uciqe=0.5811625098325528
7291.png: uiqm=0.639960782636324, uciqe=0.5749062087051748
770.png: uiqm=0.8740125481397865, uciqe=0.6004581852837163
866.png: uiqm=0.8811201056857045, uciqe=0.5700513129113783
880.png: uiqm=0.6397381169678213, uciqe=0.6048988867756804
9553.png: uiqm=0.5063033836356157, uciqe=0.6406311989542185
9602.png: uiqm=0.7367169023441091, uciqe=0.5815223693605657
9607.png: uiqm=0.738436007764143, uciqe=0.5790612682947218
9618.png: uiqm=0.18128606795395508, uciqe=0.6335087651399254

Average: uiqm=0.4242731382228487, uciqe=0.5734821628884019

