12433.png: NIQE=34.42227822445597  with dealing time: 67.99162244796753
149.png: NIQE=41.43569864083782  with dealing time: 89.14018607139587
161.png: NIQE=34.67476954433268  with dealing time: 87.14939904212952
264574_00031858.png: NIQE=35.16321790162926  with dealing time: 103.8867654800415
264734_00038535.png: NIQE=35.04951235433306  with dealing time: 106.73342728614807
265119_00013763.png: NIQE=37.755781984881246  with dealing time: 101.42845511436462
265130_00031309.png: NIQE=36.060128611425384  with dealing time: 98.36516284942627
265344_00029330.png: NIQE=35.82216171112581  with dealing time: 88.89321780204773
306_img_.png: NIQE=38.23779703395832  with dealing time: 99.53326964378357
332_img_.png: NIQE=45.500853076396524  with dealing time: 92.45290470123291
3330.png: NIQE=45.1095065061893  with dealing time: 98.61369967460632
36.png: NIQE=39.2575244675739  with dealing time: 94.12688040733337
387_img_.png: NIQE=38.405584524314555  with dealing time: 91.28359413146973
757_img_.png: NIQE=36.79362742023489  with dealing time: 93.2670545578003
819_img_.png: NIQE=35.48458555814994  with dealing time: 95.96567153930664
96.png: NIQE=43.736188624333494  with dealing time: 98.8270571231842
GI_1.png: NIQE=43.394411078119774  with dealing time: 85.15739512443542
GI_16.png: NIQE=44.99770289569582  with dealing time: 89.66509461402893
GI_2.png: NIQE=53.707946116952876  with dealing time: 87.01939702033997
GI_22.png: NIQE=37.286336893232374  with dealing time: 97.66957521438599
GI_29.png: NIQE=72.17121003981912  with dealing time: 92.2918872833252
GI_33.png: NIQE=37.24467786773285  with dealing time: 87.66445136070251
GI_35.png: NIQE=33.303017285432944  with dealing time: 92.80627465248108
GI_43.png: NIQE=37.637791757372916  with dealing time: 90.26783561706543
GI_7.png: NIQE=42.004792698095166  with dealing time: 85.34806513786316
GI_78.png: NIQE=34.741713625933365  with dealing time: 97.59300351142883
GI_8.png: NIQE=42.47498605822296  with dealing time: 78.80238461494446
GI_95.png: NIQE=39.2151247979354  with dealing time: 83.56753492355347
gmn_5017up.png: NIQE=33.581965090598274  with dealing time: 88.90266060829163
gmn_5029up.png: NIQE=41.98289133902275  with dealing time: 84.59285092353821
gmn_5148up.png: NIQE=41.51329245273087  with dealing time: 86.5881016254425
gmn_5183up.png: NIQE=32.03467196721441  with dealing time: 84.91565823554993
gmn_5185up.png: NIQE=33.24750118983116  with dealing time: 85.66573476791382
gmn_5228up.png: NIQE=34.86431195733867  with dealing time: 88.88301515579224
gmn_7856up.png: NIQE=33.8540967159285  with dealing time: 85.45988917350769
