12433.png: uiqm=0.6771229106402108, uciqe=0.5726259974008103
149.png: uiqm=0.011245973574386059, uciqe=0.5388054455091211
161.png: uiqm=0.4235897499196517, uciqe=0.5613258065964101
264574_00031858.png: uiqm=1.4473828591749114, uciqe=0.5842333604933785
264734_00038535.png: uiqm=0.6969537528401175, uciqe=0.6156993687453183
265119_00013763.png: uiqm=0.16310767753296607, uciqe=0.5700745648435591
265130_00031309.png: uiqm=0.6667001306997257, uciqe=0.5773069815589403
265344_00029330.png: uiqm=0.6522727079814264, uciqe=0.5722501546773248
306_img_.png: uiqm=0.19586443785276186, uciqe=0.5571386058066351
332_img_.png: uiqm=0.47692548471057705, uciqe=0.6048964087882833
3330.png: uiqm=0.3828798452399643, uciqe=0.649657470573738
36.png: uiqm=0.38524672605586535, uciqe=0.5372511191946918
387_img_.png: uiqm=0.7529648340150084, uciqe=0.6169368687466036
757_img_.png: uiqm=0.6121643324667053, uciqe=0.5973516892887825
819_img_.png: uiqm=0.6528096185643443, uciqe=0.5841990648162537
96.png: uiqm=0.7197375352884909, uciqe=0.5417421375677304
GI_1.png: uiqm=0.4966894392158824, uciqe=0.4832226562372577
GI_16.png: uiqm=0.40429248544814306, uciqe=0.5623477523412848
GI_2.png: uiqm=0.8554364536179636, uciqe=0.5216509750343212
GI_22.png: uiqm=0.45104953540171, uciqe=0.5597322111731133
GI_29.png: uiqm=0.39859430804105295, uciqe=0.5033607783811886
GI_33.png: uiqm=0.8583977208841139, uciqe=0.627351848845336
GI_35.png: uiqm=0.43491232921413703, uciqe=0.6811681464924995
GI_43.png: uiqm=0.3416097694197634, uciqe=0.6443410583346083
GI_7.png: uiqm=0.7397745126450117, uciqe=0.5390033988038043
GI_78.png: uiqm=0.17447285833022463, uciqe=0.5413550304928412
GI_8.png: uiqm=0.9731599105550883, uciqe=0.5247251126546023
GI_95.png: uiqm=0.3841150063391955, uciqe=0.5187608065844654
gmn_5017up.png: uiqm=0.7683961242702304, uciqe=0.5927580766787812
gmn_5029up.png: uiqm=0.4290098778871886, uciqe=0.6270694964551131
gmn_5148up.png: uiqm=0.4184454063914589, uciqe=0.6515586373885944
gmn_5183up.png: uiqm=0.4662949363838823, uciqe=0.5671473585004894
gmn_5185up.png: uiqm=0.6761002360617185, uciqe=0.6316873333708622
gmn_5228up.png: uiqm=0.7663684689114117, uciqe=0.5620491105691057
gmn_7856up.png: uiqm=0.9527319213992107, uciqe=0.6150722656172326
gmn_7919up.png: uiqm=0.5002939917951783, uciqe=0.5419835164045612
im_f1582_.png: uiqm=1.118295679171126, uciqe=0.592958419335746
im_f2253_.png: uiqm=0.7420795903147832, uciqe=0.558251554528591
n01496331_1010.png: uiqm=0.6122387966475703, uciqe=0.5353751191704521
n01496331_2044.png: uiqm=0.7429205054737155, uciqe=0.5908409000273571
n01914609_1112.png: uiqm=0.7217290963427482, uciqe=0.595392231506061
n01914609_11380.png: uiqm=0.7508742598256636, uciqe=0.5523362263541352
n01914609_13222.png: uiqm=0.871864550843278, uciqe=0.5530563776306247
n01914609_13909.png: uiqm=1.2235584488834501, uciqe=0.5703064472940349
n01914609_1437.png: uiqm=0.5385400857319493, uciqe=0.6252009746045215
n01914609_1980.png: uiqm=0.9274623432702684, uciqe=0.5786887199272885
n01914609_2054.png: uiqm=0.6574236408284166, uciqe=0.5555157253588827
n01914609_7919.png: uiqm=0.761186331673393, uciqe=0.5805936040863651
n02607072_2382.png: uiqm=0.492658736899908, uciqe=0.5593661492947819
n02607072_5845.png: uiqm=0.43133466034817125, uciqe=0.5416335132671536
