1.jpg: uiqm=0.3807411023938236, uciqe=0.5432417678331058
10.jpg: uiqm=0.3672703107522723, uciqe=0.5622844921606305
100.jpg: uiqm=0.6635032199099604, uciqe=0.4908361540959493
101.jpg: uiqm=0.3875933054030923, uciqe=0.5589230535978817
102.jpg: uiqm=0.710594991969056, uciqe=0.5308962854600627
103.jpg: uiqm=0.7172055728310558, uciqe=0.5320072441197125
104.jpg: uiqm=0.7249973283896681, uciqe=0.5331841783114597
105.jpg: uiqm=0.5026889304448807, uciqe=0.5744138169348081
106.jpg: uiqm=0.5152672013451165, uciqe=0.5666460124125766
107.jpg: uiqm=0.6439246638391614, uciqe=0.47900168083257905
108.jpg: uiqm=0.6969030126646729, uciqe=0.51499537984276
109.jpg: uiqm=0.6926344626892693, uciqe=0.5221259016793626
11.jpg: uiqm=0.37114684451397484, uciqe=0.5628481371031464
110.jpg: uiqm=0.5483796868095294, uciqe=0.5217649924639993
111.jpg: uiqm=0.5722004115362338, uciqe=0.5213558792455547
112.jpg: uiqm=0.7044169465617612, uciqe=0.5315798026893818
113.jpg: uiqm=0.7086700956749926, uciqe=0.5312932719271454
114.jpg: uiqm=0.6293535479021404, uciqe=0.5219034766546575
115.jpg: uiqm=0.6108612844609377, uciqe=0.5216392601986635
116.jpg: uiqm=0.4851142706718039, uciqe=0.4867978849859025
117.jpg: uiqm=0.4859815337542672, uciqe=0.49462130349064026
118.jpg: uiqm=0.5154852801600918, uciqe=0.4853000243360556
119.jpg: uiqm=0.48122768186553494, uciqe=0.5454510921443426
12.jpg: uiqm=0.36884111685692256, uciqe=0.5619904152951168
120.jpg: uiqm=0.733445151414833, uciqe=0.5227967482791553
121.jpg: uiqm=0.7292255479973468, uciqe=0.5149450227742679
122.jpg: uiqm=0.7505815581790819, uciqe=0.5312741910932861
123.jpg: uiqm=0.6983082377083654, uciqe=0.5530102174314048
124.jpg: uiqm=0.6930965372076043, uciqe=0.5275214292813585
125.jpg: uiqm=0.7171901435623016, uciqe=0.5311115530524126
126.jpg: uiqm=0.6027122528757021, uciqe=0.538412830648047
127.jpg: uiqm=0.4143612271142256, uciqe=0.4691060413025815
128.jpg: uiqm=0.5848585444817378, uciqe=0.4746175856068755
129.jpg: uiqm=0.6060299791922923, uciqe=0.5511886742680117
13.jpg: uiqm=0.3951466691025562, uciqe=0.5612739055575802
130.jpg: uiqm=0.6697121152382961, uciqe=0.5521197940937808
131.jpg: uiqm=0.7227839657237078, uciqe=0.5299998115916933
132.jpg: uiqm=0.7077846711888447, uciqe=0.5365941737829
133.jpg: uiqm=0.21642253927464178, uciqe=0.542214699613295
134.jpg: uiqm=0.7207683950748842, uciqe=0.5498301403457361
135.jpg: uiqm=0.6666600995052991, uciqe=0.5565685310905378
136.jpg: uiqm=0.7271930475400539, uciqe=0.5387209772291794
137.jpg: uiqm=0.7371624527497667, uciqe=0.5338761151045364
138.jpg: uiqm=0.6358373132593425, uciqe=0.517163466997657
139.jpg: uiqm=0.13577282230401533, uciqe=0.5458044908074875
14.jpg: uiqm=0.3527862236551689, uciqe=0.5511659755048988
140.jpg: uiqm=0.6257808184648881, uciqe=0.5315071579159272
141.jpg: uiqm=0.34671637917042697, uciqe=0.4782824275274653
142.jpg: uiqm=0.1822001889972738, uciqe=0.5512545903376969
143.jpg: uiqm=0.6272807469681358, uciqe=0.501901199950018
144.jpg: uiqm=0.6279783364214454, uciqe=0.508216039470897
145.jpg: uiqm=0.625900619078537, uciqe=0.5258271845483002
