1.png: uiqm=0.4897790577600192, uciqe=0.6154539077802739
10.png: uiqm=1.0791249948513961, uciqe=0.5609350914754495
11.png: uiqm=0.549656374243696, uciqe=0.50246367115566
12.png: uiqm=0.7568577829894719, uciqe=0.5571693939741819
13.png: uiqm=1.159375680505047, uciqe=0.6017458665817782
14.png: uiqm=0.5742947601652089, uciqe=0.556914508182136
15.png: uiqm=0.7643919961836996, uciqe=0.5792646457442876
16.png: uiqm=0.7054678220347839, uciqe=0.549623435189601
17.png: uiqm=0.7173161758340758, uciqe=0.651536636181162
18.png: uiqm=0.8515882299573124, uciqe=0.6843921749767542
19.png: uiqm=0.8083107442856942, uciqe=0.6703204047199838
2.png: uiqm=0.674659545896004, uciqe=0.6264214605537295
20.png: uiqm=0.5642707758578884, uciqe=0.6281567181874899
21.png: uiqm=0.9085038472914587, uciqe=0.677276973590071
22.png: uiqm=0.5988217134965016, uciqe=0.6144847114052101
23.png: uiqm=0.6212436453096895, uciqe=0.5885113092089519
24.png: uiqm=0.953167567985846, uciqe=0.6827665917517122
25.png: uiqm=0.782236607834336, uciqe=0.6499111725426567
26.png: uiqm=0.3230927821746108, uciqe=0.5454894093919266
27.png: uiqm=0.7436402515270424, uciqe=0.6511236161173858
28.png: uiqm=0.7568571689595897, uciqe=0.6142241489115007
29.png: uiqm=0.9852426490273858, uciqe=0.5522191776876951
3.png: uiqm=0.6712769700035541, uciqe=0.5869469073006515
30.png: uiqm=0.12635483669300296, uciqe=0.5993788094141983
31.png: uiqm=0.9209725046778356, uciqe=0.6258889051626108
32.png: uiqm=0.8973071691606729, uciqe=0.6324248196056043
33.png: uiqm=1.1815016094513164, uciqe=0.5992245561186278
34.png: uiqm=1.197572496862376, uciqe=0.6087304091068253
35.png: uiqm=1.0493835099057123, uciqe=0.6026804114091336
36.png: uiqm=1.042309964257479, uciqe=0.5977664593064353
37.png: uiqm=0.8853365905700724, uciqe=0.6260459630040733
38.png: uiqm=0.9990323928377641, uciqe=0.6220258377077469
39.png: uiqm=0.6734222459325309, uciqe=0.6128294558640016
4.png: uiqm=0.13069460228094587, uciqe=0.5331253844082711
40.png: uiqm=1.2530557149969122, uciqe=0.5391743020698776
41.png: uiqm=0.9525272666798814, uciqe=0.580957574502764
42.png: uiqm=0.9347441664561076, uciqe=0.5897073377883593
43.png: uiqm=1.1475632890053986, uciqe=0.6430556737553934
44.png: uiqm=0.982202284040474, uciqe=0.6180032177161927
45.png: uiqm=1.0218553549034206, uciqe=0.6266096346677457
5.png: uiqm=0.6927417941211389, uciqe=0.5992872405900151
6.png: uiqm=0.7110199136250193, uciqe=0.6210761188857983
7.png: uiqm=0.7488393448581955, uciqe=0.5652765295583884
8.png: uiqm=0.547213228274291, uciqe=0.6195323297326445
9.png: uiqm=0.8218160783375823, uciqe=0.6038791683786969

Average: uiqm=0.7990365222689431, uciqe=0.6047562682525257

