100001.png: NIQE=52.656480813676524  with dealing time: 53.833083391189575
10091.png: NIQE=42.7410013295224  with dealing time: 45.715131998062134
10103.png: NIQE=42.988831543553545  with dealing time: 53.159730195999146
10167.png: NIQE=46.293337215085835  with dealing time: 49.32886719703674
102.png: NIQE=36.40432776923012  with dealing time: 54.482290744781494
10226.png: NIQE=46.67436360441524  with dealing time: 52.82339549064636
10475.png: NIQE=52.7605726035323  with dealing time: 48.243038177490234
10488.png: NIQE=47.93290274685308  with dealing time: 49.768253803253174
12191.png: NIQE=37.20615564359592  with dealing time: 48.80546593666077
12203.png: NIQE=35.895049839038144  with dealing time: 49.95022177696228
12228.png: NIQE=46.324468215576765  with dealing time: 48.107309103012085
12565.png: NIQE=38.908333543043845  with dealing time: 50.20868730545044
12577.png: NIQE=37.532164821618444  with dealing time: 48.57213282585144
12625.png: NIQE=52.3348962487662  with dealing time: 51.97864055633545
12709.png: NIQE=50.20587176423757  with dealing time: 51.3612961769104
12753.png: NIQE=48.75015397636037  with dealing time: 43.2537796497345
12960.png: NIQE=59.20016373051908  with dealing time: 51.06659007072449
12972.png: NIQE=52.875452460182146  with dealing time: 51.518815994262695
13252.png: NIQE=42.131277653502885  with dealing time: 48.40061926841736
13259.png: NIQE=38.402504662183176  with dealing time: 46.60911560058594
15603.png: NIQE=38.4372010979094  with dealing time: 53.47250199317932
15735.png: NIQE=43.81307648335352  with dealing time: 51.513113260269165
15738.png: NIQE=41.625500076626125  with dealing time: 52.29643392562866
15740.png: NIQE=60.57168794337905  with dealing time: 51.34486126899719
15774.png: NIQE=52.69204961911068  with dealing time: 48.29974985122681
15775.png: NIQE=82.75404898831688  with dealing time: 51.887669801712036
2.png: NIQE=39.30945034059678  with dealing time: 47.63581132888794
2575.png: NIQE=46.88494539493871  with dealing time: 49.256680727005005
2583.png: NIQE=49.77457211275032  with dealing time: 47.475468158721924
2856.png: NIQE=45.457476576863435  with dealing time: 47.89462637901306
3027.png: NIQE=38.85513532655781  with dealing time: 46.107324838638306
3051.png: NIQE=41.82003895226079  with dealing time: 47.967357873916626
3087.png: NIQE=40.84132006750372  with dealing time: 45.332982540130615
3175.png: NIQE=45.08291854721797  with dealing time: 49.703991651535034
3201.png: NIQE=44.061748384185705  with dealing time: 48.11442017555237
3279.png: NIQE=43.50653560444528  with dealing time: 50.417539834976196
34.png: NIQE=38.1597049063176  with dealing time: 49.05993914604187
3494.png: NIQE=45.36533097262788  with dealing time: 50.36507797241211
3519.png: NIQE=47.19683978671432  with dealing time: 52.70396971702576
358_img_.png: NIQE=43.91344557218467  with dealing time: 50.37941575050354
432.png: NIQE=55.62489610141934  with dealing time: 52.65391969680786
5.png: NIQE=53.26545238723851  with dealing time: 52.728373289108276
52.png: NIQE=39.93865687722685  with dealing time: 48.99560618400574
579.png: NIQE=43.2292250927049  with dealing time: 47.899043560028076
605.png: NIQE=39.26670386167411  with dealing time: 47.91107368469238
616.png: NIQE=41.81223897079388  with dealing time: 55.58092927932739
627.png: NIQE=39.18433014621353  with dealing time: 47.098129749298096
6333.png: NIQE=75.23571453029189  with dealing time: 52.07093071937561
6340.png: NIQE=51.11198507764586  with dealing time: 48.12229919433594
643_img_.png: NIQE=39.11860375193465  with dealing time: 48.88563561439514
6527.png: NIQE=48.34277023619182  with dealing time: 52.42250204086304
7277.png: NIQE=44.320792360457716  with dealing time: 45.28153133392334
7291.png: NIQE=41.18114352256748  with dealing time: 48.8818895816803
770.png: NIQE=35.5925580261436  with dealing time: 46.75152778625488
866.png: NIQE=40.365739400527744  with dealing time: 45.29553747177124
880.png: NIQE=45.154984515180935  with dealing time: 45.75011324882507
9553.png: NIQE=43.57516103205181  with dealing time: 46.30551767349243
9602.png: NIQE=42.31897275809398  with dealing time: 43.9920289516449
9607.png: NIQE=38.89232182217381  with dealing time: 49.0870316028595
9618.png: NIQE=45.1082133999639  with dealing time: 48.40693163871765

60 Image Average: NIQE=45.68303001348084, TimePerImage=49.37559922933578, SumTime = 2962.535953760147s

