12433.png: NIQE=43.31504845004614  with dealing time: 49.77270150184631
149.png: NIQE=47.97160191587065  with dealing time: 56.9107506275177
161.png: NIQE=45.40384431999011  with dealing time: 51.97807049751282
264574_00031858.png: NIQE=40.7103232048437  with dealing time: 47.573325634002686
264734_00038535.png: NIQE=38.11040065708398  with dealing time: 48.93727087974548
265119_00013763.png: NIQE=45.40746937406136  with dealing time: 46.79567265510559
265130_00031309.png: NIQE=35.4463750817125  with dealing time: 48.13692235946655
265344_00029330.png: NIQE=47.72381442173657  with dealing time: 48.02175831794739
306_img_.png: NIQE=46.022234818626615  with dealing time: 47.161898136138916
332_img_.png: NIQE=45.13659715656606  with dealing time: 51.519668102264404
3330.png: NIQE=43.319993774283795  with dealing time: 51.52897763252258
36.png: NIQE=40.24656795251255  with dealing time: 51.03736662864685
387_img_.png: NIQE=33.1508562366377  with dealing time: 46.67336654663086
757_img_.png: NIQE=45.4707803545176  with dealing time: 47.509289026260376
819_img_.png: NIQE=36.77262513898995  with dealing time: 51.432958126068115
96.png: NIQE=46.8549148624855  with dealing time: 52.11228370666504
GI_1.png: NIQE=37.01818171672525  with dealing time: 45.3172242641449
GI_16.png: NIQE=67.46118174486716  with dealing time: 50.41683554649353
GI_2.png: NIQE=39.54519735442506  with dealing time: 45.507291078567505
GI_22.png: NIQE=48.52897963987296  with dealing time: 52.22014927864075
GI_29.png: NIQE=61.18741637849388  with dealing time: 50.52113604545593
GI_33.png: NIQE=34.82955595342091  with dealing time: 48.6979763507843
GI_35.png: NIQE=40.188226800808316  with dealing time: 50.681215047836304
GI_43.png: NIQE=42.72454073565155  with dealing time: 50.83125162124634
GI_7.png: NIQE=36.81738654945315  with dealing time: 47.21698617935181
GI_78.png: NIQE=41.08222561488037  with dealing time: 46.77517247200012
GI_8.png: NIQE=35.77123426027499  with dealing time: 45.293166637420654
GI_95.png: NIQE=42.732139692535355  with dealing time: 49.84870433807373
gmn_5017up.png: NIQE=33.835542682809894  with dealing time: 48.41543388366699
gmn_5029up.png: NIQE=41.58993755405147  with dealing time: 46.35813641548157
gmn_5148up.png: NIQE=40.205033944946244  with dealing time: 50.979045152664185
gmn_5183up.png: NIQE=43.75858918121203  with dealing time: 48.567126989364624
gmn_5185up.png: NIQE=38.034533738510724  with dealing time: 49.66993069648743
gmn_5228up.png: NIQE=36.82749182090236  with dealing time: 46.9739944934845
gmn_7856up.png: NIQE=43.340402936288626  with dealing time: 45.13669466972351
gmn_7919up.png: NIQE=50.649892994445175  with dealing time: 47.22034668922424
im_f1582_.png: NIQE=39.140858539620076  with dealing time: 47.10307717323303
im_f2253_.png: NIQE=51.617175437893025  with dealing time: 47.243226051330566
n01496331_1010.png: NIQE=50.676350001795804  with dealing time: 46.332855224609375
n01496331_2044.png: NIQE=52.88839010962192  with dealing time: 47.01683950424194
n01914609_1112.png: NIQE=50.883690738126866  with dealing time: 48.74079489707947
n01914609_11380.png: NIQE=40.64526249302487  with dealing time: 46.436288833618164
n01914609_13222.png: NIQE=38.53880776394287  with dealing time: 47.842862129211426
n01914609_13909.png: NIQE=35.232944535028594  with dealing time: 46.64426946640015
n01914609_1437.png: NIQE=51.68084183513591  with dealing time: 46.7647922039032
n01914609_1980.png: NIQE=47.85497876433756  with dealing time: 49.28605365753174
n01914609_2054.png: NIQE=52.91627748536212  with dealing time: 51.62662935256958
n01914609_7919.png: NIQE=50.99746500422456  with dealing time: 47.395811796188354
n02607072_2382.png: NIQE=56.40624504570207  with dealing time: 51.67881464958191
n02607072_5845.png: NIQE=42.432937619762185  with dealing time: 47.255510091781616
n02607072_931.png: NIQE=55.0049134927865  with dealing time: 49.546144008636475
NF_1.png: NIQE=51.96674647533551  with dealing time: 53.44697284698486
NF_10.png: NIQE=57.9530549048309  with dealing time: 52.669198513031006
NF_100.png: NIQE=49.88605997037623  with dealing time: 45.79202437400818
NF_110.png: NIQE=56.26850068744382  with dealing time: 48.692711353302
NF_116.png: NIQE=51.928825088643414  with dealing time: 46.22153902053833
NF_123.png: NIQE=53.796012931783224  with dealing time: 44.13230752944946
NF_124.png: NIQE=45.10344549001739  with dealing time: 46.21615767478943
NF_13.png: NIQE=55.574747117961294  with dealing time: 40.30951714515686
NF_14.png: NIQE=45.33898679396427  with dealing time: 51.989545822143555
NF_141.png: NIQE=41.35824370447808  with dealing time: 41.68779420852661
NF_147.png: NIQE=40.77538267671435  with dealing time: 61.27429175376892
NF_148.png: NIQE=49.83900938899779  with dealing time: 59.22484230995178
NF_166.png: NIQE=51.80213239935677  with dealing time: 52.96872162818909
NF_171.png: NIQE=41.52311681541204  with dealing time: 52.54175305366516
NF_172.png: NIQE=44.664153796590085  with dealing time: 42.50699043273926
NF_174.png: NIQE=41.238451599645714  with dealing time: 45.162405252456665
NF_177.png: NIQE=47.42626253430055  with dealing time: 48.45219898223877
NF_194.png: NIQE=80.54916418244332  with dealing time: 47.1614785194397
NF_195.png: NIQE=54.06681787282503  with dealing time: 46.97096800804138
NF_2.png: NIQE=66.39721425273768  with dealing time: 46.92982196807861
NF_201.png: NIQE=43.004504980816726  with dealing time: 42.50402545928955
NF_209.png: NIQE=39.262012450697775  with dealing time: 43.27208352088928
NF_213.png: NIQE=41.26994049825407  with dealing time: 43.11023831367493
NF_215.png: NIQE=46.33501600975571  with dealing time: 45.74920034408569
NF_218.png: NIQE=38.856295868459114  with dealing time: 43.94105672836304
NF_231.png: NIQE=43.4900956290397  with dealing time: 46.97623872756958
NF_241.png: NIQE=38.392691731153015  with dealing time: 45.87839412689209
NF_242.png: NIQE=47.54401478047532  with dealing time: 42.985862731933594
NF_252.png: NIQE=52.091534084443886  with dealing time: 46.962100982666016
NF_26.png: NIQE=52.11804141032481  with dealing time: 41.001060009002686
NF_280.png: NIQE=51.71267995868445  with dealing time: 50.18837094306946
NF_285.png: NIQE=43.28465117473726  with dealing time: 42.954482316970825
NF_287.png: NIQE=41.80770259990139  with dealing time: 46.685845136642456
NF_313.png: NIQE=58.386410148154305  with dealing time: 45.303237199783325
NF_32.png: NIQE=62.73008007581731  with dealing time: 46.990241050720215
NF_363.png: NIQE=42.36340619926846  with dealing time: 42.752240896224976
NF_364.png: NIQE=43.29896199440419  with dealing time: 45.90461540222168
NF_387.png: NIQE=46.30341852528846  with dealing time: 47.50548768043518
NF_410.png: NIQE=58.447910897597765  with dealing time: 44.57807159423828
NF_417.png: NIQE=56.577395697079005  with dealing time: 46.237804889678955
NF_466.png: NIQE=48.167940833354535  with dealing time: 43.36276078224182
NF_470.png: NIQE=51.56914422771584  with dealing time: 43.44895362854004
NF_507.png: NIQE=58.2813739219998  with dealing time: 44.543641090393066
NF_512.png: NIQE=44.73085552505742  with dealing time: 44.90188956260681
NF_518.png: NIQE=38.96526681116007  with dealing time: 46.856324911117554
NF_52.png: NIQE=56.88244248186956  with dealing time: 47.60990834236145
NF_56.png: NIQE=48.503968292106045  with dealing time: 42.30722784996033
NF_57.png: NIQE=48.619485021214196  with dealing time: 42.21047496795654
NF_60.png: NIQE=46.76265967547125  with dealing time: 47.979212045669556
NF_69.png: NIQE=42.24328254870572  with dealing time: 48.06223106384277
NF_7.png: NIQE=45.91603162756634  with dealing time: 43.81766176223755
NF_70.png: NIQE=39.789648214846416  with dealing time: 45.041587352752686
NF_75.png: NIQE=44.158084794516434  with dealing time: 46.56981706619263
NF_78.png: NIQE=40.10039578447108  with dealing time: 43.20653748512268
NF_8.png: NIQE=48.96693759459621  with dealing time: 44.347869873046875
NF_81.png: NIQE=42.671425149183236  with dealing time: 46.40419840812683
NF_85.png: NIQE=38.490853595323095  with dealing time: 44.13602828979492
NF_94.png: NIQE=39.31122503498379  with dealing time: 41.9046516418457
NF_95.png: NIQE=38.48999099079207  with dealing time: 40.32220768928528

110 Image Average: NIQE=46.28602166730953, TimePerImage=47.34117408665744, SumTime = 5207.529149532318s

